diagnostic,iter,err,err_p,err_e,p_P,p_C,own_rate,tfr,pop_P,pop_C
ge_trace,1,0.09323066682050389,0.09323066682050389,0.05965059906978848,0.49766052026004093,0.5884774596399392,0.5902057869806246,1.8779636546784748,0.5434399658236202,0.45656003417637986
ge_trace,2,0.06946903689288342,0.031413885775827634,0.06946903689288342,0.49779666367275244,0.5944110170267103,0.5875405026354958,1.875973335309926,0.5588521908901157,0.44114780910988416
ge_trace,3,0.06936049538015399,0.023155745092014898,0.06936049538015399,0.498754207532996,0.5992360687867223,0.581417831950037,1.8723652220492013,0.5700644009257609,0.4299355990742391
ge_trace,4,0.0560115692828157,0.019441835423220963,0.0560115692828157,0.5005163408465879,0.6007360163034053,0.5811407639506785,1.8687448564373959,0.5713864415214198,0.4286135584785799
ge_trace,5,0.03810651525908171,0.010776970752504656,0.03810651525908171,0.5024593353618763,0.6003668736361887,0.580421262043249,1.8642149598495088,0.5685642211654712,0.43143577883452916
ge_trace,6,0.023295119497463324,0.004294777886541721,0.023295119497463324,0.5039800728582697,0.5998120307200391,0.5791297788989564,1.8612820302212336,0.5660531811202894,0.4339468188797108
ge_trace,7,0.013589458198928761,0.006214799885792594,0.013589458198928761,0.5048940370023889,0.5996251255916705,0.5782503392832338,1.859358603725543,0.5649413252399477,0.43505867476005283
ge_trace,8,0.008453801837164765,0.005228209024070277,0.008453801837164765,0.5053259890149858,0.5997830557690365,0.5781671598846788,1.8584570499101216,0.5652593210355824,0.4347406789644176
ge_trace,9,0.006060135779975218,0.001931524756268267,0.006060135779975218,0.5054970283667286,0.6000634156671889,0.5772826643566872,1.8582641381020766,0.5662044878782743,0.43379551212172596
ge_trace,10,0.004606531635255595,0.0006721633840745662,0.004606531635255595,0.5055812921045723,0.6002915106983335,0.5770644033638986,1.8580149766530576,0.5669734055876452,0.4330265944123542
ge_trace,11,0.0033243387391028723,0.0017407386952823754,0.0033243387391028723,0.5056565893755847,0.6003903138770925,0.5771080127172654,1.8578423012752858,0.5672898827051822,0.43271011729481823
ge_trace,12,0.0021984828119935296,0.0017391714947703196,0.0021984828119935296,0.5057305866793854,0.6003792165931244,0.5770875708181565,1.8577174565034853,0.5673264922699454,0.43267350773005514
ge_trace,13,0.0012942716291229998,0.0012942716291229998,0.0012763329652016875,0.5057936326270124,0.600323688758342,0.5770326782585936,1.8576242429342735,0.5672313007968394,0.4327686992031611
ge_trace,14,0.0006248300967710689,0.0006248300967710689,0.0005873388850332062,0.505836335303292,0.6002538973333238,0.5770064287599838,1.8575509789353433,0.5670830312220819,0.43291696877791846
ge_trace,15,0.00016729205461566663,0.00016729205461566663,9.653675067600176e-05,0.505855651256028,0.6001949358069548,0.5772890724787485,1.8575582050087749,0.5669293666002191,0.43307063339978097
