moment,target,model,benchmark_model,notes
tfr,1.7,1.5319294263821428,1.898,V2 finite scenario mixture; not one joint stationary distribution
childless_rate,0.15,0.3882845306932564,0.145,V2 finite scenario mixture; not one joint stationary distribution
mean_age_first_birth,26.0,34.333143728823444,33.535,V2 finite scenario mixture; not one joint stationary distribution
tfr_gradient,0.133,0.14391448229934883,0.119,V2 finite scenario mixture; not one joint stationary distribution
own_rate,0.627,0.5307277731953849,0.643,V2 finite scenario mixture; not one joint stationary distribution
own_gradient,0.17,0.10071039053961722,0.139,V2 finite scenario mixture; not one joint stationary distribution
own_family_gap,0.11,0.17680107903735814,0.114,V2 finite scenario mixture; not one joint stationary distribution
prime_childless_renter_median_rooms,4.0,5.97150016382888,6.365,V2 finite scenario mixture; not one joint stationary distribution
prime_childless_owner_median_rooms,6.0,6.87,6.8,V2 finite scenario mixture; not one joint stationary distribution
housing_increment_0to1,0.66443467,0.5051897316937538,0.441,V2 finite scenario mixture; not one joint stationary distribution
housing_increment_1to2,0.56581378,0.22768283217141558,0.192,V2 finite scenario mixture; not one joint stationary distribution
young_liquid_wealth_to_income,0.6,0.442931882553679,0.527,V2 finite scenario mixture; not one joint stationary distribution
center_share_nonparents,0.494,0.340324378965528,0.405,V2 finite scenario mixture; not one joint stationary distribution
center_share_newparents,0.416,0.29308787966962596,0.382,V2 finite scenario mixture; not one joint stationary distribution
migration_rate,0.032,0.031164768588505094,0.035,V2 finite scenario mixture; not one joint stationary distribution
old_age_own_rate,0.863,0.8450973670423412,0.947,V2 finite scenario mixture; not one joint stationary distribution
old_age_parent_childless_gap,0.07,-0.05751161235438641,0.062,V2 finite scenario mixture; not one joint stationary distribution
inv_pop_share_C,0.45,0.37252004968502234,0.441,V2 finite scenario mixture; not one joint stationary distribution
inv_rent_ratio_C_over_P,1.14,1.1824877314608844,1.182,V2 finite scenario mixture; not one joint stationary distribution
