iter,err,err_p,err_e,p_P,p_C,entry_share_P,entry_share_C,scale_factor,implied_total_population,city_entry_prob_total,outside_entry_prob,outside_entry_flow,scale_denominator,scale_residual,own_rate,tfr,pop_P,pop_C
1,0.13703828276642901,0.13703828276642901,6.208295735277147e-07,0.49766052026004093,0.5884774596399392,0.5,0.5,1.0,1.0,0.9000000000000001,0.09999999999999999,0.005490711129035836,0.004941640016132254,0.0,0.5367868875235554,1.596128792174605,0.5684248110213882,0.4315751889786115
2,0.05878990425765604,0.05878990425765604,6.116035720649116e-07,0.4986272754314236,0.5971991018067239,0.5000000671427184,0.4999999328572816,1.0,1.0,0.9,0.09999999999999999,0.005518147650436638,0.004966332885392975,0.0,0.534581710384284,1.592775442229239,0.5858821453829592,0.41411785461704076
3,0.03506816912220989,0.03506816912220989,5.586502165866314e-07,0.5007546308970551,0.6051449276234848,0.500000166333859,0.499999833666141,1.0,1.0,0.9000000000000001,0.1,0.005560025264276378,0.0050040227378487425,0.0,0.5399910701886657,1.587705856653253,0.5988176797661954,0.40118232023380446
4,0.02851633240124803,0.02851633240124803,4.5346770782828116e-07,0.5037404276517636,0.6086864309080119,0.5000002757039828,0.49999972429601724,0.9999999999999998,1.0,0.8999999999999999,0.09999999999999998,0.005642173409469353,0.005077956068522418,0.0,0.5367067662489315,1.577708841541488,0.6002239185609507,0.3997760814390491
5,0.01629598846842856,0.01629598846842856,3.3177679670259863e-07,0.5067817260952677,0.6092331272709265,0.5000003785134577,0.49999962148654226,1.0,1.0,0.9,0.09999999999999999,0.005694589990348022,0.005125130991313221,0.0,0.5321179423739558,1.5713114463122675,0.5949419526934357,0.4050580473065643
6,0.010617003569523399,0.010617003569523399,2.350402488193737e-07,0.5091356211423361,0.6093325573708462,0.5000004644885763,0.4999995355114237,1.0,1.0,0.9000000000000001,0.09999999999999999,0.005745248875560929,0.005170723988004838,0.0,0.527476818500083,1.5651501655092843,0.5902437215333617,0.4097562784666382
7,0.011585003084578055,0.011585003084578055,1.6696046167830048e-07,0.5105256935176856,0.6101674662525495,0.5000005299618608,0.4999994700381392,1.0000000000000004,1.0,0.9000000000000001,0.09999999999999999,0.0057644299593833555,0.00518798696344502,0.0,0.5261914596552765,1.5628175910262967,0.5889820192619437,0.41101798073805634
8,0.004746527607166606,0.004746527607166606,1.220307457305836e-07,0.5112208992579331,0.611386142272453,0.5000005780769801,0.49999942192301994,0.9999999999999998,1.0,0.8999999999999999,0.09999999999999996,0.005779921436702265,0.005201929293032039,0.0,0.5250508904919,1.5609317352050134,0.5902590660173573,0.40974093398264266
9,0.0009354794671040912,0.0009354794671040912,8.958241670686817e-08,0.511575512218029,0.6122565231382219,0.5000006133543843,0.4999993866456157,1.0000000000000002,1.0,0.9000000000000001,0.09999999999999999,0.005789979138649211,0.00521098122478429,0.0,0.5248753018565452,1.5597008440845659,0.5913016312823351,0.4086983687176649
10,0.002194406952614871,0.002194406952614871,6.43322745075281e-08,0.5117839608211447,0.6125685121192809,0.5000006392329336,0.4999993607670664,1.0000000000000002,1.0,0.9000000000000001,0.09999999999999999,0.005797811719992637,0.005218030547993373,0.0,0.5244537691604758,1.5587441277095235,0.5915711826977108,0.4084288173022891
11,0.0011923783232738357,0.0011923783232738357,4.4751845618140607e-08,0.5119103458603529,0.612545515600812,0.5000006580473243,0.4999993419526757,0.9999999999999998,1.0,0.9,0.09999999999999996,0.005805648822380431,0.005225083940142388,0.0,0.5246778112637092,1.557836175600242,0.5912000459091202,0.40879995409087955
12,0.0003464318147695515,0.0003464318147695515,3.06694941665242e-08,0.511963296326644,0.6124693819761028,0.5000006714785055,0.49999932852149453,1.0000000000000002,1.0,0.8999999999999999,0.09999999999999998,0.005806434954473343,0.00522579145902601,0.0,0.5246333909055948,1.5577399533583622,0.5909555546003359,0.4090444453996642
