moment,target,model,benchmark_model,notes
tfr,1.7,1.857558205004696,1.898,V4 full-equilibrium structural z-state solve; mortgage account not structural
childless_rate,0.15,0.18142881096486893,0.145,V4 full-equilibrium structural z-state solve; mortgage account not structural
mean_age_first_birth,26.0,34.31750502727887,33.535,V4 full-equilibrium structural z-state solve; mortgage account not structural
tfr_gradient,0.133,0.0866614005530848,0.119,V4 full-equilibrium structural z-state solve; mortgage account not structural
own_rate,0.627,0.6385969140677218,0.643,V4 full-equilibrium structural z-state solve; mortgage account not structural
own_gradient,0.17,-0.06640366008598098,0.139,V4 full-equilibrium structural z-state solve; mortgage account not structural
own_family_gap,0.11,0.1535705774439975,0.114,V4 full-equilibrium structural z-state solve; mortgage account not structural
prime_childless_renter_median_rooms,4.0,6.179698026828448,6.365,V4 full-equilibrium structural z-state solve; mortgage account not structural
prime_childless_owner_median_rooms,6.0,6.8,6.8,V4 full-equilibrium structural z-state solve; mortgage account not structural
housing_increment_0to1,0.66443467,0.4146893273367809,0.441,V4 full-equilibrium structural z-state solve; mortgage account not structural
housing_increment_1to2,0.56581378,0.4019090522914608,0.192,V4 full-equilibrium structural z-state solve; mortgage account not structural
young_liquid_wealth_to_income,0.6,0.9354520893723447,0.527,V4 full-equilibrium structural z-state solve; mortgage account not structural
center_share_nonparents,0.494,0.3749552018119964,0.405,V4 full-equilibrium structural z-state solve; mortgage account not structural
center_share_newparents,0.416,0.3716713487637947,0.382,V4 full-equilibrium structural z-state solve; mortgage account not structural
migration_rate,0.032,0.0346137209531533,0.035,V4 full-equilibrium structural z-state solve; mortgage account not structural
old_age_own_rate,0.863,0.7718935840283677,0.947,V4 full-equilibrium structural z-state solve; mortgage account not structural
old_age_parent_childless_gap,0.07,0.004152660304068023,0.062,V4 full-equilibrium structural z-state solve; mortgage account not structural
inv_pop_share_C,0.45,0.43307063339733265,0.441,V4 full-equilibrium structural z-state solve; mortgage account not structural
inv_rent_ratio_C_over_P,1.14,1.1864944758792262,1.182,V4 full-equilibrium structural z-state solve; mortgage account not structural
