diagnostic,name,value,notes,age,z,stationary_mass,transition_row,mass_share,mean_liquid_wealth,mean_income,own_rate,fertility_choice,wealth_bin,expected_completed_fertility_choice,mass
state_size,Nb,30,,,,,,,,,,,,,
state_size,tenure_states,7,,,,,,,,,,,,,
state_size,locations,2,,,,,,,,,,,,,
state_size,ages,60,,,,,,,,,,,,,
state_size,fertility_states,4,,,,,,,,,,,,,
state_size,child_age_states,7,,,,,,,,,,,,,
state_size,z_states,5,,,,,,,,,,,,,
state_size,mu_states,0,,,,,,,,,,,,,
z_process,,,,,-0.7,0.0625000000000419,"[0.9036878906249999, 0.09268593750000008, 0.0035648437500000064, 6.093750000000016e-05, 3.906250000000014e-07]",,,,,,,,
z_process,,,,,-0.35,0.25000000000000017,"[0.023171484375000023, 0.9054703125, 0.06956015625000007, 0.0017828125000000034, 1.5234375000000042e-05]",,,,,,,,
z_process,,,,,0.0,0.37499999999991634,"[0.000594140625000001, 0.04637343750000003, 0.90606484375, 0.04637343750000004, 0.000594140625000001]",,,,,,,,
z_process,,,,,0.34999999999999987,0.24999999999999983,"[1.523437500000004e-05, 0.001782812500000003, 0.06956015625000006, 0.9054703124999999, 0.02317148437500002]",,,,,,,,
z_process,,,,,0.7,0.06250000000004183,"[3.906250000000014e-07, 6.093750000000016e-05, 0.0035648437500000064, 0.09268593750000008, 0.9036878906249999]",,,,,,,,
z_by_age,,,,18.0,-0.7,,,0.06250000000004188,0.31883369129402983,0.23034854194320212,0.0,,,,
z_by_age,,,,18.0,-0.35,,,0.2500000000000001,0.31883369129402983,0.32688014073737093,0.0,,,,
z_by_age,,,,18.0,0.0,,,0.37499999999991634,0.31883369129402983,0.46386499999999986,0.0,,,,
z_by_age,,,,18.0,0.34999999999999987,,,0.2499999999999998,0.31883369129402983,0.658255768428211,0.0,,,,
z_by_age,,,,18.0,0.7,,,0.06250000000004181,0.31883369129402983,0.9341093996507924,0.0,,,,
z_by_age,,,,19.0,-0.7,,,0.0625000000000378,0.31967674622741216,0.23034854194320212,0.0,,,,
z_by_age,,,,19.0,-0.35,,,0.25000000000000006,0.3201283202186212,0.32688014073737093,0.0,,,,
z_by_age,,,,19.0,0.0,,,0.3749999999999245,0.32311046485597006,0.46386499999999986,0.0,,,,
z_by_age,,,,19.0,0.34999999999999987,,,0.24999999999999983,0.4008013855017832,0.658255768428211,0.0,,,,
z_by_age,,,,19.0,0.7,,,0.06250000000003773,0.5616286656330552,0.9341093996507924,0.0,,,,
z_by_age,,,,20.0,-0.7,,,0.0625000000000341,0.32053017268639955,0.23034854194320217,0.0,,,,
z_by_age,,,,20.0,-0.35,,,0.25000000000000006,0.32173007108304635,0.326880140737371,0.0,,,,
z_by_age,,,,20.0,0.0,,,0.37499999999993194,0.33043735423726905,0.4638649999999999,0.0,,,,
z_by_age,,,,20.0,0.34999999999999987,,,0.24999999999999983,0.47057905367540964,0.6582557684282111,0.0,,,,
z_by_age,,,,20.0,0.7,,,0.06250000000003403,0.7786323196397069,0.9341093996507925,0.0,,,,
