diagnostic,name,value,z,age,age_bin,location,parity,tenure,wealth_bin,mass,notes
tenure_choice_mass_share_by_z,O_to_other_owner,0.004744916990628959,0.28,,,,,,,0.0012719697699792257,
fertility_choice_by_z_starter_dp_slack_bin,,0.0,-0.28,,,,,,below_far,0.0,
fertility_choice_by_z_starter_dp_slack_bin,,0.01008757820939166,-0.28,,,,,,below_near,0.06680796283469899,
fertility_choice_by_z_starter_dp_slack_bin,,0.04565235385725244,-0.28,,,,,,above_near,0.011064728621775932,
fertility_choice_by_z_starter_dp_slack_bin,,0.06790178611512247,-0.28,,,,,,above_far,0.0017813905921544152,
fertility_choice_by_z_starter_dp_slack_bin,,0.0,0.0,,,,,,below_far,0.0,
fertility_choice_by_z_starter_dp_slack_bin,,0.016207222484109468,0.0,,,,,,below_near,0.07864729253912843,
fertility_choice_by_z_starter_dp_slack_bin,,0.053159010552114465,0.0,,,,,,above_near,0.027575974332299816,
fertility_choice_by_z_starter_dp_slack_bin,,0.08911721474690047,0.0,,,,,,above_far,0.009456874517628281,
fertility_choice_by_z_starter_dp_slack_bin,,0.0,0.28,,,,,,below_far,0.0,
fertility_choice_by_z_starter_dp_slack_bin,,0.01594935974132234,0.28,,,,,,below_near,0.03515333874049276,
fertility_choice_by_z_starter_dp_slack_bin,,0.047236241937427106,0.28,,,,,,above_near,0.0189451400109697,
fertility_choice_by_z_starter_dp_slack_bin,,0.08342711536657961,0.28,,,,,,above_far,0.009338411143822277,
renter_to_owner_purchase_share_by_location_parity_z,,0.015741441742888756,-0.28,,,0,0,,,0.054744311038839165,
renter_to_owner_purchase_share_by_location_parity_z,,0.030899051113621036,0.0,,,0,0,,,0.07748188623132424,
renter_to_owner_purchase_share_by_location_parity_z,,0.06356566104187887,0.28,,,0,0,,,0.04139031862044806,
renter_to_owner_purchase_share_by_location_parity_z,,0.02902091769824207,-0.28,,,0,1,,,0.022360964039891202,
renter_to_owner_purchase_share_by_location_parity_z,,0.0373680161000572,0.0,,,0,1,,,0.037659046350162574,
renter_to_owner_purchase_share_by_location_parity_z,,0.1531663542561241,0.28,,,0,1,,,0.01600027303532441,
renter_to_owner_purchase_share_by_location_parity_z,,0.018123977576297776,-0.28,,,0,2,,,0.001676483066584732,
renter_to_owner_purchase_share_by_location_parity_z,,0.04378903523558907,0.0,,,0,2,,,0.002732997473241822,
renter_to_owner_purchase_share_by_location_parity_z,,0.1482351246628784,0.28,,,0,2,,,0.0013479341707976445,
renter_to_owner_purchase_share_by_location_parity_z,,0.044006234041343406,-0.28,,,0,3,,,5.106262371514355e-05,
renter_to_owner_purchase_share_by_location_parity_z,,0.036607886098151375,0.0,,,0,3,,,7.881108661413978e-05,
renter_to_owner_purchase_share_by_location_parity_z,,0.07563699064324675,0.28,,,0,3,,,4.213672452706473e-05,
renter_to_owner_purchase_share_by_location_parity_z,,0.005759789555188929,-0.28,,,1,0,,,0.031890848370068156,
renter_to_owner_purchase_share_by_location_parity_z,,0.031240571696321613,0.0,,,1,0,,,0.047789623115701244,
renter_to_owner_purchase_share_by_location_parity_z,,0.0843429565863718,0.28,,,1,0,,,0.026154682639220016,
renter_to_owner_purchase_share_by_location_parity_z,,0.007433370428236714,-0.28,,,1,1,,,0.01646150473363515,
renter_to_owner_purchase_share_by_location_parity_z,,0.03947952685905956,0.0,,,1,1,,,0.02704571719306704,
renter_to_owner_purchase_share_by_location_parity_z,,0.11165347378567902,0.28,,,1,1,,,0.012850084795979204,
renter_to_owner_purchase_share_by_location_parity_z,,0.020704960859373938,-0.28,,,1,2,,,0.0012206562570991706,
renter_to_owner_purchase_share_by_location_parity_z,,0.039748958339194854,0.0,,,1,2,,,0.0021471503224334077,
renter_to_owner_purchase_share_by_location_parity_z,,0.06202421497485608,0.28,,,1,2,,,0.0012820044657273159,
renter_to_owner_purchase_share_by_location_parity_z,,0.018773870336425462,-0.28,,,1,3,,,8.135179676378762e-05,
renter_to_owner_purchase_share_by_location_parity_z,,0.022193703300250854,0.0,,,1,3,,,0.00014360802928325582,
renter_to_owner_purchase_share_by_location_parity_z,,0.051988590860863236,0.28,,,1,3,,,7.747134080358164e-05,
