case,moment,target,baseline,model,baseline_gap,model_gap,abs_gap_improvement
fertility_utility_max,tfr,1.7,1.5577399532013758,1.628766192879442,-0.14226004679862414,-0.07123380712055805,0.0710262396780661
fertility_utility_max,childless_rate,0.15,0.3506682481240308,0.3330527060897769,0.2006682481240308,0.1830527060897769,0.017615542034253917
fertility_utility_max,mean_age_first_birth,26.0,34.792929270511685,34.79092561401728,8.792929270511685,8.790925614017283,0.0020036564944021507
fertility_utility_max,tfr_gradient,0.133,-0.23928484835171626,-0.25001429822493404,-0.37228484835171627,-0.38301429822493405,-0.010729449873217778
fertility_utility_max,own_rate,0.627,0.574877824481063,0.5719460372006955,-0.05212217551893705,-0.05505396279930452,-0.0029317872803674705
fertility_utility_max,own_gradient,0.17,-0.08189595715302245,-0.07075746662318738,-0.2518959571530225,-0.2407574666231874,0.011138490529835093
fertility_utility_max,own_family_gap,0.11,0.38261844706131304,0.389866808633299,0.27261844706131305,0.279866808633299,-0.0072483615719859396
fertility_utility_max,prime_childless_renter_median_rooms,4.0,5.766935898924492,5.755248408263879,1.7669358989244923,1.7552484082638786,0.011687490660613697
fertility_utility_max,prime_childless_owner_median_rooms,6.0,6.8,6.8,0.7999999999999998,0.7999999999999998,0.0
fertility_utility_max,housing_increment_0to1,0.66443467,0.5914008904712746,0.6052512700051098,-0.07303377952872536,-0.059183399994890196,0.013850379533835167
fertility_utility_max,housing_increment_1to2,0.56581378,1.492481719454366,1.509009528715974,0.926667939454366,0.9431957487159739,-0.016527809261607906
fertility_utility_max,young_liquid_wealth_to_income,0.6,1.2146623524737923,1.2446004875560719,0.6146623524737923,0.6446004875560719,-0.029938135082279604
fertility_utility_max,center_share_nonparents,0.494,0.31623927787718165,0.315312122456169,-0.17776072212281835,-0.17868787754383098,-0.0009271554210126265
fertility_utility_max,center_share_newparents,0.416,0.3926828644689537,0.3908312167383982,-0.023317135531046307,-0.025168783261601768,-0.0018516477305554613
fertility_utility_max,migration_rate,0.032,0.03350458536257135,0.03350118806314265,0.0015045853625713507,0.0015011880631426514,3.3972994286993186e-06
fertility_utility_max,old_age_own_rate,0.863,0.7089408305733089,0.7082527093563031,-0.15405916942669107,-0.15474729064369686,-0.0006881212170057882
fertility_utility_max,old_age_parent_childless_gap,0.07,0.29081668424259,0.29975527592060247,0.22081668424259,0.22975527592060246,-0.008938591678012475
fertility_utility_max,inv_pop_share_C,0.45,0.40904444539737816,0.4085827970567459,-0.040955554602621846,-0.04141720294325413,-0.00046164834063228133
fertility_utility_max,inv_rent_ratio_C_over_P,1.14,1.1963150217419762,1.1954314031055413,0.056315021741976334,0.0554314031055414,0.0008836186364349352
child_cost_low,tfr,1.7,1.5577399532013758,1.9925633288838136,-0.14226004679862414,0.29256332888381364,-0.1503032820851895
child_cost_low,childless_rate,0.15,0.3506682481240308,0.23687286029718943,0.2006682481240308,0.08687286029718944,0.11379538782684137
child_cost_low,mean_age_first_birth,26.0,34.792929270511685,34.17733826724916,8.792929270511685,8.177338267249162,0.6155910032625229
child_cost_low,tfr_gradient,0.133,-0.23928484835171626,-0.25602353453206184,-0.37228484835171627,-0.38902353453206184,-0.016738686180345574
child_cost_low,own_rate,0.627,0.574877824481063,0.5609185607388472,-0.05212217551893705,-0.06608143926115284,-0.013959263742215788
child_cost_low,own_gradient,0.17,-0.08189595715302245,-0.06373471165647904,-0.2518959571530225,-0.23373471165647905,0.018161245496543438
child_cost_low,own_family_gap,0.11,0.38261844706131304,0.36349571229630817,0.27261844706131305,0.2534957122963082,0.019122734765004867
child_cost_low,prime_childless_renter_median_rooms,4.0,5.766935898924492,5.7497526942711925,1.7669358989244923,1.7497526942711925,0.01718320465329981
child_cost_low,prime_childless_owner_median_rooms,6.0,6.8,6.8,0.7999999999999998,0.7999999999999998,0.0
child_cost_low,housing_increment_0to1,0.66443467,0.5914008904712746,0.548629740089881,-0.07303377952872536,-0.11580492991011904,-0.042771150381393674
child_cost_low,housing_increment_1to2,0.56581378,1.492481719454366,1.2525276940880747,0.926667939454366,0.6867139140880747,0.2399540253662913
child_cost_low,young_liquid_wealth_to_income,0.6,1.2146623524737923,1.2829072035084759,0.6146623524737923,0.6829072035084759,-0.06824485103468358
child_cost_low,center_share_nonparents,0.494,0.31623927787718165,0.3115565402116743,-0.17776072212281835,-0.1824434597883257,-0.004682737665507364
child_cost_low,center_share_newparents,0.416,0.3926828644689537,0.3787164526760956,-0.023317135531046307,-0.037283547323904376,-0.013966411792858069
child_cost_low,migration_rate,0.032,0.03350458536257135,0.03360946588282455,0.0015045853625713507,0.001609465882824547,-0.00010488052025319633
child_cost_low,old_age_own_rate,0.863,0.7089408305733089,0.7083063235703191,-0.15405916942669107,-0.1546936764296809,-0.000634507002989837
child_cost_low,old_age_parent_childless_gap,0.07,0.29081668424259,0.30510910981594813,0.22081668424259,0.23510910981594813,-0.014292425573358136
child_cost_low,inv_pop_share_C,0.45,0.40904444539737816,0.4078789092381275,-0.040955554602621846,-0.04212109076187254,-0.0011655361592506908
child_cost_low,inv_rent_ratio_C_over_P,1.14,1.1963150217419762,1.194827406532528,0.056315021741976334,0.054827406532528045,0.0014876152094482897
fertility_logit_high,tfr,1.7,1.5577399532013758,1.872293042584062,-0.14226004679862414,0.17229304258406208,-0.030032995785437944
fertility_logit_high,childless_rate,0.15,0.3506682481240308,0.23111615870185476,0.2006682481240308,0.08111615870185476,0.11955208942217604
fertility_logit_high,mean_age_first_birth,26.0,34.792929270511685,34.24093353205859,8.792929270511685,8.240933532058591,0.551995738453094
fertility_logit_high,tfr_gradient,0.133,-0.23928484835171626,-0.21501931862094636,-0.37228484835171627,-0.34801931862094637,0.024265529730769897
fertility_logit_high,own_rate,0.627,0.574877824481063,0.5498362763239076,-0.05212217551893705,-0.07716372367609237,-0.025041548157155313
fertility_logit_high,own_gradient,0.17,-0.08189595715302245,-0.04040744193900225,-0.2518959571530225,-0.21040744193900227,0.04148851521402022
fertility_logit_high,own_family_gap,0.11,0.38261844706131304,0.3457504649666722,0.27261844706131305,0.23575046496667224,0.03686798209464082
fertility_logit_high,prime_childless_renter_median_rooms,4.0,5.766935898924492,5.7028673975356226,1.7669358989244923,1.7028673975356226,0.06406850138886977
fertility_logit_high,prime_childless_owner_median_rooms,6.0,6.8,6.8,0.7999999999999998,0.7999999999999998,0.0
fertility_logit_high,housing_increment_0to1,0.66443467,0.5914008904712746,0.6948603773197952,-0.07303377952872536,0.030425707319795214,0.04260807220893015
fertility_logit_high,housing_increment_1to2,0.56581378,1.492481719454366,1.4581401741791327,0.926667939454366,0.8923263941791326,0.034341545275233365
fertility_logit_high,young_liquid_wealth_to_income,0.6,1.2146623524737923,1.4742780622211196,0.6146623524737923,0.8742780622211196,-0.2596157097473273
fertility_logit_high,center_share_nonparents,0.494,0.31623927787718165,0.30823648377898194,-0.17776072212281835,-0.18576351622101805,-0.008002794098199706
fertility_logit_high,center_share_newparents,0.416,0.3926828644689537,0.3725068788352316,-0.023317135531046307,-0.04349312116476839,-0.020175985633722082
fertility_logit_high,migration_rate,0.032,0.03350458536257135,0.03359989712546334,0.0015045853625713507,0.001599897125463337,-9.53117628919864e-05
fertility_logit_high,old_age_own_rate,0.863,0.7089408305733089,0.7109380630014869,-0.15405916942669107,-0.15206193699851311,0.001997232428177953
fertility_logit_high,old_age_parent_childless_gap,0.07,0.29081668424259,0.2828873184358515,0.22081668424259,0.2128873184358515,0.007929365806738475
fertility_logit_high,inv_pop_share_C,0.45,0.40904444539737816,0.405471689701287,-0.040955554602621846,-0.044528310298713014,-0.0035727556960911677
fertility_logit_high,inv_rent_ratio_C_over_P,1.14,1.1963150217419762,1.1896218334544848,0.056315021741976334,0.0496218334544849,0.006693188287491436
finance_high,tfr,1.7,1.5577399532013758,1.5611645827731986,-0.14226004679862414,-0.13883541722680137,0.003424629571822768
finance_high,childless_rate,0.15,0.3506682481240308,0.3495476348711904,0.2006682481240308,0.1995476348711904,0.0011206132528404078
finance_high,mean_age_first_birth,26.0,34.792929270511685,34.76657011388476,8.792929270511685,8.766570113884761,0.02635915662692412
finance_high,tfr_gradient,0.133,-0.23928484835171626,-0.24586221793241436,-0.37228484835171627,-0.37886221793241437,-0.0065773695806981
finance_high,own_rate,0.627,0.574877824481063,0.5832318493085081,-0.05212217551893705,-0.04376815069149187,0.008354024827445183
finance_high,own_gradient,0.17,-0.08189595715302245,-0.06964959999674092,-0.2518959571530225,-0.23964959999674093,0.012246357156281557
finance_high,own_family_gap,0.11,0.38261844706131304,0.36775100413815454,0.27261844706131305,0.25775100413815455,0.014867442923158503
finance_high,prime_childless_renter_median_rooms,4.0,5.766935898924492,5.769180151152994,1.7669358989244923,1.7691801511529937,-0.002244252228501331
finance_high,prime_childless_owner_median_rooms,6.0,6.8,6.8,0.7999999999999998,0.7999999999999998,0.0
finance_high,housing_increment_0to1,0.66443467,0.5914008904712746,0.5920038156719087,-0.07303377952872536,-0.07243085432809127,0.0006029252006340968
finance_high,housing_increment_1to2,0.56581378,1.492481719454366,1.4895677483738305,0.926667939454366,0.9237539683738305,0.0029139710805354824
finance_high,young_liquid_wealth_to_income,0.6,1.2146623524737923,1.213376644732729,0.6146623524737923,0.613376644732729,0.0012857077410632911
finance_high,center_share_nonparents,0.494,0.31623927787718165,0.31627623806817834,-0.17776072212281835,-0.17772376193182166,3.696019099669323e-05
finance_high,center_share_newparents,0.416,0.3926828644689537,0.39280278429896587,-0.023317135531046307,-0.023197215701034113,0.00011991983001219397
finance_high,migration_rate,0.032,0.03350458536257135,0.03346432349053268,0.0015045853625713507,0.0014643234905326805,4.026187203867021e-05
finance_high,old_age_own_rate,0.863,0.7089408305733089,0.7276154195986716,-0.15405916942669107,-0.1353845804013284,0.018674589025362676
finance_high,old_age_parent_childless_gap,0.07,0.29081668424259,0.26211291425144323,0.22081668424259,0.19211291425144322,0.028703769991146766
finance_high,inv_pop_share_C,0.45,0.40904444539737816,0.4084564842698342,-0.040955554602621846,-0.04154351573016579,-0.0005879611275439456
finance_high,inv_rent_ratio_C_over_P,1.14,1.1963150217419762,1.1960257474050093,0.056315021741976334,0.05602574740500943,0.00028927433696690485
center_pull,tfr,1.7,1.5577399532013758,1.6025888442846494,-0.14226004679862414,-0.09741115571535053,0.04484889108327361
center_pull,childless_rate,0.15,0.3506682481240308,0.3340231739999402,0.2006682481240308,0.1840231739999402,0.01664507412409061
center_pull,mean_age_first_birth,26.0,34.792929270511685,34.555661249682906,8.792929270511685,8.555661249682906,0.23726802082877896
center_pull,tfr_gradient,0.133,-0.23928484835171626,-0.43064041660491803,-0.37228484835171627,-0.563640416604918,-0.19135556825320177
center_pull,own_rate,0.627,0.574877824481063,0.5340616197649781,-0.05212217551893705,-0.09293838023502188,-0.040816204716084825
center_pull,own_gradient,0.17,-0.08189595715302245,-0.45281299814790116,-0.2518959571530225,-0.6228129981479011,-0.37091704099487866
center_pull,own_family_gap,0.11,0.38261844706131304,0.2965271100177516,0.27261844706131305,0.18652711001775163,0.08609133704356142
center_pull,prime_childless_renter_median_rooms,4.0,5.766935898924492,6.039371482790845,1.7669358989244923,2.0393714827908447,-0.27243558386635236
center_pull,prime_childless_owner_median_rooms,6.0,6.8,6.8,0.7999999999999998,0.7999999999999998,0.0
center_pull,housing_increment_0to1,0.66443467,0.5914008904712746,0.5845516406200861,-0.07303377952872536,-0.07988302937991387,-0.00684924985118851
center_pull,housing_increment_1to2,0.56581378,1.492481719454366,1.17317760312939,0.926667939454366,0.6073638231293899,0.31930411632497613
center_pull,young_liquid_wealth_to_income,0.6,1.2146623524737923,1.2314585361736492,0.6146623524737923,0.6314585361736492,-0.016796183699856915
center_pull,center_share_nonparents,0.494,0.31623927787718165,0.36260429385659887,-0.17776072212281835,-0.13139570614340113,0.04636501597941722
center_pull,center_share_newparents,0.416,0.3926828644689537,0.5308624546745349,-0.023317135531046307,0.11486245467453488,-0.09154531914348857
center_pull,migration_rate,0.032,0.03350458536257135,0.03525095741459664,0.0015045853625713507,0.0032509574145966405,-0.0017463720520252898
center_pull,old_age_own_rate,0.863,0.7089408305733089,0.7458002764642092,-0.15405916942669107,-0.11719972353579078,0.03685944589090029
center_pull,old_age_parent_childless_gap,0.07,0.29081668424259,0.23814933512207626,0.22081668424259,0.16814933512207625,0.05266734912051374
center_pull,inv_pop_share_C,0.45,0.40904444539737816,0.5631709168031482,-0.040955554602621846,0.11317091680314822,-0.07221536220052638
center_pull,inv_rent_ratio_C_over_P,1.14,1.1963150217419762,1.5339172621907564,0.056315021741976334,0.3939172621907565,-0.3376022404487802
beta_low,tfr,1.7,1.5577399532013758,1.541690909492581,-0.14226004679862414,-0.15830909050741893,-0.016049043708794786
beta_low,childless_rate,0.15,0.3506682481240308,0.32325134842563286,0.2006682481240308,0.17325134842563286,0.027416899698397945
beta_low,mean_age_first_birth,26.0,34.792929270511685,33.89439851249988,8.792929270511685,7.894398512499883,0.8985307580118018
beta_low,tfr_gradient,0.133,-0.23928484835171626,-0.19214557965367973,-0.37228484835171627,-0.32514557965367974,0.04713926869803653
beta_low,own_rate,0.627,0.574877824481063,0.45264659774898836,-0.05212217551893705,-0.17435340225101165,-0.1222312267320746
beta_low,own_gradient,0.17,-0.08189595715302245,-0.08426190207987094,-0.2518959571530225,-0.254261902079871,-0.0023659449268484956
beta_low,own_family_gap,0.11,0.38261844706131304,0.2975377426738499,0.27261844706131305,0.18753774267384993,0.08508070438746312
beta_low,prime_childless_renter_median_rooms,4.0,5.766935898924492,5.927280389144191,1.7669358989244923,1.9272803891441912,-0.16034449021969888
beta_low,prime_childless_owner_median_rooms,6.0,6.8,6.8,0.7999999999999998,0.7999999999999998,0.0
beta_low,housing_increment_0to1,0.66443467,0.5914008904712746,0.5281496668356933,-0.07303377952872536,-0.1362850031643067,-0.06325122363558133
beta_low,housing_increment_1to2,0.56581378,1.492481719454366,1.4307902242767518,0.926667939454366,0.8649764442767518,0.061691495177614186
beta_low,young_liquid_wealth_to_income,0.6,1.2146623524737923,0.9849778496008558,0.6146623524737923,0.3849778496008558,0.2296845028729365
beta_low,center_share_nonparents,0.494,0.31623927787718165,0.33236399535593447,-0.17776072212281835,-0.16163600464406552,0.016124717478752826
beta_low,center_share_newparents,0.416,0.3926828644689537,0.4020212903908051,-0.023317135531046307,-0.013978709609194895,0.009338425921851412
beta_low,migration_rate,0.032,0.03350458536257135,0.03485116922196679,0.0015045853625713507,0.002851169221966793,-0.0013465838593954421
beta_low,old_age_own_rate,0.863,0.7089408305733089,0.5959583162601791,-0.15405916942669107,-0.26704168373982085,-0.11298251431312978
beta_low,old_age_parent_childless_gap,0.07,0.29081668424259,0.3033493725314256,0.22081668424259,0.23334937253142557,-0.01253268828883558
beta_low,inv_pop_share_C,0.45,0.40904444539737816,0.413279874471846,-0.040955554602621846,-0.03672012552815401,0.0042354290744678336
beta_low,inv_rent_ratio_C_over_P,1.14,1.1963150217419762,1.1896840909139608,0.056315021741976334,0.049684090913960866,0.006630930828015469
bequest_child_low,tfr,1.7,1.5577399532013758,1.5692992153820307,-0.14226004679862414,-0.1307007846179693,0.011559262180654839
bequest_child_low,childless_rate,0.15,0.3506682481240308,0.34636921702585577,0.2006682481240308,0.19636921702585577,0.004299031098175032
bequest_child_low,mean_age_first_birth,26.0,34.792929270511685,34.798240988732196,8.792929270511685,8.798240988732196,-0.005311718220511352
bequest_child_low,tfr_gradient,0.133,-0.23928484835171626,-0.24073279070871,-0.37228484835171627,-0.37373279070871,-0.0014479423569937477
bequest_child_low,own_rate,0.627,0.574877824481063,0.5691835169125824,-0.05212217551893705,-0.0578164830874176,-0.00569430756848055
bequest_child_low,own_gradient,0.17,-0.08189595715302245,-0.0712435967587648,-0.2518959571530225,-0.2412435967587648,0.010652360394257682
bequest_child_low,own_family_gap,0.11,0.38261844706131304,0.38436720642957684,0.27261844706131305,0.27436720642957685,-0.001748759368263797
bequest_child_low,prime_childless_renter_median_rooms,4.0,5.766935898924492,5.765779970558571,1.7669358989244923,1.7657799705585706,0.0011559283659217101
bequest_child_low,prime_childless_owner_median_rooms,6.0,6.8,6.8,0.7999999999999998,0.7999999999999998,0.0
bequest_child_low,housing_increment_0to1,0.66443467,0.5914008904712746,0.5954867147399554,-0.07303377952872536,-0.0689479552600446,0.00408582426868076
bequest_child_low,housing_increment_1to2,0.56581378,1.492481719454366,1.4942826526050954,0.926667939454366,0.9284688726050954,-0.001800933150729378
bequest_child_low,young_liquid_wealth_to_income,0.6,1.2146623524737923,1.229892204083429,0.6146623524737923,0.629892204083429,-0.015229851609636746
bequest_child_low,center_share_nonparents,0.494,0.31623927787718165,0.3159730032365556,-0.17776072212281835,-0.1780269967634444,-0.000266274640626063
bequest_child_low,center_share_newparents,0.416,0.3926828644689537,0.3920650030533232,-0.023317135531046307,-0.02393499694667678,-0.0006178614156304718
bequest_child_low,migration_rate,0.032,0.03350458536257135,0.0335425159029517,0.0015045853625713507,0.0015425159029517008,-3.79305403803501e-05
bequest_child_low,old_age_own_rate,0.863,0.7089408305733089,0.6914952476740178,-0.15405916942669107,-0.17150475232598217,-0.0174455828992911
bequest_child_low,old_age_parent_childless_gap,0.07,0.29081668424259,0.2782218725794865,0.22081668424259,0.2082218725794865,0.0125948116631035
bequest_child_low,inv_pop_share_C,0.45,0.40904444539737816,0.4089752746713066,-0.040955554602621846,-0.04102472532869339,-6.917072607154351e-05
bequest_child_low,inv_rent_ratio_C_over_P,1.14,1.1963150217419762,1.1962595402325908,0.056315021741976334,0.05625954023259094,5.548150938539109e-05
combo_soft,tfr,1.7,1.5577399532013758,2.3760950526508706,-0.14226004679862414,0.6760950526508707,-0.5338350058522465
combo_soft,childless_rate,0.15,0.3506682481240308,0.09484391449109819,0.2006682481240308,-0.0551560855089018,0.145512162615129
combo_soft,mean_age_first_birth,26.0,34.792929270511685,32.42963337024084,8.792929270511685,6.429633370240843,2.363295900270842
combo_soft,tfr_gradient,0.133,-0.23928484835171626,-0.3100101964230113,-0.37228484835171627,-0.4430101964230113,-0.07072534807129505
combo_soft,own_rate,0.627,0.574877824481063,0.44105255981907826,-0.05212217551893705,-0.18594744018092174,-0.1338252646619847
combo_soft,own_gradient,0.17,-0.08189595715302245,-0.3861286497731919,-0.2518959571530225,-0.5561286497731919,-0.3042326926201694
combo_soft,own_family_gap,0.11,0.38261844706131304,0.24734248653022456,0.27261844706131305,0.13734248653022457,0.13527596053108848
combo_soft,prime_childless_renter_median_rooms,4.0,5.766935898924492,6.071563926128445,1.7669358989244923,2.0715639261284453,-0.304628027203953
combo_soft,prime_childless_owner_median_rooms,6.0,6.8,8.2,0.7999999999999998,2.1999999999999993,-1.3999999999999995
combo_soft,housing_increment_0to1,0.66443467,0.5914008904712746,0.6030002819178479,-0.07303377952872536,-0.06143438808215207,0.011599391446573293
combo_soft,housing_increment_1to2,0.56581378,1.492481719454366,1.0290556373135784,0.926667939454366,0.46324185731357836,0.4634260821407876
