diagnostic,z,mu,weight,income_scale,phi,balance_share,payment_rate,good_credit,tfr,own_rate,childless_rate,mean_age_first_birth,young_liquid_wealth_to_income,default_rate_proxy,near_cutoff_proxy,value
scenario,-0.28,no_mortgage_good,0.13999999999999999,0.7557837414557255,0.8,0.0,0.0,True,0.41668524847343275,0.5345192580261106,0.791802055101638,36.616715279309275,0.32298281976501864,0.0,0.0,
scenario,-0.28,no_mortgage_bad,0.026666666666666665,0.7557837414557255,0.6,0.0,0.0,False,0.3615181121787808,0.3679491494355161,0.8195237761779889,36.797087758418165,0.3848760868470449,0.0,0.0,
scenario,-0.28,active_low_good,0.09333333333333334,0.7557837414557255,0.8,0.35,0.055,True,0.08748905626599486,0.4935895114669933,0.9562585121130397,38.12464781958203,0.2538328069640849,0.09751581524974005,0.0,
scenario,-0.28,active_high_good,0.05666666666666667,0.7557837414557255,0.8,0.75,0.055,True,0.005068625561327166,0.45364895897834506,0.9974656995979932,39.49126631946002,0.18452454587456113,0.2892798079603773,6.110674034508083e-05,
scenario,-0.28,active_low_bad,0.016666666666666666,0.7557837414557255,0.6,0.35,0.075,False,0.03759793738048732,0.3150308787648603,0.9812014577773678,38.86730061950296,0.27994073198978736,0.24232056245383626,3.943272409861569e-08,
scenario,0.0,no_mortgage_good,0.13999999999999999,1.0,0.8,0.0,0.0,True,1.939889729602005,0.5082735718780166,0.1345714298236186,33.40830644151589,0.4825113012620378,0.0,0.0,
scenario,0.0,no_mortgage_bad,0.026666666666666665,1.0,0.6,0.0,0.0,False,1.8695180358594428,0.38843911798699454,0.15502526009877074,33.49110950712943,0.6198176467080049,0.0,0.0,
scenario,0.0,active_low_good,0.09333333333333334,1.0,0.8,0.35,0.055,True,1.588495805317324,0.5963180915906776,0.24848597149103174,34.51671675593221,0.41252010237510883,0.8157872988420984,0.03347683098706553,
scenario,0.0,active_high_good,0.05666666666666667,1.0,0.8,0.75,0.055,True,1.0017230161634243,0.6637538371429853,0.5060067630637197,35.61379232082251,0.3163359943099052,0.4186026768096976,0.05676873465315888,
scenario,0.0,active_low_bad,0.016666666666666666,1.0,0.6,0.35,0.075,False,1.338145838183552,0.5037329370739366,0.3537093832302827,35.06534816080854,0.4856090580478374,0.24476905584729666,0.0004914669797344243,
scenario,0.28,no_mortgage_good,0.13999999999999999,1.3231298123374369,0.8,0.0,0.0,True,2.9196837036659575,0.5245899608983323,0.025499456808861298,30.551800333260807,0.7249058682829369,0.0,0.0,
scenario,0.28,no_mortgage_bad,0.026666666666666665,1.3231298123374369,0.6,0.0,0.0,False,2.84041838950682,0.5211840451447388,0.027529822643719983,30.603784476989794,0.7009385666349522,0.0,0.0,
scenario,0.28,active_low_good,0.09333333333333334,1.3231298123374369,0.8,0.35,0.055,True,2.650104110211627,0.5754123965942043,0.03972859253118243,31.379034888275008,0.4974212218621909,0.8843374637408774,0.0,
scenario,0.28,active_high_good,0.05666666666666667,1.3231298123374369,0.8,0.75,0.055,True,2.3438037665453,0.6414423189211919,0.06772706397089967,32.389934497909586,0.40338901781574105,0.9729198262362195,0.0,
scenario,0.28,active_low_bad,0.016666666666666666,1.3231298123374369,0.6,0.35,0.075,False,2.4869989904948646,0.5089060438409554,0.05197449884007451,31.786285239640392,0.634407940746711,0.2702921323552968,0.00696271569757762,
by_z_tfr,-0.28,,,,,,,,,,,,,,,0.23116775230207276
by_z_own_rate,-0.28,,,,,,,,,,,,,,,0.4850109505011275
by_z_young_liquid_wealth_to_income,-0.28,,,,,,,,,,,,,,,0.28288226659717997
by_z_tfr,0.0,,,,,,,,,,,,,,,1.6462941594474076
by_z_own_rate,0.0,,,,,,,,,,,,,,,0.5495438944411206
by_z_young_liquid_wealth_to_income,0.0,,,,,,,,,,,,,,,0.4458033588668025
by_z_tfr,0.28,,,,,,,,,,,,,,,2.7183263673969478
by_z_own_rate,0.28,,,,,,,,,,,,,,,0.5576284746439063
by_z_young_liquid_wealth_to_income,0.28,,,,,,,,,,,,,,,0.6001100221970547
by_mu_tfr,,active_high_good,,,,,,,,,,,,,,1.1168651360900173
by_mu_own_rate,,active_high_good,,,,,,,,,,,,,,0.5862817050141741
by_mu_young_liquid_wealth_to_income,,active_high_good,,,,,,,,,,,,,,0.30141651933340247
by_mu_tfr,,active_low_bad,,,,,,,,,,,,,,1.2875809220196346
by_mu_own_rate,,active_low_bad,,,,,,,,,,,,,,0.4425566198932508
by_mu_young_liquid_wealth_to_income,,active_low_bad,,,,,,,,,,,,,,0.4666525769281119
by_mu_tfr,,active_low_good,,,,,,,,,,,,,,1.4420296572649818
by_mu_own_rate,,active_low_good,,,,,,,,,,,,,,0.555106666550625
by_mu_young_liquid_wealth_to_income,,active_low_good,,,,,,,,,,,,,,0.38792471040046156
by_mu_tfr,,no_mortgage_bad,,,,,,,,,,,,,,1.690484845848348
by_mu_own_rate,,no_mortgage_bad,,,,,,,,,,,,,,0.4258574375224165
by_mu_young_liquid_wealth_to_income,,no_mortgage_bad,,,,,,,,,,,,,,0.5685441000633341
by_mu_tfr,,no_mortgage_good,,,,,,,,,,,,,,1.7587528939137984
by_mu_own_rate,,no_mortgage_good,,,,,,,,,,,,,,0.5224609302674865
by_mu_young_liquid_wealth_to_income,,no_mortgage_good,,,,,,,,,,,,,,0.5101333297699978
