diagnostic,name,value,notes,age,z,stationary_mass,transition_row,mass_share,mean_liquid_wealth,mean_income,own_rate,fertility_choice,wealth_bin,expected_completed_fertility_choice,mass
state_size,Nb,30,,,,,,,,,,,,,
state_size,tenure_states,7,,,,,,,,,,,,,
state_size,locations,2,,,,,,,,,,,,,
state_size,ages,60,,,,,,,,,,,,,
state_size,fertility_states,4,,,,,,,,,,,,,
state_size,child_age_states,7,,,,,,,,,,,,,
state_size,z_states,3,,,,,,,,,,,,,
state_size,mu_states,0,,,,,,,,,,,,,
z_process,,,,,-0.28,0.3333333333333333,"[0.82, 0.16000000000000006, 0.02]",,,,,,,,
z_process,,,,,0.0,0.3333333333333333,"[0.09000000000000002, 0.82, 0.09000000000000002]",,,,,,,,
z_process,,,,,0.28,0.3333333333333333,"[0.02, 0.16000000000000006, 0.82]",,,,,,,,
z_by_age,,,,18.0,-0.28,,,0.3333333333333333,0.3188336912940299,0.35058162523036,0.0,,,,
z_by_age,,,,18.0,0.0,,,0.3333333333333332,0.31883369129402983,0.4638649999999999,0.0,,,,
z_by_age,,,,18.0,0.28,,,0.3333333333333334,0.31883369129402983,0.6137536103999051,0.0,,,,
z_by_age,,,,19.0,-0.28,,,0.31000000000000016,0.32133062659568323,0.35058162523036,0.0,,,,
z_by_age,,,,19.0,0.0,,,0.37999999999999984,0.33280076597350333,0.4638649999999999,0.0,,,,
z_by_age,,,,19.0,0.28,,,0.31000000000000005,0.40113310999544866,0.613753610399905,0.0,,,,
z_by_age,,,,20.0,-0.28,,,0.29460000000000014,0.32622055353087986,0.35058162523036,0.0,,,,
z_by_age,,,,20.0,0.0,,,0.41079999999999994,0.3501196230777839,0.46386499999999997,0.0,,,,
z_by_age,,,,20.0,0.28,,,0.2946,0.4612145548783425,0.6137536103999051,0.0,,,,
z_by_age,,,,21.0,-0.28,,,0.2844360000000001,0.33295357205376175,0.3505816252303601,0.0,,,,
z_by_age,,,,21.0,0.0,,,0.431128,0.36688933361936016,0.46386499999999997,0.0,,,,
z_by_age,,,,21.0,0.28,,,0.28443599999999986,0.5004953605876189,0.613753610399905,0.0,,,,
z_by_age,,,,22.0,-0.28,,,0.27772776000000016,0.3403722912470599,0.3505816252303601,2.3867010133368164e-05,,,,
z_by_age,,,,22.0,0.0,,,0.44454447999999996,0.3805424937445226,0.4638649999999998,0.00012707382198263783,,,,
z_by_age,,,,22.0,0.28,,,0.2777277599999999,0.5197808675219545,0.6137536103999052,0.0005298282214941352,,,,
z_by_age,,,,23.0,-0.28,,,0.27330032160000695,0.34549783918356675,0.35058162523036,0.0005446985573970161,,,,
z_by_age,,,,23.0,0.0,,,0.4533993568000076,0.3821162289679889,0.46386499999999986,0.0025602802431827706,,,,
z_by_age,,,,23.0,0.28,,,0.2733003215999852,0.4586431219509528,0.6137536103999053,0.020079642851837304,,,,
z_by_age,,,,24.0,-0.28,,,0.27037821225600345,0.3475249752822505,0.35058162523036,0.00131723922909475,,,,
z_by_age,,,,24.0,0.0,,,0.45924357548800293,0.37854864905403,0.4638649999999999,0.004861521537982986,,,,
