moment,target,model,benchmark_model,notes
tfr,1.7,1.880170566326004,1.898,V3 structural z-state PE solve; mortgage account not structural
childless_rate,0.15,0.17453609687703042,0.145,V3 structural z-state PE solve; mortgage account not structural
mean_age_first_birth,26.0,34.25667658246773,33.535,V3 structural z-state PE solve; mortgage account not structural
tfr_gradient,0.133,0.084816528216894,0.119,V3 structural z-state PE solve; mortgage account not structural
own_rate,0.627,0.6453504345831912,0.643,V3 structural z-state PE solve; mortgage account not structural
own_gradient,0.17,-0.07919040582925851,0.139,V3 structural z-state PE solve; mortgage account not structural
own_family_gap,0.11,0.1597800419851068,0.114,V3 structural z-state PE solve; mortgage account not structural
prime_childless_renter_median_rooms,4.0,6.2383953392976235,6.365,V3 structural z-state PE solve; mortgage account not structural
prime_childless_owner_median_rooms,6.0,6.8,6.8,V3 structural z-state PE solve; mortgage account not structural
housing_increment_0to1,0.66443467,0.41183682201746663,0.441,V3 structural z-state PE solve; mortgage account not structural
housing_increment_1to2,0.56581378,0.4014964595964958,0.192,V3 structural z-state PE solve; mortgage account not structural
young_liquid_wealth_to_income,0.6,0.9287250011002728,0.527,V3 structural z-state PE solve; mortgage account not structural
center_share_nonparents,0.494,0.39310376888246756,0.405,V3 structural z-state PE solve; mortgage account not structural
center_share_newparents,0.416,0.3875202314586087,0.382,V3 structural z-state PE solve; mortgage account not structural
migration_rate,0.032,0.03482903684457993,0.035,V3 structural z-state PE solve; mortgage account not structural
old_age_own_rate,0.863,0.802547018232423,0.947,V3 structural z-state PE solve; mortgage account not structural
old_age_parent_childless_gap,0.07,0.006010677093735706,0.062,V3 structural z-state PE solve; mortgage account not structural
inv_pop_share_C,0.45,0.44633529259491195,0.441,V3 structural z-state PE solve; mortgage account not structural
inv_rent_ratio_C_over_P,1.14,1.1824877314608842,1.182,V3 structural z-state PE solve; mortgage account not structural
