moment,target,weight,floor_model,floor_gap,floor_relative_gap,floor_loss_contribution,tilt_model,tilt_gap,tilt_relative_gap,tilt_loss_contribution
tfr,1.918,1425.7389910084596,1.966666222402155,0.04866622240215501,0.025373421481832647,3.376721941320185,1.9756474578866332,0.05764745788663328,0.030056026009714954,4.738057732773633
childless_rate,0.188,17180.743822072007,0.1038955371415157,-0.0841044628584843,-0.44736416414087393,121.5290338277854,0.10798119092129463,-0.08001880907870537,-0.42563196318460306,110.00847117353175
mean_age_first_birth,25.310560799362,16.0,25.570678938461974,0.2601181390999727,0.010277059491567231,1.0825831406213242,25.701372511593128,0.39081171223112676,0.015440657966020961,2.4437407106724005
share_first_births_age30plus,0.270062376851342,15625.0,0.3274632539532621,0.0574008771019201,0.21254673742843075,51.48219831358961,0.3354578474864572,0.0653954706351152,0.24214950411664582,66.82136843106584
housing_increment_0to1,0.664435,906.0558911497827,0.6901895855951284,0.025754585595128443,0.038761632959023,0.6009856758600071,0.6879203363450053,0.02348533634500527,0.035346326344947616,0.4997451144334151
prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,2958.514988007638,0.35913689061778253,-0.00856266819221746,-0.02328713208122726,0.21691620822740942,0.3417960684374428,-0.02590349037255718,-0.07044743392238388,1.9851363784994567
own_family_gap,0.16766167,14229.590955975675,0.16195025619003328,-0.005711413809966731,-0.034065113451194486,0.46417278177710053,0.17279572551019523,0.005134055510195218,0.030621521962624,0.3750710429229856
own_rate,0.575472,1207.8460856134493,0.5824800159232557,0.007008015923255728,0.012177857347109378,0.059320083826618346,0.5980474440023107,0.022575444002310707,0.03922943949021101,0.6155795690864506
aggregate_mean_occupied_rooms_18_85,5.779970481941968,11.973159013172177,6.478003786279858,0.6980333043378906,0.12076762442277451,5.833927643488128,5.948457592055206,0.16848711011323836,0.029150167918613603,0.33989291587334786
aggregate_wealth_to_annual_gross_labor_earnings,6.8731,6.287669427540395,5.794118754534836,-1.0789812454651644,-0.15698611186584865,7.320108067844189,5.7876455640242215,-1.0854544359757785,-0.15792792713270265,7.408203375041722
annual_bequest_flow_to_aggregate_wealth,0.0088,5165289.256198346,0.008712981738679243,-8.70182613207579e-05,-0.00988843878644976,0.0391124886533456,0.008854230457048364,5.4230457048363295e-05,0.006162551937314011,0.015190818552037062
old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,56.95977216091135,2.0897040157012996,-1.3584067387442205,-0.39395681736524196,105.1060942892536,2.096743866341289,-1.3513668881042311,-0.3919151629227583,104.01950680039947
