cell,kcfg,psi_child,delta_alpha_jump,kappa_fert,kappa_fert_continuation,CF,childless,childless_chosen,childless_clock,joint_distance,share_3plus,pp12_flow,pp23_flow,mean_age_first_birth,own_family_gap,market_residual
1,shared,0.5,0.087,15.9109,,1.6301961917997083,0.07383389747890852,0.029637314082667628,0.04419779412838857,0.3912888452627429,0.17000055866382735,0.5031811319315361,0.36478512389730805,25.121702129074787,0.10078751889910842,1.581145989348608e-05
2,shared,0.5,0.15,15.9109,,1.6318708613761754,0.0732937971607743,0.02932758174670294,0.04396794591123068,0.3945250268741151,0.17036688792811025,0.5035587485851708,0.3650841466596738,25.107590543057178,0.16698551371744552,4.14258472317712e-07
3,shared,0.5,0.22,15.9109,,1.633739896317301,0.07268083853814336,0.028975600020777908,0.04370786340667325,0.3982244808294532,0.1707701467167157,0.503971608401197,0.3654068187396957,25.091716101045034,0.24006060866359213,1.907421963652145e-05
4,shared,0.5,0.3,15.9109,,1.635847732525773,0.07198073762931012,0.028573129907071927,0.04341067954301533,0.4024823347597889,0.17122005601040902,0.5044296068948472,0.3657607297449593,25.07361079398139,0.30321168546956684,6.723367350122721e-06
5,shared,0.5,0.38,15.9109,,1.6379001926577206,0.07128897622102834,0.02817526262005529,0.0431167784302232,0.4067236930958163,0.1716522439699879,0.5048675147095161,0.36609302677782074,25.055881368366414,0.3558130057580356,6.734895662164473e-06
6,shared,0.5,0.46,15.9109,,1.6399394194373156,0.07060043115765689,0.02777997436433382,0.04282378428769482,0.4109750535079282,0.17208053921587096,0.5053016083167748,0.36641952971591335,25.038366274837124,0.3992216834523086,2.109168081416119e-07
7,shared,0.5,0.55,15.9109,,1.6422628942701434,0.06982102465941212,0.027333602520246667,0.04249042531014999,0.41582025810380885,0.1725715975845803,0.5057990937544791,0.3667961381155222,25.018564107997083,0.4304423066031609,1.1962167027319403e-06
8,shared,1.0,0.087,15.9109,,1.6810850531817385,0.06409198075725121,0.024289419611440988,0.0398036199020262,0.44965096476592803,0.1847384812384148,0.5198621550352468,0.3796959785711437,24.86840338194186,0.10376921442567943,1.5120140078824121e-05
9,shared,1.0,0.15,15.9109,,1.6826561331170813,0.06361842812167148,0.024030288989524033,0.03958965567058778,0.45277595660942166,0.18510505599024707,0.5202232696776696,0.37999304575964704,24.854709893059795,0.1708665726981204,1.6303798471817872e-06
10,shared,1.0,0.22,15.9109,,1.684407416455878,0.06308124341105865,0.023735891332772447,0.039347613138114385,0.4563417700050921,0.18550838697896907,0.5206181584992535,0.38031399171274627,24.83930896388096,0.2447575785183579,5.596790499594766e-06
11,shared,1.0,0.3,15.9109,,1.6863790699846066,0.062468030289263406,0.02339948284633305,0.03907131324840876,0.4604377162863864,0.18595759938974807,0.5210557894726106,0.380665589065754,24.821754475287726,0.3088524364951107,1.983491346487996e-07
12,shared,1.0,0.38,15.9109,,1.6882961993131866,0.061862750826233825,0.023067263478617546,0.03879830401977145,0.46450723286645024,0.1863888348872915,0.5214744225553035,0.3809960731960185,24.8045744255309,0.3614812936169453,6.660291389098791e-06
13,shared,1.0,0.46,15.9109,,1.6902009898520527,0.06126014235670197,0.022737046194403907,0.03852616078936546,0.46858185098750804,0.18681617841641,0.5218895083871242,0.3813209456287529,24.787602152099304,0.4058482492396367,1.14585232071707e-06
14,shared,1.0,0.55,15.9109,,1.6923711766796377,0.060578448417909735,0.022364441950618274,0.03821679387575236,0.47321647394413285,0.1873060708460257,0.5223651995640166,0.3816955516791543,24.76842371492387,0.43747741437313487,8.18372464327111e-07
15,shared,1.5,0.087,15.9109,,1.730119430956527,0.05547276241776703,0.0197869756107113,0.035686705956249606,0.5065247625761271,0.1996312874208639,0.5358324999795817,0.3944437420248576,24.620319172284816,0.10683911339648405,3.7996421430977426e-06
16,shared,1.5,0.15,15.9109,,1.7315887416961977,0.05505965879687157,0.01957180876556552,0.03548917106202003,0.5094780747432608,0.1999956885514011,0.5361761107234969,0.3947378606676709,24.6070612761482,0.17478572136242165,8.941795150443814e-08
17,shared,1.5,0.22,15.9109,,1.733224250922813,0.05459137461783284,0.01932748672330591,0.035265865412780165,0.512841994487322,0.20039633798741935,0.5365518558906355,0.39505586984370883,24.592160626875394,0.24947139055697237,1.621111956614568e-07
18,shared,1.5,0.3,15.9109,,1.7350630017711623,0.0540569490472719,0.01904836561561228,0.03501103732783886,0.5167007402889365,0.2008420139699413,0.5369679805273706,0.3954041167626199,24.575175688793514,0.31436225197525847,5.884688663390336e-07
19,shared,1.5,0.38,15.9109,,1.7368489463044263,0.05352968301388847,0.018772982257402367,0.03475937518854101,0.5205282058917521,0.2012695439920516,0.5373663159364978,0.3957315037728732,24.558558731502043,0.36698964687455393,6.797811014624716e-06
20,shared,1.5,0.46,15.9109,,1.7386231918331858,0.05300491726259001,0.01849914321241051,0.03450864089372657,0.5243551784285193,0.2016933584381522,0.53776140659658,0.39605385263834747,24.542148679444807,0.41236608664070656,1.2629185507251248e-06
21,shared,1.5,0.55,15.9109,,1.7406434309431789,0.05241188237797376,0.018190495024497474,0.0342239627766243,0.5286993712250663,0.20217880499378457,0.5382137848200426,0.3964251533618089,24.523623848202796,0.4445664500634672,1.3404568224923957e-07
22,shared,2.0,0.087,15.9109,,1.7771815651830902,0.04788767273239843,0.016025817876894284,0.031862647082434185,0.5608302091581662,0.21457637048283762,0.5510508627821274,0.4089799526203834,24.37814102717809,0.11009248028454577,5.6508372683675296e-06
23,shared,2.0,0.15,15.9109,,1.7785519673638168,0.04752897603607392,0.015848444045914293,0.031681675877265184,0.5635733685361588,0.21493641585080456,0.5513763126628689,0.40927020181685636,24.365333632856064,0.1788796120437579,3.293078940845519e-06
24,shared,2.0,0.22,15.9109,,1.7800750138085828,0.047122624303670334,0.015647126060904994,0.031477217545789866,0.5666932085774181,0.21533189214242185,0.5517320518273979,0.4095841362818997,24.35094723363484,0.2542951738643739,2.2410203125112262e-07
25,shared,2.0,0.3,15.9109,,1.7817853089613696,0.04665911917184491,0.0154172498777832,0.031244021474082256,0.5702667983246535,0.2157715033865376,0.552126037554776,0.409928054795091,24.334553410949894,0.3199646638684811,6.632664909501186e-07
26,shared,2.0,0.38,15.9109,,1.7834442865663251,0.046202037831094334,0.015190545473195016,0.03101387215377501,0.5738063437330446,0.21619284176900416,0.5525031143773078,0.41025150987557985,24.31852214536363,0.3729527521701933,2.0437686248722537e-06
27,shared,2.0,0.46,15.9109,,1.7850929762845373,0.04574707012364087,0.014965125763636582,0.030784569348328003,0.5773429369736435,0.2166107305953534,0.5528775521088437,0.4105702793955726,24.30268604997656,0.41914951854912247,2.210579203529392e-06
28,shared,2.0,0.55,15.9109,,1.7869711301422821,0.045232458851749396,0.014710630356278667,0.030524134084311275,0.5813581051256105,0.21708928943291464,0.5533059734219364,0.41093713791313935,24.284816757548317,0.45365297324551224,5.052214112734205e-07
29,shared,3.0,0.087,15.9109,,1.8650853646548908,0.035456013095158244,0.010340381479872644,0.025116214325371852,0.6591378747483817,0.24424392276575477,0.5791336563424626,0.43724305934281354,23.91391569794922,0.11666156681361783,3.4280326336320184e-06
30,shared,3.0,0.15,15.9109,,1.866268812504051,0.03518896779372826,0.010222306450649157,0.02496749806008053,0.6614113520152264,0.24458951543107088,0.5794217104923042,0.4375229229188832,23.902045584779046,0.1877587349068504,1.2476981401347112e-06
31,shared,3.0,0.22,15.9109,,1.8675813484603245,0.03488671392816699,0.0100883727659664,0.024799611179951775,0.6639911011932356,0.2449688275197647,0.5797368168554876,0.437826100804782,23.888720991192415,0.2645205231698599,1.7777538316656096e-07
32,shared,3.0,0.3,15.9109,,1.8690508419912852,0.03454222742669941,0.009935560643160854,0.02460831371741358,0.6669394566350311,0.24538950452626465,0.5800851978006796,0.4381581739929577,23.873548584596982,0.3308120159643531,1.1792529691364753e-08
33,shared,3.0,0.38,15.9109,,1.8704736371008135,0.03420286496905847,0.00978501095363217,0.024419714081465586,0.6698523126629481,0.24579243112798113,0.5804190933219155,0.438471026256864,23.858720599289438,0.3851925676865431,6.85933037151168e-06
