measurement,own_rate_2534,interpretation
production_whole_nodes,0.5847439214838341,unchanged model age_to_index aggregation
cells_start_at_node,0.5360068332914691,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.5848111331586332,diagnostic uniform density within each four-year cell
