moment,target,model,gap,weight,loss_contribution,descriptive_fixed_psi
initial_normalization,2.1,2.1918435259997096,0.09184352599970946,,,True
cps_childlessness,0.19827875100684264,0.15485327521280706,-0.04342547579403558,35532.3042455214,67.00582259181571,True
cps_exactly_one,0.21365532522014702,0.21973866387439817,0.006083338654251147,26952.820824310795,0.9974432877343221,True
nchs_mean_age,25.976263860992496,25.72523538289522,-0.25102847809727535,139.82806784479274,8.811307198424222,True
nchs_share30,0.2492780130410667,0.214355836252448,-0.0349221767886187,13866.065434728798,16.910477014810926,True
wealth_earnings,6.92658379107299,6.161508473393886,-0.7650753176791039,7.595098472533724,4.445716775813625,True
bequest_wealth,0.007291023472616158,0.006923132269278786,-0.00036789120333737164,5165289.256198346,0.6990905862242731,True
old_dispersion,3.51593508651872,2.905721192843598,-0.6102138936751218,10.616361531535473,3.953118954141213,True
mean_rooms,5.607885960068579,6.551437352391672,0.9435513923230934,128.02070205233477,113.97545224845216,True
ownership_30_55,0.6762604168538028,0.751254423188562,0.07499400633475917,2339.3623724673616,13.15681022592758,True
first_birth_rooms,1.465,0.7635062060768698,-0.7014937939231303,137.5652749002964,67.69498350744186,True
family_rooms,0.38509964969278165,0.2130927618001337,-0.17200688789264795,280.52808370152104,8.299807534614803,True
recent_parent_ownership,0.12760836356692162,0.05803424532269519,-0.06957411824422643,27055.822957508266,130.9652783550759,True
