group,risk_mass,expected_births,risk_share_negative_interior,risk_share_positive_interior,risk_share_tied_interior,risk_share_zero_try,risk_share_zero_wait,risk_share_unavailable,birth_share_negative_interior,birth_share_positive_interior,birth_share_boundary,gap_over_kappa_p10,gap_over_kappa_median,gap_over_kappa_p90
first_birth,0.19039049381590284,0.05291311915962661,0.7517874748757494,0.24820797617594684,0.0,4.5489482767767995e-06,0.0,2.7026116776301086e-14,0.48860909161300964,0.5113909083869902,0.0,-5.523910823932381,-0.8424443966650983,0.482453326969172
later_births,0.20471440405878083,0.06777867204072538,0.7454604330117277,0.25453940977474865,0.0,1.5721351049529539e-07,0.0,1.3716959998429929e-14,0.7270344027004118,0.27296559729958814,0.0,-0.8818803599486792,-0.25946605620280744,0.2043605494179842
all_births,0.39510489787468367,0.120691791200352,0.7485092654391784,0.25148846108764633,0.0,2.273473155360559e-06,0.0,2.0130287053706923e-14,0.6225051155735342,0.37749488442646567,0.0,-3.2469925156591892,-0.37415107937833736,0.2704783966816609
first_birth_nonpositive_liquid_wealth,0.12040029415903077,0.027669676452284207,0.8196630168743441,0.1803297898167031,0.0,7.193308910147493e-06,0.0,4.273673710605527e-14,0.5471857580176517,0.4528142419823483,0.0,-8.067397954959556,-1.4784098383853401,0.4189330523382668
