group,risk_mass,expected_births,risk_share_negative_interior,risk_share_positive_interior,risk_share_tied_interior,risk_share_zero_try,risk_share_zero_wait,risk_share_unavailable,birth_share_negative_interior,birth_share_positive_interior,birth_share_boundary,gap_over_kappa_p10,gap_over_kappa_median,gap_over_kappa_p90,age,birth_number
child_1_age_18.0,0.061733456180814675,0.01804798886383859,0.781143530034617,0.21885646996538294,0.0,0.0,0.0,0.0,0.5698816950057789,0.43011830499422116,0.0,-5.812658259489952,-0.8011333804291305,0.28551818508294347,18.0,1
child_2_age_18.0,0.0,0.0,,,,,,,,,,,,,18.0,2
child_3_age_18.0,0.0,0.0,,,,,,,,,,,,,18.0,3
child_1_age_22.0,0.04368546731697525,0.01369241161750742,0.6883801252812128,0.31161891130025904,0.0,9.634185284895527e-07,0.0,0.0,0.42358579009083347,0.5764142099091667,0.0,-6.025174718419661,-0.6564125709323,0.5329402090673896,22.0,1
child_2_age_22.0,0.01804798886383858,0.006592486217589224,0.9999999907735186,0.0,0.0,9.226481455272861e-09,0.0,0.0,1.0000000000000002,0.0,0.0,-0.7582234924965894,-0.4259701005879482,-0.29780229690872,22.0,2
child_3_age_22.0,0.0,0.0,,,,,,,,,,,,,22.0,3
child_1_age_26.0,0.029993055699465254,0.009830482772093408,0.6507564470666182,0.34924335134652773,0.0,2.0158685402079348e-07,0.0,0.0,0.3706216071086085,0.6293783928913915,0.0,-5.416596095997035,-0.6279124546622757,0.754862993106993,26.0,1
child_2_age_26.0,0.025147914263750244,0.00961370149059795,0.9999999909132963,0.0,0.0,9.086703903180197e-09,0.0,0.0,1.0,0.0,0.0,-0.7112051696982917,-0.2972142099954169,-0.16103437542274338,26.0,2
child_3_age_26.0,0.006592486217582233,0.0016434221187036013,0.9999999995781295,0.0,0.0,4.2187049467942935e-10,0.0,0.0,1.0,0.0,0.0,-1.2108077337563197,-0.9727365989726968,-0.8962568954569715,26.0,3
child_1_age_30.0,0.020162572927369334,0.005970951794862662,0.6675171659918978,0.3324760115779444,0.0,6.822430158082384e-06,0.0,0.0,0.3669737001423795,0.6330262998576204,0.0,-4.918964610545419,-0.7278386700464229,0.7742959145325732,30.0,1
child_2_age_30.0,0.025364695545243305,0.010139244724705516,0.838411332915684,0.161588666862395,0.0,2.219208842391671e-10,0.0,0.0,0.8143218881405934,0.18567811185940666,0.0,-0.5855588447291935,-0.13773544847635544,0.027855500567697675,30.0,2
child_3_age_30.0,0.014562765589468467,0.0038377879240117357,0.9999999999928273,0.0,0.0,7.172699779178121e-12,0.0,0.0,0.9999999999999998,0.0,0.0,-1.0861286460897843,-0.8295503511757856,-0.7447898888726696,30.0,3
child_1_age_34.0,0.014191621132502942,0.003154465780946236,0.8009509588685589,0.1990368386619022,0.0,1.220246953880914e-05,0.0,0.0,0.5595491106714175,0.4404508893285824,0.0,-5.479720534965482,-1.063444983769394,0.30588988636563824,34.0,1
child_2_age_34.0,0.021196402615397656,0.00857116031508519,0.4047560628464517,0.5952434893924765,0.0,4.477610717742835e-07,0.0,0.0,0.34343889218286056,0.6565611078171393,0.0,-0.42038618376307046,0.04875788130745027,0.24670614877787608,34.0,2
child_3_age_34.0,0.02086422239016047,0.005933626071724131,0.9999999715167208,0.0,0.0,2.8483279143674192e-08,0.0,0.0,1.0,0.0,0.0,-0.8825345094177716,-0.5943296900131277,-0.49193371741563446,34.0,3
child_1_age_38.0,0.011037155351553824,0.001449990144325641,0.988259061415409,0.011719737583033952,0.0,2.1201001119662247e-05,0.0,4.371927013123976e-13,0.9670571268771503,0.03294287312284969,0.0,-5.180108191275175,-1.6131820798636691,-0.43290093525849027,38.0,1
child_2_age_38.0,0.015779708081255648,0.005717103762041108,0.30569348785102235,0.6943053137778722,0.0,1.1983709384992146e-06,0.0,1.6696791851652275e-13,0.24284687539363792,0.7571531246063622,0.0,-0.39627478652433107,0.15130303656750577,0.3657519222825154,38.0,2
child_3_age_38.0,0.02350175663351964,0.007074991000531516,0.9999998814913289,0.0,0.0,1.1850867128165459e-07,0.0,2.9866589331945863e-18,0.9999999999999999,0.0,0.0,-0.5729883464831074,-0.23764985655150145,-0.11179603467382329,38.0,3
child_1_age_42.0,0.009587165207221566,0.0007668281860526485,0.999971502149421,0.0,0.0,2.849785054573021e-05,0.0,3.3393808190002134e-14,1.0000000000000002,0.0,0.0,-3.605733298678546,-1.687846106882319,-0.8701916378601392,42.0,1
child_2_age_42.0,0.011512594463536259,0.0028765993204794447,0.35553920110321885,0.6444607988956153,0.0,1.1508745200211124e-12,0.0,1.5051541367140317e-14,0.3011765715987623,0.6988234284012376,0.0,-0.3944235509583386,0.0864250987072031,0.2531338707762088,42.0,2
child_3_age_42.0,0.02214386939502838,0.0057785490952559655,0.23153156803582417,0.768468431964165,0.0,1.0545155150250567e-14,0.0,8.105668690951181e-20,0.1949256955743325,0.8050743044256675,0.0,-0.18557547740497224,0.15042887044719494,0.27859425435325785,42.0,3
