parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9949447866219906,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,0.03,0.005,10.0,log,True,estimated_free_transition_parameter,True
joint_nest_lambda,0.05000000000000001,0.02,1.0,log,True,estimated_free_transition_parameter,False
chi,1.5841858435588798,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,13.057317919841692,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.45974556780847947,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.08552511002293117,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.30461582066991605,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,5.747726681999889,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.4608338044499131,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.00024823024774256464,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.594807584089333,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,0.5945593538415904,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
