geography_scope,sample,room_bin_capped9,tenure,child_group,n_records,hhwt,raw_rooms_gt6_n,raw_rooms_gt6_hhwt
active42,primary_all_structures,5,renter,one_or_more_current_children,28214,3793172.0,0,0.0
active42,primary_all_structures,5,renter,zero_current_children,27971,3423742.0,0,0.0
active42,primary_all_structures,6,owner,one_or_more_current_children,68925,6881827.0,0,0.0
active42,primary_all_structures,6,owner,zero_current_children,94840,8735191.0,0,0.0
active42,primary_all_structures,6,renter,one_or_more_current_children,15676,2047177.0,0,0.0
active42,primary_all_structures,6,renter,zero_current_children,11575,1407294.0,0,0.0
active42,primary_all_structures,7,owner,one_or_more_current_children,62179,6058033.0,62179,6058033.0
active42,primary_all_structures,7,owner,zero_current_children,65442,5900111.0,65442,5900111.0
active42,primary_all_structures,7,renter,one_or_more_current_children,6335,796510.0,6335,796510.0
active42,primary_all_structures,7,renter,zero_current_children,4142,482825.0,4142,482825.0
active42,primary_all_structures,8,owner,one_or_more_current_children,53113,5095168.0,53113,5095168.0
active42,primary_all_structures,8,owner,zero_current_children,43261,3877172.0,43261,3877172.0
active42,primary_all_structures,8,renter,one_or_more_current_children,2898,353723.0,2898,353723.0
active42,primary_all_structures,8,renter,zero_current_children,1847,214365.0,1847,214365.0
active42,primary_all_structures,9,owner,one_or_more_current_children,65968,6158156.0,65968,6158156.0
active42,primary_all_structures,9,owner,zero_current_children,40193,3575435.0,40193,3575435.0
active42,primary_all_structures,9,renter,one_or_more_current_children,1907,216009.0,1907,216009.0
active42,primary_all_structures,9,renter,zero_current_children,2296,222662.0,2296,222662.0
national,primary_all_structures,1,owner,one_or_more_current_children,118,12540.0,0,0.0
national,primary_all_structures,1,owner,zero_current_children,1332,136344.0,0,0.0
national,primary_all_structures,1,renter,one_or_more_current_children,648,87813.0,0,0.0
national,primary_all_structures,1,renter,zero_current_children,11212,1415503.0,0,0.0
national,primary_all_structures,2,owner,one_or_more_current_children,787,75894.0,0,0.0
national,primary_all_structures,2,owner,zero_current_children,7450,673990.0,0,0.0
national,primary_all_structures,2,renter,one_or_more_current_children,4743,584354.0,0,0.0
national,primary_all_structures,2,renter,zero_current_children,43832,4990450.0,0,0.0
national,primary_all_structures,3,owner,one_or_more_current_children,6755,626296.0,0,0.0
national,primary_all_structures,3,owner,zero_current_children,31025,2792558.0,0,0.0
national,primary_all_structures,3,renter,one_or_more_current_children,22430,2854980.0,0,0.0
national,primary_all_structures,3,renter,zero_current_children,103021,12469439.0,0,0.0
national,primary_all_structures,4,owner,one_or_more_current_children,38515,3677778.0,0,0.0
national,primary_all_structures,4,owner,zero_current_children,117498,10245477.0,0,0.0
national,primary_all_structures,4,renter,one_or_more_current_children,64883,8704525.0,0,0.0
national,primary_all_structures,4,renter,zero_current_children,108092,13058915.0,0,0.0
national,primary_all_structures,5,owner,one_or_more_current_children,126510,11934200.0,0,0.0
national,primary_all_structures,5,owner,zero_current_children,239428,20333945.0,0,0.0
national,primary_all_structures,5,renter,one_or_more_current_children,61748,7847746.0,0,0.0
national,primary_all_structures,5,renter,zero_current_children,61932,7123974.0,0,0.0
national,primary_all_structures,6,owner,one_or_more_current_children,157930,14670842.0,0,0.0
national,primary_all_structures,6,owner,zero_current_children,241489,20215919.0,0,0.0
national,primary_all_structures,6,renter,one_or_more_current_children,36154,4371520.0,0,0.0
national,primary_all_structures,6,renter,zero_current_children,28051,3095657.0,0,0.0
national,primary_all_structures,7,owner,one_or_more_current_children,134262,12283700.0,134262,12283700.0
national,primary_all_structures,7,owner,zero_current_children,158187,13067185.0,158187,13067185.0
national,primary_all_structures,7,renter,one_or_more_current_children,15510,1792664.0,15510,1792664.0
national,primary_all_structures,7,renter,zero_current_children,10598,1115376.0,10598,1115376.0
national,primary_all_structures,8,owner,one_or_more_current_children,104471,9469978.0,104471,9469978.0
national,primary_all_structures,8,owner,zero_current_children,96746,8002565.0,96746,8002565.0
national,primary_all_structures,8,renter,one_or_more_current_children,7060,778138.0,7060,778138.0
national,primary_all_structures,8,renter,zero_current_children,4872,487631.0,4872,487631.0
national,primary_all_structures,9,owner,one_or_more_current_children,122439,10896737.0,122439,10896737.0
national,primary_all_structures,9,owner,zero_current_children,87377,7173230.0,87377,7173230.0
national,primary_all_structures,9,renter,one_or_more_current_children,4874,496078.0,4874,496078.0
national,primary_all_structures,9,renter,zero_current_children,5312,489154.0,5312,489154.0
