case,age,scope,group_index,permanent_level,z,mass,owner_mass,owner_rate
old_old,18.0,combined,0,0.2774924094113725,0.11089068477824145,0.0006430568340489739,0.0,0.0
old_old,18.0,combined,1,0.2774924094113725,0.1680514187563014,0.0025722273361958948,0.0,0.0
old_old,18.0,combined,2,0.2774924094113725,0.25467675127520867,0.003858341004293842,4.793360410375225e-11,1.2423371612412759e-08
old_old,18.0,combined,3,0.2774924094113725,0.3859547757472442,0.002572227336195882,1.3923528194404422e-08,5.4130239572821755e-06
old_old,18.0,combined,4,0.2774924094113725,0.5849025801382837,0.0006430568340489659,1.9217848856373717e-09,2.9885148308540274e-06
old_old,18.0,combined,5,0.8219540208905596,0.32846680176271387,0.0025722273361948856,2.2218653749543968e-09,8.637904370619193e-07
old_old,18.0,combined,6,0.8219540208905596,0.4977813254644079,0.01028890934478328,3.5277521115879158e-06,0.0003428693939631774
old_old,18.0,combined,7,0.8219540208905596,0.7543722733967643,0.01543336401717498,0.0007936150015172594,0.05142203609233133
old_old,18.0,combined,8,0.8219540208905596,1.1432279552449633,0.010288909344782847,0.000653939159299196,0.06355767529731284
old_old,18.0,combined,9,0.8219540208905596,1.7325267692681683,0.00257222733619558,0.00027872683780978425,0.10836011027782312
old_old,18.0,combined,10,2.43469150702639,0.9729441212847109,0.0006430568340487497,8.699350224027556e-05,0.13528120320649706
old_old,18.0,combined,11,2.43469150702639,1.4744668614814156,0.0025722273361958948,0.0004940065518549653,0.192054001177656
old_old,18.0,combined,12,2.43469150702639,2.234509133716906,0.0038583410042938434,0.0007567874055388847,0.1961432140644584
old_old,18.0,combined,13,2.43469150702639,3.3863297976379867,0.0025722273361958956,0.0006613315908768843,0.2571046429570013
old_old,18.0,combined,14,2.43469150702639,5.131878552358484,0.0006430568340489739,0.0002489515441226078,0.3871377006525183
old_old,18.0,permanent,0,0.2774924094113725,,0.010288909344783558,1.5893246684145545e-08,1.5446969306035693e-06
old_old,18.0,permanent,1,0.8219540208905596,,0.041155637379131575,0.0017298109726032024,0.04203096058670986
old_old,18.0,permanent,2,2.43469150702639,,0.010288909344783357,0.0022480705946336175,0.2184945477990265
old_old,22.0,combined,0,0.2774924094113725,0.11089068477824145,0.0006430568343090187,4.538292072265101e-11,7.057373205809427e-08
old_old,22.0,combined,1,0.2774924094113725,0.1680514187563014,0.0025722273394017774,8.813191357130414e-10,3.426287879818623e-07
old_old,22.0,combined,2,0.2774924094113725,0.25467675127520867,0.0038583410157350686,9.986404720160626e-09,2.588263888400252e-06
old_old,22.0,combined,3,0.2774924094113725,0.3859547757472442,0.002572227346040103,3.185696952295292e-08,1.2384974279974179e-05
old_old,22.0,combined,4,0.2774924094113725,0.5849025801382837,0.0006430568366346279,6.804267729528702e-06,0.010581129601448825
old_old,22.0,combined,5,0.8219540208905596,0.32846680176271387,0.002572227336958265,1.6534886254456868e-05,0.006428236733542324
old_old,22.0,combined,6,0.8219540208905596,0.4977813254644079,0.01028890935597126,0.0002476638558338016,0.024070953224023462
old_old,22.0,combined,7,0.8219540208905596,0.7543722733967643,0.015433364024999775,0.0017819296116237137,0.11545957243911635
old_old,22.0,combined,8,0.8219540208905596,1.1432279552449633,0.010288909328080194,0.0022899224490159375,0.22256221490516467
old_old,22.0,combined,9,0.8219540208905596,1.7325267692681683,0.002572227335017386,0.000928283079680401,0.36088687303920847
old_old,22.0,combined,10,2.43469150702639,0.9729441212847109,0.0006430568348376992,0.0001346700066668987,0.2094216239858301
old_old,22.0,combined,11,2.43469150702639,1.4744668614814156,0.0025722273391908658,0.0010114685158801693,0.3932267185210552
old_old,22.0,combined,12,2.43469150702639,2.234509133716906,0.0038583410145936136,0.002557015211177299,0.6627240053447222
old_old,22.0,combined,13,2.43469150702639,3.3863297976379867,0.002572227340279393,0.001937943204243087,0.7534105457539337
old_old,22.0,combined,14,2.43469150702639,5.131878552358484,0.000643056833133942,0.0004987530885726353,0.7755972145447217
old_old,22.0,permanent,0,0.2774924094113725,,0.010288909372120595,6.847037805828251e-06,0.0006654775115797373
old_old,22.0,permanent,1,0.8219540208905596,,0.04115563738102688,0.005264333882408311,0.1279128259798308
old_old,22.0,permanent,2,2.43469150702639,,0.010288909362035513,0.006139850026540089,0.5967444955045661
old_old,26.0,combined,0,0.2774924094113725,0.11089068477824145,0.0006430568347323664,2.8605632945940807e-09,4.448383315581457e-06
old_old,26.0,combined,1,0.2774924094113725,0.1680514187563014,0.002572227341116933,7.67098455580513e-08,2.982234281233545e-05
old_old,26.0,combined,2,0.2774924094113725,0.25467675127520867,0.003858341014964581,7.150406400086142e-07,0.00018532333902973532
old_old,26.0,combined,3,0.2774924094113725,0.3859547757472442,0.002572227340921661,4.47050744581972e-06,0.0017379907968079842
old_old,26.0,combined,4,0.2774924094113725,0.5849025801382837,0.0006430568361953294,3.573625447229783e-05,0.055572466477042316
old_old,26.0,combined,5,0.8219540208905596,0.32846680176271387,0.0025722273374669696,6.0650327140429645e-05,0.023578913985167326
old_old,26.0,combined,6,0.8219540208905596,0.4977813254644079,0.01028890934894288,0.0007502342533910186,0.0729167910754409
old_old,26.0,combined,7,0.8219540208905596,0.7543722733967643,0.01543336402219362,0.0032917609349335905,0.21328862134010082
old_old,26.0,combined,8,0.8219540208905596,1.1432279552449633,0.010288909341605578,0.003558297166206351,0.3458381299772519
old_old,26.0,combined,9,0.8219540208905596,1.7325267692681683,0.002572227339923952,0.0013905299823040664,0.5405937339680005
old_old,26.0,combined,10,2.43469150702639,0.9729441212847109,0.0006430568354375206,0.00022322399079078946,0.34712948916702385
old_old,26.0,combined,11,2.43469150702639,1.4744668614814156,0.002572227343284953,0.0013551087099594973,0.5268230716453346
old_old,26.0,combined,12,2.43469150702639,2.234509133716906,0.0038583410170330264,0.002871190248041576,0.7441514981092713
old_old,26.0,combined,13,2.43469150702639,3.3863297976379867,0.002572227342652105,0.002262991108202489,0.8797788090803914
old_old,26.0,combined,14,2.43469150702639,5.131878552358484,0.0006430568352519644,0.0006065426830407245,0.9432178460603209
old_old,26.0,permanent,0,0.2774924094113725,,0.01028890936793087,4.100137296697881e-05,0.00398500671944633
old_old,26.0,permanent,1,0.8219540208905596,,0.041155637390133,0.009051472663975456,0.2199327537603763
old_old,26.0,permanent,2,2.43469150702639,,0.01028890937365957,0.007319056740035076,0.7113539904212245
old_old,30.0,combined,0,0.2774924094113725,0.11089068477824145,0.0006430568351289976,3.988938991119399e-08,6.203089327740705e-05
old_old,30.0,combined,1,0.2774924094113725,0.1680514187563014,0.0025722273418175606,8.013464369645787e-07,0.0003115379515398276
old_old,30.0,combined,2,0.2774924094113725,0.25467675127520867,0.003858341012737466,5.564800225705954e-06,0.001442277965409223
old_old,30.0,combined,3,0.2774924094113725,0.3859547757472442,0.002572227340913692,2.8670725584961036e-05,0.011146264223587945
old_old,30.0,combined,4,0.2774924094113725,0.5849025801382837,0.0006430568352750604,0.0001097423081537841,0.17065724541570737
old_old,30.0,combined,5,0.8219540208905596,0.32846680176271387,0.002572227338130162,0.00014902316202300276,0.057935455320730966
old_old,30.0,combined,6,0.8219540208905596,0.4977813254644079,0.010288909349146445,0.0015507034422934047,0.1507160175749871
old_old,30.0,combined,7,0.8219540208905596,0.7543722733967643,0.015433364037252121,0.005319916286312564,0.34470231334345974
old_old,30.0,combined,8,0.8219540208905596,1.1432279552449633,0.010288909364625213,0.005413346934374863,0.5261341841523794
old_old,30.0,combined,9,0.8219540208905596,1.7325267692681683,0.002572227344115112,0.0019541641172435217,0.7597167185530351
old_old,30.0,combined,10,2.43469150702639,0.9729441212847109,0.0006430568357806447,0.00036229245672897165,0.5633910357070747
old_old,30.0,combined,11,2.43469150702639,1.4744668614814156,0.0025722273433445176,0.0020288177468719996,0.7887396703566824
old_old,30.0,combined,12,2.43469150702639,2.234509133716906,0.0038583410163802317,0.0034945521711898446,0.9057136619998193
old_old,30.0,combined,13,2.43469150702639,3.3863297976379867,0.002572227344600519,0.002474000549746115,0.9618125532097322
old_old,30.0,combined,14,2.43469150702639,5.131878552358484,0.0006430568359579494,0.0006278571737899536,0.9763634233895466
old_old,30.0,permanent,0,0.2774924094113725,,0.010288909365872777,0.00014481906979132688,0.014075259548079644
old_old,30.0,permanent,1,0.8219540208905596,,0.041155637433269054,0.014387153942247356,0.34957917892962065
old_old,30.0,permanent,2,2.43469150702639,,0.010288909376063863,0.008987520098326884,0.8735153328530103
old_old,34.0,combined,0,0.2774924094113725,0.11089068477824145,0.0006430568352498457,2.5808995277484466e-07,0.000401348587912248
old_old,34.0,combined,1,0.2774924094113725,0.1680514187563014,0.002572227340823291,4.188333197084743e-06,0.0016282904433105772
old_old,34.0,combined,2,0.2774924094113725,0.25467675127520867,0.003858341008211968,2.416481381364877e-05,0.006263006240821422
old_old,34.0,combined,3,0.2774924094113725,0.3859547757472442,0.0025722273386191343,0.0001022766750201443,0.039761911198350826
old_old,34.0,combined,4,0.2774924094113725,0.5849025801382837,0.0006430568348592275,0.00020218608901691396,0.31441402696726617
old_old,34.0,combined,5,0.8219540208905596,0.32846680176271387,0.002572227338585752,0.0003077405270907451,0.11963970776391224
old_old,34.0,combined,6,0.8219540208905596,0.4977813254644079,0.010288909354533296,0.002654137164612338,0.25796098237010173
old_old,34.0,combined,7,0.8219540208905596,0.7543722733967643,0.015433364032607358,0.007406527366030234,0.47990362635014927
old_old,34.0,combined,8,0.8219540208905596,1.1432279552449633,0.010288909363107468,0.006990624658922324,0.6794330100708562
old_old,34.0,combined,9,0.8219540208905596,1.7325267692681683,0.0025722273413578056,0.0022185888117754846,0.8625166120053582
old_old,34.0,combined,10,2.43469150702639,0.9729441212847109,0.0006430568364256219,0.000457778815198748,0.7118792449875404
old_old,34.0,combined,11,2.43469150702639,1.4744668614814156,0.0025722273461441544,0.002201473507446327,0.8558627256437505
old_old,34.0,combined,12,2.43469150702639,2.234509133716906,0.0038583410130337246,0.003651361222946221,0.946355236774481
