case,age,z_index,z,timing,state_mass,valid_nodes,negative_owner_steps_all_valid,negative_owner_steps_occupied_lower,lower_node_mass_at_negative_owner_steps,largest_owner_drop_all_valid,largest_owner_drop_occupied_lower,masked_node_mass,occupied_threshold,probability_step_threshold
old_old,30,0,0.11089068477824145,pre_fertility,0.00044427455398323926,89,24,11,2.840707600184657e-07,0.2774357795715332,0.00012925142073072493,0.0,1e-12,1e-07
old_old,30,0,0.11089068477824145,post_fertility_pre_tenure,0.00040707526183962167,89,24,11,2.2694627909844808e-07,0.2774357795715332,0.00012925142073072493,0.0,1e-12,1e-07
old_old,30,0,0.11089068477824145,current_post_tenure,0.00040707530734201183,89,24,11,2.2722225217399167e-07,0.2774357795715332,0.00012925142073072493,0.0,1e-12,1e-07
old_old,30,1,0.1680514187563014,pre_fertility,0.0016168993117383966,92,31,13,2.627397553999223e-05,0.2093704789876938,0.00014094158541411161,0.0,1e-12,1e-07
old_old,30,1,0.1680514187563014,post_fertility_pre_tenure,0.0013928650837478893,92,31,13,2.1099204883005556e-05,0.2093704789876938,0.00014094158541411161,0.0,1e-12,1e-07
old_old,30,1,0.1680514187563014,current_post_tenure,0.001392855816771248,92,31,13,2.1094181933334353e-05,0.2093704789876938,0.00014094158541411161,0.0,1e-12,1e-07
old_old,30,2,0.25467675127520867,pre_fertility,0.002224462404444748,97,35,11,0.00024375998600725164,0.12149539589881897,6.3148676417768e-05,0.0,1e-12,1e-07
old_old,30,2,0.25467675127520867,post_fertility_pre_tenure,0.0018189492904906303,97,35,11,0.00019279136992994442,0.12149539589881897,6.3148676417768e-05,0.0,1e-12,1e-07
old_old,30,2,0.25467675127520867,current_post_tenure,0.0018188614125183686,97,35,11,0.00019276025776017816,0.12149539589881897,6.3148676417768e-05,0.0,1e-12,1e-07
old_old,30,3,0.3859547757472442,pre_fertility,0.001370056034809929,103,33,8,0.0008196359884856554,0.12823039293289185,1.720926957204938e-05,0.0,1e-12,1e-07
old_old,30,3,0.3859547757472442,post_fertility_pre_tenure,0.0010731847677398708,103,33,8,0.0006400627994757118,0.12823039293289185,1.720926957204938e-05,0.0,1e-12,1e-07
old_old,30,3,0.3859547757472442,current_post_tenure,0.0010712383053562793,103,33,8,0.0006400230295577207,0.12823039293289185,1.720926957204938e-05,0.0,1e-12,1e-07
old_old,30,4,0.5849025801382837,pre_fertility,0.00031691646533508463,110,26,7,2.4879924652651298e-05,0.1289898157119751,0.04465481638908386,0.0,1e-12,1e-07
old_old,30,4,0.5849025801382837,post_fertility_pre_tenure,0.00023977831787328678,110,26,7,1.887678475593484e-05,0.1289898157119751,0.04465481638908386,0.0,1e-12,1e-07
old_old,30,4,0.5849025801382837,current_post_tenure,0.00021876054878541628,110,26,7,1.6632383939749133e-05,0.1289898157119751,0.04465481638908386,0.0,1e-12,1e-07
old_old,30,5,0.32846680176271387,pre_fertility,0.000903174752135953,111,23,20,1.4465219839964237e-05,0.07164689898490906,0.07164689898490906,0.0,1e-12,1e-07
old_old,30,5,0.32846680176271387,post_fertility_pre_tenure,0.0006717999510481335,111,23,20,1.0473931854417668e-05,0.07164689898490906,0.07164689898490906,0.0,1e-12,1e-07
old_old,30,5,0.32846680176271387,current_post_tenure,0.0006716742817745713,111,23,20,9.390052222560372e-06,0.07164689898490906,0.07164689898490906,0.0,1e-12,1e-07
old_old,30,6,0.4977813254644079,pre_fertility,0.0032875188502393673,113,26,25,0.0003964088781787419,0.01610580086708069,0.01610580086708069,0.0,1e-12,1e-07
old_old,30,6,0.4977813254644079,post_fertility_pre_tenure,0.002385473782501051,113,26,25,0.0002862762267610382,0.01610580086708069,0.01610580086708069,0.0,1e-12,1e-07
old_old,30,6,0.4977813254644079,current_post_tenure,0.0023084062554129,113,26,25,0.00026822361122416703,0.01610580086708069,0.01610580086708069,0.0,1e-12,1e-07
old_old,30,7,0.7543722733967643,pre_fertility,0.004336380894886634,116,21,21,0.001055656252460364,0.0166873037815094,0.0166873037815094,0.0,1e-12,1e-07
old_old,30,7,0.7543722733967643,post_fertility_pre_tenure,0.0030947407591293526,116,21,21,0.0007507940245876384,0.0166873037815094,0.0166873037815094,0.0,1e-12,1e-07
old_old,30,7,0.7543722733967643,current_post_tenure,0.0025194436641835403,116,21,21,0.0005816221912754694,0.0166873037815094,0.0166873037815094,0.0,1e-12,1e-07
old_old,30,8,1.1432279552449633,pre_fertility,0.0025328612653918304,120,12,10,0.0007626195723136747,0.014186948537826538,0.014186948537826538,0.0,1e-12,1e-07
old_old,30,8,1.1432279552449633,post_fertility_pre_tenure,0.0017829895578973958,120,12,10,0.0005375736884205687,0.014186948537826538,0.014186948537826538,0.0,1e-12,1e-07
old_old,30,8,1.1432279552449633,current_post_tenure,0.0013521837335133413,120,12,10,0.0004089689816474556,0.014186948537826538,0.014186948537826538,0.0,1e-12,1e-07
old_old,30,9,1.7325267692681683,pre_fertility,0.0005404199327870351,120,4,1,1.3546896864180797e-05,0.003843069076538086,0.0027821213006973267,0.0,1e-12,1e-07
old_old,30,9,1.7325267692681683,post_fertility_pre_tenure,0.00037591069811892966,120,4,1,9.462276610119508e-06,0.003843069076538086,0.0027821213006973267,0.0,1e-12,1e-07
