age,age_index,tenure,income_index,z,children_ever_born,dependent_child_state,wealth_index,wealth,mass,gap,consumption,saving,housing,housing_cost,resources,income,child_consumption_requirement,value,baseline_housing,dc,current_surplus,housing_cap_binds,exact_consumption,exact_housing,exact_budget_gap
26.0,2,0,0,0.04352796175135016,1,1,47,0.1627906976744189,2.983396931222978e-25,0.04117318615748272,0.04,0.03926567277649275,2.3099999999999996,0.27281000305129033,0.3109024896703003,0.13469260315867213,0.0,-2649459394.6101136,2.3,0.2716290073670856,7.809526721955229e-06,False,5.724383087193183e-06,2.3000176558107928,0.0
26.0,2,0,0,0.04352796175135016,2,1,47,0.1627906976744189,6.229119835660179e-32,0.04117318615748272,0.04,0.03926567277649273,2.3099999999999996,0.27281000305129033,0.3109024896703003,0.13469260315867213,0.0,-2649459394.6373734,2.3,0.2716290073670856,7.809526721969107e-06,False,5.724383087203355e-06,2.3000176558107928,0.0
26.0,2,0,0,0.04352796175135016,2,2,47,0.1627906976744189,4.737815366080378e-33,0.04117331865386065,0.04,0.03926580527287066,2.3099999999999996,0.27281000305129033,0.3109024896703003,0.13469260315867213,0.0,-3246843049.030114,2.3,0.2716290073670856,7.677030344044322e-06,False,5.627263242184488e-06,2.3000173562624253,-5.551115123125783e-17
26.0,2,0,1,0.05792653968743761,1,1,47,0.1627906976744189,1.1933587724891912e-24,0.04117318615748272,0.04,0.08382052593210794,2.3099999999999996,0.27281000305129033,0.3554573428259155,0.1792474563142873,0.0,-1739190289.6904185,2.3,0.2716290073670856,7.809526721955229e-06,False,5.724383087193183e-06,2.3000176558107928,0.0
26.0,2,0,1,0.05792653968743761,2,1,47,0.1627906976744189,2.4916479342640717e-31,0.04117318615748272,0.04,0.08382052593210793,2.3099999999999996,0.27281000305129033,0.3554573428259155,0.1792474563142873,0.0,-1739190289.7200348,2.3,0.2716290073670856,7.809526721969107e-06,False,5.724383087203355e-06,2.3000176558107928,0.0
26.0,2,0,1,0.05792653968743761,2,2,47,0.1627906976744189,1.8951261464321513e-32,0.04117331865386065,0.04,0.08382065842848585,2.3099999999999996,0.27281000305129033,0.3554573428259155,0.1792474563142873,0.0,-2139930462.0299923,2.3,0.2716290073670856,7.677030344044322e-06,False,5.627263242184488e-06,2.3000173562624253,-5.551115123125783e-17
30.0,3,0,0,0.04352796175135016,1,1,47,0.1627906976744189,4.424063285680051e-29,0.04116970011703719,0.04,0.0392621867360472,2.3099999999999996,0.27281000305129033,0.3109024896703003,0.13469260315867213,0.0,-1288419983.1756322,2.3,0.2716290073670856,1.1295567167501908e-05,False,8.279650733778899e-06,2.3000255370656646,5.551115123125783e-17
30.0,3,0,0,0.04352796175135016,2,1,47,0.1627906976744189,1.3971773469731871e-44,0.04116970011703719,0.04,0.03926218673604719,2.3099999999999996,0.27281000305129033,0.3109024896703003,0.13469260315867213,0.0,-1288419983.1852412,2.3,0.2716290073670856,1.1295567167508846e-05,False,8.279650733783984e-06,2.3000255370656646,5.551115123125783e-17
30.0,3,0,0,0.04352796175135016,2,2,47,0.1627906976744189,3.3643076370914615e-48,0.04116992973056355,0.04,0.039262416349573545,2.3099999999999996,0.27281000305129033,0.3109024896703003,0.13469260315867213,0.0,-1593741658.9633067,2.3,0.2716290073670856,1.10659536411567e-05,False,8.111344018967861e-06,2.3000250179544404,0.0
30.0,3,0,0,0.04352796175135016,3,1,47,0.1627906976744189,7.656882612829512e-47,0.041169700117037245,0.04,0.03926218673604728,2.3099999999999996,0.27281000305129033,0.3109024896703003,0.13469260315867213,0.0,-1288419983.310227,2.3,0.2716290073670856,1.1295567167418641e-05,False,8.279650733717863e-06,2.300025537065664,0.0
