wealth,next_wealth,age,tenure,income_index,parity,dependent_children,mass,value_change
27.80722452368194,30.0,50.0,5,44,2,0,5.816394654239748e-09,-0.0006638138582544945
27.80722452368194,30.0,50.0,5,44,1,0,2.5298910064835928e-09,-0.0006638138582544945
27.80722452368194,30.0,50.0,5,44,0,0,6.49974432311609e-10,-0.0006638138582544945
27.80722452368194,30.0,50.0,5,44,3,0,7.194126771984319e-09,-0.0006638138582544945
27.80722452368194,30.0,46.0,5,44,3,0,5.439272196920257e-09,-0.0006469762080382872
27.80722452368194,30.0,46.0,5,44,2,0,4.578620532944338e-09,-0.0006469762080382872
27.80722452368194,30.0,46.0,5,44,1,0,1.8952617047319384e-09,-0.0006469762080382872
27.80722452368194,30.0,46.0,5,44,0,0,3.8481585762426127e-10,-0.0006469762080382872
27.80722452368194,30.0,42.0,5,44,3,0,3.390490071715457e-09,-0.0006421523443120303
27.80722452368194,30.0,38.0,5,44,3,0,1.6006952737492421e-09,-0.0006349330936527287
27.80722452368194,30.0,34.0,5,44,3,0,4.5285132497484616e-10,-0.000617246617053202
27.80722452368194,30.0,54.0,5,44,3,0,8.640993514384941e-09,-0.0005966219085095648
27.80722452368194,30.0,54.0,5,44,1,0,3.2230402380463507e-09,-0.0005966219085095648
27.80722452368194,30.0,54.0,5,44,2,0,6.916001829980912e-09,-0.0005966219085095648
27.80722452368194,30.0,54.0,5,44,0,0,1.0573384999821663e-09,-0.0005966219085095648
27.80722452368194,30.0,42.0,5,44,0,0,3.207027219026392e-10,-0.0003284062519391395
27.80722452368194,30.0,58.0,5,44,0,0,1.5574949613771984e-09,-0.00032380527409137105
27.80722452368194,30.0,58.0,5,44,1,0,3.7645022279951505e-09,-0.00032380527409137105
27.80722452368194,30.0,58.0,5,44,3,0,9.427838186497302e-09,-0.00032380527409137105
27.80722452368194,30.0,58.0,5,44,2,0,7.556309217650859e-09,-0.00032380527409137105
27.80722452368194,30.0,42.0,5,44,2,0,4.773144968771909e-09,-0.00030034168293979757
27.80722452368194,30.0,42.0,5,44,1,0,1.990611689450144e-09,-0.00030034168293979757
27.80722452368194,30.0,30.0,5,44,3,0,5.521630177542164e-11,-0.00025703418121886257
27.80722452368194,30.0,38.0,5,44,2,0,5.064970074796324e-09,-0.00012077143052269257
27.80722452368194,30.0,34.0,5,44,2,0,3.546981972880776e-09,-0.00010424336066361395
