offset,status,rho_4yr,persistent_variance_4yr,iid_variance_4yr,iid_sd_4yr,objective_pair_count_weighted,unconstrained_rho_4yr,unconstrained_persistent_variance_4yr,unconstrained_iid_variance_4yr,unconstrained_iid_negative,iid_at_lower_bound,rho_at_bound,persistent_variance_at_bound,optimizer_success,optimizer_message,predicted_covariance.0,predicted_covariance.1,predicted_covariance.2,parameter_bounds.rho_4yr,parameter_bounds.persistent_variance_4yr,parameter_bounds.iid_variance_4yr,n_informative_moments
0,ok,0.7761446698586146,0.48126267515968074,0.027221901561653328,0.1649906105257306,0.0,0.7761446698586146,0.48126267515968074,0.027221901561653328,False,False,False,False,True,`gtol` termination condition is satisfied.,0.5084845767213341,0.3735294601270841,0.28991289951280225,"[1e-08, 0.99999999]","[0.0, 'inf']","[0.0, 'inf']",
1,ok,0.7970706355429115,0.4787098724673979,0.04232882228406237,0.20573969545049486,0.0,0.7970706355429115,0.4787098724673979,0.04232882228406237,False,False,False,False,True,`gtol` termination condition is satisfied.,0.5210386947514603,0.38156558228825493,0.3041347211758004,"[1e-08, 0.99999999]","[0.0, 'inf']","[0.0, 'inf']",
2,ok,0.8134850406520483,0.4655887078006996,0.047333726415769606,0.21756315500509182,0.0,0.8134850406520483,0.4655887078006996,0.047333726415769606,False,False,False,False,True,`gtol` termination condition is satisfied.,0.5129224342164692,0.37874944889238676,0.30810701082916414,"[1e-08, 0.99999999]","[0.0, 'inf']","[0.0, 'inf']",
3,underidentified_or_missing_moment,,,,,,,,,,,,,,,,,,,,,2.0
