year,owner_structures_stock_million,owner_depreciation_flow_million,owner_real_estate_ex_mobile_million,mobile_home_value_million,housing_value_million,implied_land_share,structures_rate,annual_depreciation,household_structures_rate,household_rate_times_owner_structure_share
2006,12914667.0,306571.0,22863405.0,323097.0,23186502.0,0.44300925598867824,0.02373820401253861,0.013221959914436424,0.023655080823360833,0.0131756610674517
2007,13073488.0,316854.0,22042249.0,332175.0,22374424.0,0.4156949917459327,0.024236378233567047,0.01416143718381309,0.024158851004044753,0.014116137635327151
2008,12787654.0,311008.0,19812548.0,347868.0,20160416.0,0.3657048545030023,0.02432095832433377,0.015426665798959705,0.02426057371345274,0.015388364133415143
