moment,target,model,gap,weight,loss_contribution,descriptive_fixed_psi
initial_normalization,2.1,2.0996640219602427,-0.0003359780397573786,,,True
cps_childlessness,0.19827875100684264,0.18326641959666193,-0.015012331410180713,35532.3042455214,8.007918760964674,True
cps_exactly_one,0.21365532522014702,0.23120512034677335,0.017549795126626327,26952.820824310795,8.301342377842916,True
nchs_mean_age,25.976263860992496,26.345049730658378,0.36878586966588145,139.82806784479274,19.017039181189,True
nchs_share30,0.2492780130410667,0.24729659567367498,-0.0019814173673917135,13866.065434728798,0.054438377889904355,True
wealth_earnings,6.92658379107299,6.07666903116795,-0.8499147599050403,7.595098472533724,5.486358109835097,True
bequest_wealth,0.007291023472616158,0.007072167699927861,-0.0002188557726882966,5165289.256198346,0.24740624606917014,True
old_dispersion,3.51593508651872,2.9854282404103434,-0.5305068461083766,10.616361531535473,2.98784239469606,True
mean_rooms,5.607885960068579,6.546806237655942,0.9389202775873633,128.02070205233477,112.85937515601968,True
ownership_30_55,0.6762604168538028,0.7569375197424495,0.08067710288864671,2339.3623724673616,15.226429950530385,True
first_birth_rooms,1.465,0.7909946945471917,-0.6740053054528083,137.5652749002964,62.49358665698703,True
family_rooms,0.38509964969278165,0.2206876411480243,-0.16441200854475735,280.52808370152104,7.583041188519989,True
recent_parent_ownership,0.12760836356692162,0.08967801979796475,-0.037930343768956876,27055.822957508266,38.925509519459276,True
