coefficient,estimate,standard_error
L0event,-.0164138604504204,.13122706
L1event,.2983278963646888,.1552453
L2event,.5801846903175822,.14698191
L3event,.4030177877382122,.15523514
L4event,.5948058894616503,.1489041
L5event,.8488133122809725,.16619645
L6event,1.144654459212175,.15891935
L7event,.9155770024241228,.16647446
L8event,.9637910297270174,.15325868
L9event,1.090994913730755,.16722471
L10event,1.027302746638655,.15625742
L11event,1.037653964284345,.1206383
F1event,.1645396401873592,.16896082
F3event,-.2229794559492257,.17609002
F4event,.1929165770010399,.19436489
F5event,-.1702523842733521,.21046333
F7event,.3110917365274262,.14130485
