mms_location,tenure,parent_status,pop_weight,mean_rooms,mean_rent,mean_rti,has_youngchild_rate
center,Owner,No children,28657746,6.162783423371817,0,NA,0
center,Owner,With children,21594282,6.69547345913145,0,NA,0.4792917865942475
center,Renter,No children,50067897,3.9983710320407506,1493.3557680283636,1.590258331725454,0
center,Renter,With children,26000345,4.655607646744688,1228.0141984269824,0.9802939337333508,0.48376050394715914
periphery,Owner,No children,62567204,6.868616232235661,0,NA,0
periphery,Owner,With children,69755599,7.3481681807362875,0,NA,0.44826527831837554
periphery,Renter,No children,45359579,4.378157301680424,1334.3000107650912,1.3380620709130946,0
periphery,Renter,With children,35866436,5.102016743453406,1343.6935891818189,1.9704529235898798,0.4690516504065249
