parent_compare,weighted_n,within_cbsa_share,across_cbsa_share,center_dest_share_all,center_dest_share_within,owner_rate
New Parents,6001807,0.8166128967492623,0.18338710325073765,0.40916177411236315,0.41536103851481476,0.42138975811784685
Non-Parents,41478086,0.7634701369778731,0.23652986302212692,0.5259222183010084,0.5235095657094642,0.30440693430260984
