dest_label,age,weighted_n,has_youngchild_rate,has_children_rate,newparent_rate,owner_rate
Center,22,6593183,0.08166298432790353,0.08955765371596693,0.06032185061449075,0.3950607771693884
Center,23,7012573,0.09464443364796345,0.10740137749724674,0.06378143942316179,0.379809949928507
Center,24,7192753,0.11034050522797043,0.13042544349847687,0.06526193795338169,0.34841958287737673
Center,25,8297891,0.12042120100155569,0.1501479110776461,0.06639168916535539,0.33395075929534385
Center,26,8090625,0.13462989571263037,0.17334334492081885,0.06525478563151796,0.3412552182309772
Center,27,8058936,0.15549236276352113,0.20650244647680538,0.07426637958162219,0.33832084036900156
Center,28,8114761,0.17096880610531845,0.23664985327355914,0.07795953571522315,0.35365255982277233
Center,29,7823915,0.19380693680849037,0.27212105448487106,0.08928471232113334,0.36977970747381583
Center,30,8637951,0.210345370099923,0.30570710577080146,0.09296058752822284,0.3798146111271064
Center,31,7788365,0.24046073855038894,0.3553266956543511,0.11199449435151024,0.3968754674440656
Center,32,7981858,0.2572660400623514,0.39240562786258537,0.11458322109964873,0.4140176384997077
Center,33,7593831,0.27470192581320285,0.4326008835329625,0.11688948568910738,0.4332398232196634
Center,34,7414733,0.2892044797836955,0.4731282974046402,0.1190215480449532,0.4462592247084285
Center,35,7631648,0.2828583026890129,0.5001197644335797,0.10638685117552592,0.4520104962912336
Center,36,7136006,0.2862102414151558,0.5367613199876794,0.1013537544671347,0.4765019816407105
Center,37,6881070,0.27363956477698964,0.5643131082811249,0.08866934938897585,0.4927268578869275
Center,38,6834401,0.25508482747793115,0.5805827021270774,0.07719023217982088,0.5013447411119131
Center,39,6582954,0.2341389595005525,0.5961572874426891,0.0630961419447865,0.5109993173277528
Center,40,7107982,0.19674895068670686,0.5958513963597545,0.05089503603132366,0.5114668270122237
Center,41,6350399,0.1789205686130903,0.6195999652935194,0.04400747102662368,0.5365859688501463
Center,42,6460738,0.14897911043599044,0.6192482964020519,0.035232971836963514,0.5460834350502992
Center,43,6314179,0.12383510191903017,0.6190716164365945,0.029626496176304157,0.5502411319032926
Center,44,6172335,0.09997691311310873,0.6223955763904584,0.02274066459451731,0.5661246513677562
Center,45,6463044,0.07662844319178393,0.606661195560482,0.01845802070974606,0.5681663315304677
Periphery,22,8165815,0.0708137522096692,0.07740941963539463,0.05572205591236147,0.5971367218091519
Periphery,23,8358739,0.08909011275504594,0.09958284377583748,0.06317244742299048,0.5684729478932169
Periphery,24,8300118,0.110532283998854,0.12810649197999355,0.07090079924164934,0.5502237438070158
Periphery,25,8765688,0.13590000009126493,0.16389358142794952,0.0793781389435718,0.5279721340754998
Periphery,26,8639218,0.1619513479113503,0.20042844155570563,0.08899092487306143,0.5215808884554134
Periphery,27,8479955,0.193018948803384,0.2434351361534348,0.10083390772710468,0.5169325780620299
Periphery,28,8552736,0.22311293134734897,0.2927314721277495,0.11554419544809988,0.5298503309350364
Periphery,29,8529142,0.2550781778518871,0.3421137788537229,0.129224135323342,0.5422223009067032
Periphery,30,9235263,0.2830533358930872,0.39119730537181235,0.1369011364375871,0.548799314107243
Periphery,31,8660282,0.32170557494548097,0.45070980367613894,0.15330436122056995,0.5776052096225042
Periphery,32,8898479,0.3428778109157756,0.49956548754006164,0.15510864272422287,0.5916741501553243
Periphery,33,8855579,0.36034436596410013,0.5483236048145469,0.15325491421848306,0.6089649248230974
Periphery,34,8878451,0.3691652969645268,0.5893480743431484,0.14197836987555598,0.6214825086042599
Periphery,35,9428489,0.35620002314262655,0.6176476421619626,0.120672357999251,0.6257768344429314
Periphery,36,8998877,0.3537735875265325,0.6554558974414252,0.10714792523555995,0.6471833096507487
Periphery,37,9011109,0.32901821518305907,0.6745902196943795,0.09019178438525158,0.6584833231958463
Periphery,38,9097812,0.3029929613845615,0.6979689182410013,0.07673009730251626,0.6692852083555915
Periphery,39,9044533,0.2625004519304645,0.7086369191200916,0.06064945531184418,0.6788561664820063
Periphery,40,9764262,0.21824537276857175,0.701082990194241,0.04905685652433333,0.6761813642444252
Periphery,41,9031654,0.19126286281560387,0.7271969231770836,0.039381490920710645,0.6973022881523141
Periphery,42,9252840,0.15493437690482056,0.7246920945352995,0.03267386013375353,0.701841920966968
Periphery,43,9135952,0.12159400574784106,0.7219325364231336,0.024347216360156007,0.7133023465972675
Periphery,44,9098682,0.09790912573931038,0.7190631566198269,0.01850246002662803,0.724531970674434
Periphery,45,9365143,0.07363987928427788,0.701927349107216,0.013602355030777426,0.7280259361763083
