mms_location,age,pop_weight,owner_rate,has_child_u18_rate,has_children_rate,has_youngchild_rate,mean_rooms
center,22,4713569,0.3550231257885479,0.09159004567451967,0.09185523750686582,0.08332985048060186,5.210615777556242
center,23,5064502,0.33989679538086864,0.10844679299169001,0.10858007361829455,0.09515407437888267,5.063410578177281
center,24,5262869,0.3104426501970693,0.1295973735998369,0.13007981008077532,0.10944505743920284,4.917998528939253
center,25,6149635,0.29557640412804986,0.14553237712482123,0.14582784181500202,0.11774032117353306,4.815986152023656
center,26,6013479,0.3048548103352485,0.16570274877487723,0.16608422512159765,0.12804085621650962,4.789347730323827
center,27,5986982,0.3051056442127269,0.19672432621310704,0.19748364033832072,0.1476697274185892,4.744530549782845
center,28,5975488,0.3180106796298478,0.22307868411751475,0.22369118639347949,0.16054354054430367,4.729145803656539
center,29,5799629,0.3332132107070987,0.25688108670399434,0.25752112764454416,0.18052396110164978,4.74790094331896
center,30,6412769,0.3428801193369042,0.2832957182770812,0.28404110611188393,0.19350626850897015,4.781871450538761
center,31,5747612,0.3618207004926568,0.3347762514240697,0.3354532282276535,0.2240222548077358,4.831052096070507
center,32,5834992,0.37692922286782915,0.3657569710464042,0.36746991255515005,0.24042295173669476,4.9112290128246965
center,33,5540185,0.39544636144821876,0.4072735838243669,0.40973649796893064,0.25699448664620406,4.994089186552435
center,34,5369808,0.40898706247970135,0.44091427477481504,0.44448144142211415,0.2695709045835531,5.036654569399874
center,35,5538801,0.41693662581486496,0.4669268673851976,0.47333746058036746,0.26776824081601774,5.094494819366141
center,36,5127263,0.4373391807675947,0.5047962236382257,0.5131269841238884,0.2760340165893577,5.1810552725694
center,37,4922357,0.45200337968172566,0.5232678166171206,0.5368409889814981,0.26260630831936815,5.264835728087174
center,38,4857403,0.46269724789151734,0.5392657352087113,0.5575775779773677,0.2480938888537764,5.306712866937333
center,39,4709760,0.4720915715450469,0.5488005758255198,0.572385004756081,0.23147421524663678,5.380225956311999
center,40,5087181,0.4695433482708793,0.5335056881207884,0.5716680810059638,0.19364988192871455,5.374065911946125
center,41,4454862,0.4945134102919462,0.5559350660020445,0.5989801704295217,0.17985158687294914,5.456239721903843
center,42,4533574,0.509400971507248,0.5426778078399074,0.6004798862883897,0.14916972790120994,5.514357105453667
center,43,4428244,0.5108668357028203,0.527999586291993,0.5981262550121448,0.12498769263843637,5.526754849100456
center,44,4280968,0.5273989434165357,0.5175362207799731,0.6013625890219222,0.10111264555119309,5.57643341412503
center,45,4508338,0.5278142410795287,0.48405132889326397,0.5871990964297708,0.07869685014743792,5.571793862838145
center,46,4137276,0.54687238656546,0.4825261838949106,0.5988215434503282,0.05898494565022976,5.626693747286862
center,47,4236148,0.553521501137354,0.4446072233548025,0.578383474798331,0.047728738467116824,5.6356465826973
center,48,4195395,0.5595044090008211,0.4155184434361961,0.5717928824341927,0.03735881841876629,5.66582765150838
center,49,4223278,0.5672825705530159,0.38367542937026644,0.5605453867824945,0.0287991934227394,5.6806366997389235
center,50,4551372,0.559183472588046,0.3231118001341134,0.519920147155627,0.024342549894844894,5.622733979995482
center,51,4102389,0.5879496069241605,0.3016291239080448,0.5171386721249497,0.019809189230957865,5.721050831600806
center,52,4192594,0.5965345082304654,0.26343666951772576,0.4971909991761664,0.01616660234690027,5.724821196614792
center,53,4090344,0.5996329404079461,0.22368778762862,0.47993371706633964,0.012255203963285239,5.737094239506506
center,54,4071610,0.6108834097568284,0.18847581177961542,0.46000672952468435,0.011261147310277752,5.7479066020566805
