parent_compare,move_type,pop_weight,share
New Parents,Across CBSA -> Center,419962,0.06997259325399834
New Parents,Across CBSA -> Periphery,680692,0.11341450999673931
New Parents,Within CBSA -> Center,2035748,0.3391891808583648
New Parents,Within CBSA -> Periphery,2865405,0.47742371589089755
Non-Parents,Across CBSA -> Center,5236123,0.12623829845957693
Non-Parents,Across CBSA -> Periphery,4574683,0.11029156456254997
Non-Parents,Within CBSA -> Center,16578124,0.3996839198414314
Non-Parents,Within CBSA -> Periphery,15089156,0.36378621713644166
