parent_status,weighted_n,center_share,owner_rate,has_youngchild_rate,mean_rooms,mean_rti
New Parents,31474761,0.4157848251810395,0.5931123353089163,1,5.886174798912691,0.7575579827380076
Non-Parents,213220950,0.49382655409799087,0.4911885862997984,0,5.394785990776235,1.5273244542856195
Older Parents,143389238,0.39162796862062965,0.5944421156628226,0.3458579576244069,6.342610810164149,1.6047252271927865
