outcome,estimate,se,p_value,estimate_pp,se_pp
Within CBSA -> Center,-0.06772030315212385,0.007671848543694142,7.616534282033133e-9,-6.772030315212385,0.7671848543694142
Within CBSA -> Periphery,0.11330773034942708,0.004903693917748993,2.0326604325107355e-17,11.330773034942707,0.4903693917748993
Across CBSA -> Center,-0.052114310105057765,0.003544046523537963,3.467170366317454e-13,-5.211431010505777,0.3544046523537963
Across CBSA -> Periphery,0.006526882907753002,0.004670968039719981,0.17564973552772822,0.6526882907753001,0.4670968039719981
