outcome,estimate,se,p_value,estimate_pp,se_pp
"Center destination among within-CBSA movers, center-origin mass",-0.09691540682160947,0.008119918175980591,2.4609262972761082e-11,-9.691540682160946,0.8119918175980592
"Center destination among within-CBSA movers, periphery-origin mass",-0.10707818943048346,0.0051361386736103656,1.9520732586461096e-16,-10.707818943048347,0.5136138673610365
