parent_compare,move_type,weighted_n,owner_rate,mean_rooms,mean_rti
New Parents,Across CBSA -> Center,419962,0.2815897628833085,5.328684500026193,0.6108842020485532
New Parents,Across CBSA -> Periphery,680692,0.43108630628830663,6.0402516850499195,0.412584305717432
New Parents,Within CBSA -> Center,2035748,0.3471279352847209,5.189094131493682,0.8627777278828734
New Parents,Within CBSA -> Periphery,2865405,0.4923356384176059,5.851567579452119,0.5383494970798399
Non-Parents,Across CBSA -> Center,5236123,0.1934074123163264,4.282569565306239,1.1557102199745104
Non-Parents,Across CBSA -> Periphery,4574683,0.37031964837782205,5.251265934710667,1.547985180717828
Non-Parents,Within CBSA -> Center,16578124,0.24791375670733312,4.491315724264097,2.557211704434923
Non-Parents,Within CBSA -> Periphery,15089156,0.38500973811921624,5.154182844951699,1.8787801070685828
