parent_compare,origin_label,dest_label,pop_weight,share
New Parents,Center,Center,1307600.4905043084,0.5733322465688613
New Parents,Center,Periphery,973102.3625616342,0.4266677534311387
New Parents,Periphery,Center,672210.5094956915,0.2708702082451062
New Parents,Periphery,Periphery,1809459.637438366,0.7291297917548938
Non-Parents,Center,Center,10387374.969854407,0.6695841539035273
Non-Parents,Center,Periphery,5125798.257585804,0.33041584609647257
Non-Parents,Periphery,Center,5718228.030145593,0.37432571789262586
Non-Parents,Periphery,Periphery,9557847.742414197,0.6256742821073741
