outcome,estimate,se,p_value,estimate_pp,se_pp
Across-CBSA mover,-0.04558742719730502,0.007787046162738981,5.758901711708192e-6,-4.5587427197305015,0.7787046162738981
Center destination among within-CBSA movers,-0.11209032008399764,0.006562417264422577,1.461381812198585e-14,-11.209032008399763,0.6562417264422576
