parent_compare,weighted_n,origin_bridge_share,origin_cp_share,center_origin_mass,periphery_origin_mass
New Parents,4901153,0.9716842138982399,0.9716842138982399,2280702.8530659424,2481670.1469340576
Non-Parents,31667280,0.9722732422866757,0.9722732422866757,15513173.22744021,15276075.77255979
