metric,weighted_n,raw_n
All households with MMS-matched destination,388084949,3139192
All households with extract28 origin supplement,1216404724,10202560
Movers with MMS-matched destination and previous CBSA,47479893,376264
Within-CBSA movers with bridge-matched origin mass,35551622,278763
