id,label,loss,jump,first_birth_rooms,mean_rooms,summary,summary_sha256,plan,plan_sha256,elapsed_seconds
4,jump_0.6_observed_room_gap,20.695274279625117,0.6,0.5157782239938484,6.349114575537233,/scratch/td2248/projects/Fertility_Spring26_policy_cleanup_20260905a/output/model/e5f_evening_housing_refinement_20260905a/empirical_room_gap/grid/task_004/summary.json,6ec0e9cc92b46b9f30723254f7728652fc0df96cd3ff1a58625375fe9e696f44,/scratch/td2248/projects/Fertility_Spring26_policy_cleanup_20260905a/output/model/e5f_evening_housing_refinement_20260905a/empirical_room_gap/grid/plan.json,7daf7866bf99031be1fb3f152ce4c3f365c677d0085c90a7f717fc420275abfa,588.0338125228882
3,jump_0.575_observed_room_gap,20.81241375029484,0.575,0.5040524536930526,6.344530882545115,/scratch/td2248/projects/Fertility_Spring26_policy_cleanup_20260905a/output/model/e5f_evening_housing_refinement_20260905a/empirical_room_gap/grid/task_003/summary.json,1a2ae09f2717b217440d00c97bd0dc9821cca611010c8843fb7529cc882c2a01,/scratch/td2248/projects/Fertility_Spring26_policy_cleanup_20260905a/output/model/e5f_evening_housing_refinement_20260905a/empirical_room_gap/grid/plan.json,7daf7866bf99031be1fb3f152ce4c3f365c677d0085c90a7f717fc420275abfa,534.9755518436432
2,jump_0.55_observed_room_gap,21.110593703821205,0.55,0.49232850546503837,6.340112013753719,/scratch/td2248/projects/Fertility_Spring26_policy_cleanup_20260905a/output/model/e5f_evening_housing_refinement_20260905a/empirical_room_gap/grid/task_002/summary.json,2d1aeba79b8f421c33513c096678b4ee591589eb5811a4835d1b22dfdb2d26dc,/scratch/td2248/projects/Fertility_Spring26_policy_cleanup_20260905a/output/model/e5f_evening_housing_refinement_20260905a/empirical_room_gap/grid/plan.json,7daf7866bf99031be1fb3f152ce4c3f365c677d0085c90a7f717fc420275abfa,591.9937744140625
1,jump_0.525_observed_room_gap,21.411270118916256,0.525,0.4830939858899672,6.335234440600897,/scratch/td2248/projects/Fertility_Spring26_policy_cleanup_20260905a/output/model/e5f_evening_housing_refinement_20260905a/empirical_room_gap/grid/task_001/summary.json,e5b1688496a3e61c23c3da97253c7066da443190c5f08bfadbf87249c92be307,/scratch/td2248/projects/Fertility_Spring26_policy_cleanup_20260905a/output/model/e5f_evening_housing_refinement_20260905a/empirical_room_gap/grid/plan.json,7daf7866bf99031be1fb3f152ce4c3f365c677d0085c90a7f717fc420275abfa,558.1732265949249
