moment,target,no_receipt,conditional_mean,receipt_lottery,certain_minus_control,lottery_minus_control,lottery_minus_certain
initial_normalization,2.1,2.1259401743299025,2.2172230305583023,2.166356658865027,0.09128285622839982,0.040416484535124475,-0.05086637169327535
cps_childlessness,0.19827875100684264,0.1750167313826272,0.14544206361445633,0.1617666799199036,-0.02957466776817086,-0.013250051462723594,0.016324616305447265
cps_exactly_one,0.21365532522014702,0.22811683800103896,0.22091548137764283,0.2254600998551776,-0.007201356623396132,-0.0026567381458613704,0.004544618477534762
nchs_mean_age,25.976263860992496,26.19011610814313,26.121594567223813,26.195337482808625,-0.06852154091931695,0.005221374665495659,0.07374291558481261
nchs_share30,0.2492780130410667,0.2389086968166633,0.23509850331871807,0.2391763271126788,-0.00381019349794523,0.0002676302960155086,0.004077823793960739
wealth_earnings,6.92658379107299,6.054321234312852,5.960960927982108,6.250521874701268,-0.09336030633074355,0.19620064038841623,0.2895609467191598
bequest_wealth,0.007291023472616158,0.007072874743370464,0.00729368459642277,0.007248878303698021,0.00022080985305230564,0.00017600356032755702,-4.480629272474862e-05
old_dispersion,3.51593508651872,3.000285447078229,2.888754848358008,2.7858734276361536,-0.11153059872022109,-0.21441201944207533,-0.10288142072185424
mean_rooms,5.607885960068579,6.553247277295357,6.723642073046461,6.706886919399669,0.17039479575110406,0.15363964210431202,-0.01675515364679203
ownership_30_55,0.6762604168538028,0.7555547782593506,0.7346126208037416,0.7566071916230859,-0.020942157455609012,0.001052413363735294,0.021994570819344306
first_birth_rooms,1.465,0.794260289916684,0.7328038625364437,0.7637477222964684,-0.061456427380240264,-0.03051256762021559,0.030943859760024672
family_rooms,0.38509964969278165,0.21927227969568275,0.2002823721697684,0.20953115257629307,-0.01898990752591434,-0.009741127119389681,0.00924878040652466
recent_parent_ownership,0.12760836356692162,0.07983951894477226,0.03035915690469604,0.0636906993564823,-0.04948036204007622,-0.016148819588289953,0.03333154245178627
