moment,model,source
Initial model completed fertility,1.8849693486029393,exact_stationary_key
"Childless women, ages 40–44",0.2368222268897266,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,26.64700039127535,approximate_stationary_analogue
First births at age 30+,0.26779168009211224,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.039670056895091,exact_stationary_key
Annual bequests / aggregate wealth,0.008284439831111124,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",4.340207477397544,exact_stationary_key
"Mean occupied rooms, capped at 9",5.714001188113845,approximate_stationary_analogue
"Ownership, heads 30–55",0.4483210296891976,exact_stationary_key
"First-birth room response, −1 to +3",1.1013377493678251,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.29449639843794273,approximate_stationary_analogue
Recent-parent ownership gap,0.4451145976038,exact_stationary_key
