f_c_y,K,lastcohort,rows
1972,-2,0,16
1972,-1,0,17
1972,0,0,20
1972,1,0,20
1972,2,0,23
1972,5,0,103
1972,6,0,105
1972,7,0,110
1972,8,0,109
1972,9,0,114
1972,13,0,109
1972,14,0,110
1972,15,0,102
1972,16,0,99
1972,17,0,99
1972,18,0,133
1972,19,0,125
1972,20,0,127
1972,21,0,131
1972,22,0,146
1972,23,0,106
1972,24,0,69
1972,25,0,81
1972,27,0,78
1972,29,0,82
1972,31,0,80
1972,33,0,79
1972,35,0,74
1972,37,0,67
1972,39,0,62
1972,41,0,59
1972,43,0,59
1972,45,0,55
1972,47,0,49
1973,-3,0,13
1973,-2,0,16
1973,-1,0,18
1973,0,0,27
1973,1,0,31
1973,4,0,110
1973,5,0,115
1973,6,0,117
1973,7,0,110
1973,8,0,110
1973,12,0,115
1973,13,0,117
1973,14,0,111
1973,15,0,110
1973,16,0,112
1973,17,0,145
1973,18,0,136
1973,19,0,135
1973,20,0,142
1973,21,0,152
1973,22,0,119
1973,23,0,72
1973,24,0,82
1973,26,0,79
1973,28,0,80
1973,30,0,79
1973,32,0,69
1973,34,0,71
1973,36,0,68
1973,38,0,60
1973,40,0,60
1973,42,0,54
1973,44,0,51
1973,46,0,47
1974,-4,0,5
1974,-3,0,7
1974,-2,0,9
1974,-1,0,12
1974,0,0,14
1974,3,0,125
1974,4,0,123
1974,5,0,124
1974,6,0,124
1974,7,0,123
1974,11,0,125
1974,12,0,121
1974,13,0,114
1974,14,0,117
1974,15,0,118
1974,16,0,158
1974,17,0,155
1974,18,0,151
1974,19,0,157
1974,20,0,167
1974,21,0,126
1974,22,0,84
1974,23,0,86
1974,25,0,83
1974,27,0,75
1974,29,0,70
1974,31,0,72
1974,33,0,63
1974,35,0,60
1974,37,0,57
1974,39,0,54
1974,41,0,53
1974,43,0,53
1974,45,0,48
1975,-5,0,5
1975,-4,0,6
1975,-3,0,7
1975,-2,0,11
1975,-1,0,19
1975,2,0,107
1975,3,0,108
1975,4,0,110
1975,5,0,112
1975,6,0,121
1975,10,0,126
1975,11,0,126
1975,12,0,123
1975,13,0,114
1975,14,0,119
1975,15,0,160
1975,16,0,154
1975,17,0,146
1975,18,0,156
1975,19,0,169
1975,20,0,122
1975,21,0,92
1975,22,0,94
1975,24,0,92
1975,26,0,95
1975,28,0,86
1975,30,0,82
1975,32,0,82
1975,34,0,80
1975,36,0,73
1975,38,0,67
1975,40,0,65
1975,42,0,69
1975,44,0,64
1976,-6,0,4
1976,-5,0,4
1976,-4,0,3
1976,-3,0,6
1976,-2,0,10
1976,1,0,98
1976,2,0,100
1976,3,0,105
1976,4,0,103
1976,5,0,112
1976,9,0,118
1976,10,0,118
1976,11,0,119
1976,12,0,114
1976,13,0,112
1976,14,0,151
1976,15,0,154
1976,16,0,152
1976,17,0,158
1976,18,0,162
1976,19,0,118
1976,20,0,87
1976,21,0,92
1976,23,0,89
1976,25,0,91
1976,27,0,88
1976,29,0,88
1976,31,0,81
1976,33,0,77
1976,35,0,72
1976,37,0,71
1976,39,0,72
1976,41,0,63
1976,43,0,56
1977,-7,0,4
1977,-6,0,4
1977,-5,0,5
1977,-4,0,5
1977,-3,0,6
1977,0,0,91
1977,1,0,100
1977,2,0,104
1977,3,0,126
1977,4,0,120
1977,8,0,121
1977,9,0,124
1977,10,0,127
1977,11,0,126
1977,12,0,121
1977,13,0,163
1977,14,0,162
1977,15,0,159
1977,16,0,163
1977,17,0,176
1977,18,0,134
1977,19,0,107
1977,20,0,114
1977,22,0,109
1977,24,0,107
1977,26,0,99
1977,28,0,87
1977,30,0,84
1977,32,0,84
1977,34,0,81
1977,36,0,66
1977,38,0,68
1977,40,0,68
1977,42,0,64
1979,-9,0,4
1979,-8,0,3
1979,-7,0,5
1979,-6,0,8
1979,-5,0,11
1979,-2,0,65
1979,-1,0,80
1979,0,0,109
1979,1,0,121
1979,2,0,128
1979,6,0,143
1979,7,0,136
1979,8,0,136
1979,9,0,142
1979,10,0,139
1979,11,0,173
1979,12,0,164
1979,13,0,167
1979,14,0,172
1979,15,0,183
1979,16,0,157
1979,17,0,117
1979,18,0,120
1979,20,0,116
1979,22,0,110
1979,24,0,100
1979,26,0,96
1979,28,0,99
1979,30,0,96
1979,32,0,85
1979,34,0,80
1979,36,0,79
1979,38,0,75
1979,40,0,63
1980,-7,0,2
1980,-6,0,5
1980,-3,0,46
1980,-2,0,59
1980,-1,0,81
1980,0,0,103
1980,1,0,121
1980,5,0,134
1980,6,0,128
1980,7,0,130
1980,8,0,128
1980,9,0,119
1980,10,0,178
1980,11,0,183
1980,12,0,176
1980,13,0,175
1980,14,0,187
1980,15,0,148
1980,16,0,103
1980,17,0,109
1980,19,0,110
1980,21,0,111
1980,23,0,109
1980,25,0,103
1980,27,0,99
1980,29,0,93
1980,31,0,88
1980,33,0,82
1980,35,0,79
1980,37,0,76
1980,39,0,66
1981,-10,0,1
1981,-9,0,1
1981,-8,0,5
1981,-7,0,7
1981,-4,0,30
1981,-3,0,36
1981,-2,0,52
1981,-1,0,73
1981,0,0,95
1981,4,0,116
1981,5,0,117
1981,6,0,123
1981,7,0,117
1981,8,0,121
1981,9,0,154
1981,10,0,152
1981,11,0,156
1981,12,0,162
1981,13,0,181
1981,14,0,146
1981,15,0,116
1981,16,0,125
1981,18,0,123
1981,20,0,117
1981,22,0,119
1981,24,0,118
1981,26,0,104
1981,28,0,101
1981,30,0,94
1981,32,0,90
1981,34,0,92
1981,36,0,81
1981,38,0,82
1982,-12,0,2
1982,-11,0,3
1982,-10,0,3
1982,-9,0,5
1982,-8,0,5
1982,-5,0,27
1982,-4,0,34
1982,-3,0,41
1982,-2,0,60
1982,-1,0,77
1982,3,0,137
1982,4,0,143
1982,5,0,147
1982,6,0,149
1982,7,0,149
1982,8,0,189
1982,9,0,182
1982,10,0,181
1982,11,0,183
1982,12,0,201
1982,13,0,163
1982,14,0,121
1982,15,0,121
1982,17,0,123
1982,19,0,128
1982,21,0,122
1982,23,0,123
