f_c_y,control,K,rows,unsupported
1974,0,-1,52,0
1974,0,0,64,0
1974,0,1,215,0
1974,0,2,220,0
1974,0,3,222,0
1974,0,4,226,0
1974,0,5,225,0
1974,0,6,220,0
1974,0,7,221,0
1974,0,8,216,0
1974,0,9,216,0
1974,0,10,220,0
1974,0,11,209,0
1974,0,12,199,0
1974,0,13,194,0
1974,0,14,189,0
1974,0,15,188,0
1974,0,16,187,0
1974,0,17,188,0
1974,0,18,184,0
1974,0,19,186,0
1974,0,20,208,0
1974,0,21,193,0
1974,0,22,189,0
1974,0,23,129,0
1974,0,25,128,0
1974,0,27,127,0
1974,0,29,117,0
1974,0,31,115,0
1974,0,33,107,0
1974,0,35,102,0
1974,0,37,103,0
1974,0,39,99,0
1974,0,41,90,0
1974,0,43,85,0
1974,0,45,81,0
1975,0,-7,17,0
1975,0,-6,16,0
1975,0,-5,18,0
1975,0,-4,25,0
1975,0,-3,37,0
1975,0,-2,47,0
1975,0,-1,52,0
1975,0,0,193,0
1975,0,1,205,0
1975,0,2,208,0
1975,0,3,212,0
1975,0,4,215,0
1975,0,5,208,0
1975,0,6,214,0
1975,0,7,209,0
1975,0,8,212,0
1975,0,9,212,0
1975,0,10,211,0
1975,0,11,205,0
1975,0,12,198,0
1975,0,13,188,0
1975,0,14,183,0
1975,0,15,178,0
1975,0,16,177,0
1975,0,17,171,0
1975,0,18,180,0
1975,0,19,184,0
1975,0,20,179,0
1975,0,21,173,0
1975,0,22,123,0
1975,0,24,117,0
1975,0,26,120,0
1975,0,28,115,0
1975,0,30,105,0
1975,0,32,107,0
1975,0,34,102,0
1975,0,36,100,0
1975,0,38,100,0
1975,0,40,87,0
1975,0,42,84,0
1975,0,44,80,0
1976,0,-8,16,0
1976,0,-7,14,0
1976,0,-6,20,0
1976,0,-5,21,0
1976,0,-4,27,0
1976,0,-3,40,0
1976,0,-2,51,0
1976,0,-1,162,0
1976,0,0,198,0
1976,0,1,208,0
1976,0,2,206,0
1976,0,3,202,0
1976,0,4,202,0
1976,0,5,207,0
1976,0,6,202,0
1976,0,7,208,0
1976,0,8,202,0
1976,0,9,202,0
1976,0,10,200,0
1976,0,11,200,0
1976,0,12,197,0
1976,0,13,189,0
1976,0,14,186,0
1976,0,15,178,0
1976,0,16,178,0
1976,0,17,178,0
1976,0,18,191,0
1976,0,19,184,0
1976,0,20,174,0
1976,0,21,135,0
1976,0,23,131,0
1976,0,25,127,0
1976,0,27,127,0
1976,0,29,127,0
1976,0,31,121,0
1976,0,33,117,0
1976,0,35,114,0
1976,0,37,111,0
1976,0,39,104,0
1976,0,41,104,0
1976,0,43,93,0
1977,0,-9,11,0
1977,0,-8,9,0
1977,0,-7,11,0
1977,0,-6,18,0
1977,0,-5,27,0
1977,0,-4,30,0
1977,0,-3,40,0
1977,0,-2,121,0
1977,0,-1,155,0
1977,0,0,205,0
1977,0,1,218,0
1977,0,2,230,0
1977,0,3,229,0
1977,0,4,224,0
1977,0,5,223,0
1977,0,6,223,0
1977,0,7,223,0
1977,0,8,227,0
1977,0,9,223,0
1977,0,10,219,0
1977,0,11,213,0
1977,0,12,210,0
1977,0,13,208,0
1977,0,14,201,0
1977,0,15,205,0
1977,0,16,211,0
1977,0,17,220,0
1977,0,18,213,0
1977,0,19,201,0
1977,0,20,150,0
1977,0,22,148,0
1977,0,24,142,0
1977,0,26,140,0
1977,0,28,134,0
1977,0,30,123,0
1977,0,32,123,0
1977,0,34,121,0
1977,0,36,111,0
1977,0,38,109,0
1977,0,40,106,0
1977,0,42,100,0
1978,0,-10,10,0
1978,0,-9,12,0
1978,0,-8,8,0
1978,0,-7,14,0
1978,0,-6,19,0
1978,0,-5,28,0
1978,0,-4,35,0
1978,0,-3,106,0
1978,0,-2,145,0
1978,0,-1,186,0
1978,0,0,230,0
1978,0,1,254,0
1978,0,2,244,0
1978,0,3,230,0
1978,0,4,237,0
1978,0,5,237,0
1978,0,6,240,0
1978,0,7,240,0
1978,0,8,229,0
1978,0,9,214,0
1978,0,10,213,0
1978,0,11,208,0
1978,0,12,200,0
1978,0,13,197,0
1978,0,14,192,0
1978,0,15,201,0
1978,0,16,223,0
1978,0,17,215,0
1978,0,18,213,0
1978,0,19,160,0
1978,0,21,156,0
1978,0,23,155,0
1978,0,25,148,0
1978,0,27,144,0
1978,0,29,129,0
1978,0,31,128,0
1978,0,33,122,0
1978,0,35,126,0
1978,0,37,121,0
1978,0,39,117,0
1978,0,41,113,0
1979,0,-11,9,0
1979,0,-10,7,0
1979,0,-9,10,0
1979,0,-8,12,0
1979,0,-7,19,0
1979,0,-6,35,0
1979,0,-5,40,0
1979,0,-4,116,0
1979,0,-3,147,0
1979,0,-2,176,0
1979,0,-1,211,0
1979,0,0,284,0
1979,0,1,291,0
1979,0,2,290,0
1979,0,3,286,0
1979,0,4,283,0
1979,0,5,281,0
1979,0,6,277,0
1979,0,7,265,0
1979,0,8,251,0
1979,0,9,244,0
1979,0,10,245,0
1979,0,11,239,0
1979,0,12,230,0
1979,0,13,229,0
1979,0,14,216,0
1979,0,15,242,0
1979,0,16,232,0
1979,0,17,228,0
1979,0,18,169,0
1979,0,20,166,0
1979,0,22,163,0
1979,0,24,154,0
1979,0,26,149,0
1979,0,28,147,0
1979,0,30,143,0
1979,0,32,140,0
1979,0,34,137,0
1979,0,36,136,0
1979,0,38,126,0
1979,0,40,123,0
1980,0,-12,4,0
1980,0,-11,7,0
1980,0,-10,9,0
1980,0,-9,12,0
1980,0,-8,15,0
1980,0,-7,16,0
1980,0,-6,25,0
1980,0,-5,69,0
1980,0,-4,96,0
1980,0,-3,127,0
1980,0,-2,157,0
1980,0,-1,224,0
1980,0,0,281,0
1980,0,1,278,0
1980,0,2,270,0
1980,0,3,274,0
1980,0,4,271,0
1980,0,5,273,0
1980,0,6,256,0
1980,0,7,251,0
1980,0,8,255,0
1980,0,9,241,0
1980,0,10,236,0
1980,0,11,233,0
1980,0,12,230,0
1980,0,13,223,0
1980,0,14,243,0
1980,0,15,233,0
1980,0,16,227,0
1980,0,17,151,0
1980,0,19,151,0
1980,0,21,148,0
1980,0,23,145,0
1980,0,25,130,0
1980,0,27,123,0
1980,0,29,122,0
1980,0,31,117,0
1980,0,33,117,0
1980,0,35,112,0
1980,0,37,112,0
1980,0,39,101,0
1981,0,-13,5,0
1981,0,-12,5,0
1981,0,-11,8,0
1981,0,-10,8,0
1981,0,-9,13,0
1981,0,-8,16,0
1981,0,-7,18,0
1981,0,-6,54,0
1981,0,-5,71,0
1981,0,-4,85,0
1981,0,-3,101,0
1981,0,-2,152,0
1981,0,-1,190,0
1981,0,0,235,0
1981,0,1,235,0
1981,0,2,231,0
1981,0,3,229,0
1981,0,4,223,0
1981,0,5,219,0
1981,0,6,208,0
1981,0,7,206,0
1981,0,8,202,0
1981,0,9,196,0
1981,0,10,188,0
1981,0,11,190,0
1981,0,12,198,0
1981,0,13,209,0
1981,0,14,203,0
1981,0,15,194,0
1981,0,16,154,0
1981,0,18,153,0
1981,0,20,149,0
1981,0,22,150,0
1981,0,24,143,0
1981,0,26,137,0
1981,0,28,134,0
1981,0,30,127,0
1981,0,32,123,0
1981,0,34,123,0
1981,0,36,119,0
1981,0,38,110,0
1982,0,-14,4,0
1982,0,-13,4,0
1982,0,-12,7,0
1982,0,-11,8,0
1982,0,-10,14,0
1982,0,-9,18,0
1982,0,-8,21,0
1982,0,-7,49,0
1982,0,-6,68,0
1982,0,-5,84,0
1982,0,-4,101,0
1982,0,-3,153,0
1982,0,-2,191,0
1982,0,-1,226,0
1982,0,0,270,0
1982,0,1,273,0
1982,0,2,274,0
1982,0,3,270,0
1982,0,4,264,0
1982,0,5,255,0
1982,0,6,250,0
1982,0,7,250,0
1982,0,8,238,0
1982,0,9,234,0
1982,0,10,231,0
1982,0,11,226,0
1982,0,12,232,0
1982,0,13,226,0
1982,0,14,221,0
1982,0,15,159,0
1982,0,17,155,0
1982,0,19,155,0
1982,0,21,152,0
1982,0,23,147,0
1982,0,25,140,0
1982,0,27,133,0
1982,0,29,124,0
1982,0,31,125,0
1982,0,33,119,0
1982,0,35,114,0
1982,0,37,110,0
1983,0,-15,1,0
1983,0,-14,1,0
1983,0,-13,4,0
1983,0,-12,6,0
1983,0,-11,6,0
1983,0,-10,12,0
1983,0,-9,16,0
1983,0,-8,44,0
1983,0,-7,57,0
1983,0,-6,71,0
1983,0,-5,91,0
1983,0,-4,145,0
1983,0,-3,174,0
1983,0,-2,210,0
1983,0,-1,255,0
1983,0,0,309,0
1983,0,1,313,0
1983,0,2,301,0
1983,0,3,296,0
1983,0,4,285,0
1983,0,5,278,0
1983,0,6,269,0
1983,0,7,266,0
1983,0,8,265,0
1983,0,9,260,0
1983,0,10,253,0
1983,0,11,259,0
1983,0,12,254,0
1983,0,13,251,0
1983,0,14,191,0
1983,0,16,187,0
1983,0,18,188,0
1983,0,20,187,0
1983,0,22,181,0
1983,0,24,174,0
1983,0,26,165,0
1983,0,28,157,0
1983,0,30,161,0
1983,0,32,146,0
1983,0,34,144,0
1983,0,36,134,0
1984,0,-16,1,0
1984,0,-13,4,0
1984,0,-12,5,0
1984,0,-11,7,0
1984,0,-10,10,0
1984,0,-9,25,0
1984,0,-8,35,0
1984,0,-7,41,0
1984,0,-6,47,0
1984,0,-5,93,0
1984,0,-4,123,0
1984,0,-3,145,0
1984,0,-2,180,0
1984,0,-1,220,0
1984,0,0,268,0
1984,0,1,269,0
1984,0,2,258,0
1984,0,3,247,0
1984,0,4,247,0
1984,0,5,242,0
1984,0,6,232,0
1984,0,7,225,0
1984,0,8,230,0
1984,0,9,223,0
1984,0,10,251,0
1984,0,11,243,0
1984,0,12,234,0
1984,0,13,157,0
1984,0,15,152,0
1984,0,17,148,0
1984,0,19,145,0
1984,0,21,137,0
1984,0,23,135,0
1984,0,25,125,0
1984,0,27,116,0
1984,0,29,115,0
1984,0,31,104,0
1984,0,33,103,0
1984,0,35,97,0
1985,0,-17,1,0
1985,0,-16,1,0
1985,0,-15,2,0
1985,0,-14,2,0
1985,0,-13,3,0
1985,0,-12,4,0
1985,0,-11,5,0
1985,0,-10,14,0
1985,0,-9,14,0
1985,0,-8,22,0
1985,0,-7,30,0
1985,0,-6,60,0
1985,0,-5,82,0
1985,0,-4,108,0
1985,0,-3,133,0
1985,0,-2,161,0
1985,0,-1,194,0
1985,0,0,225,0
1985,0,1,231,0
1985,0,2,219,0
1985,0,3,205,0
1985,0,4,192,0
1985,0,5,185,0
1985,0,6,176,0
1985,0,7,175,0
1985,0,8,173,0
1985,0,9,184,0
1985,0,10,167,0
1985,0,11,162,0
1985,0,12,142,0
1985,0,14,135,0
1985,0,16,129,0
1985,0,18,127,0
1985,0,20,126,0
1985,0,22,120,0
1985,0,24,121,0
1985,0,26,107,0
1985,0,28,101,0
1985,0,30,101,0
1985,0,32,92,0
1985,0,34,95,0
1986,0,-18,6,0
1986,0,-17,6,0
1986,0,-16,8,0
1986,0,-15,9,0
1986,0,-14,11,0
1986,0,-13,12,0
1986,0,-12,16,0
1986,0,-11,26,0
1986,0,-10,30,0
1986,0,-9,36,0
1986,0,-8,47,0
1986,0,-7,80,0
1986,0,-6,101,0
1986,0,-5,113,0
1986,0,-4,130,0
1986,0,-3,166,0
1986,0,-2,198,0
1986,0,-1,233,0
1986,0,0,279,0
1986,0,1,281,0
1986,0,2,262,0
1986,0,3,253,0
1986,0,4,248,0
1986,0,5,241,0
1986,0,6,232,0
1986,0,7,223,0
1986,0,8,227,0
1986,0,9,215,0
1986,0,10,208,0
1986,0,11,157,0
1986,0,13,155,0
1986,0,15,153,0
1986,0,17,153,0
1986,0,19,139,0
1986,0,21,133,0
1986,0,23,134,0
1986,0,25,129,0
1986,0,27,118,0
1986,0,29,111,0
1986,0,31,108,0
1986,0,33,101,0
1987,0,-19,3,0
1987,0,-18,3,0
1987,0,-17,3,0
1987,0,-16,3,0
1987,0,-15,3,0
1987,0,-14,6,0
1987,0,-13,7,0
1987,0,-12,15,0
1987,0,-11,23,0
1987,0,-10,29,0
1987,0,-9,35,0
1987,0,-8,72,0
1987,0,-7,88,0
1987,0,-6,94,0
1987,0,-5,109,0
1987,0,-4,135,0
1987,0,-3,162,0
1987,0,-2,203,0
1987,0,-1,225,0
1987,0,0,271,0
1987,0,1,267,0
1987,0,2,254,0
1987,0,3,239,0
1987,0,4,233,0
1987,0,5,229,0
1987,0,6,233,0
1987,0,7,245,0
1987,0,8,240,0
1987,0,9,226,0
1987,0,10,165,0
1987,0,12,168,0
1987,0,14,162,0
1987,0,16,161,0
1987,0,18,155,0
1987,0,20,149,0
1987,0,22,147,0
1987,0,24,128,0
1987,0,26,124,0
1987,0,28,116,0
1987,0,30,117,0
1987,0,32,108,0
1988,0,-17,1,0
1988,0,-16,1,0
1988,0,-15,3,0
1988,0,-14,3,0
1988,0,-13,13,0
1988,0,-12,15,0
1988,0,-11,21,0
1988,0,-10,28,0
1988,0,-9,49,0
1988,0,-8,60,0
1988,0,-7,74,0
1988,0,-6,87,0
1988,0,-5,109,0
1988,0,-4,140,0
1988,0,-3,172,0
1988,0,-2,190,0
1988,0,-1,223,0
1988,0,0,277,0
1988,0,1,264,0
1988,0,2,255,0
1988,0,3,244,0
1988,0,4,232,0
1988,0,5,217,0
1988,0,6,226,0
1988,0,7,218,0
1988,0,8,210,0
1988,0,9,154,0
1988,0,11,154,0
1988,0,13,155,0
1988,0,15,153,0
1988,0,17,146,0
1988,0,19,146,0
1988,0,21,143,0
1988,0,23,124,0
1988,0,25,128,0
1988,0,27,119,0
1988,0,29,120,0
1988,0,31,109,0
1989,0,-21,1,0
1989,0,-20,1,0
1989,0,-19,1,0
1989,0,-18,2,0
1989,0,-17,3,0
1989,0,-16,6,0
1989,0,-15,8,0
1989,0,-14,14,0
1989,0,-13,19,0
1989,0,-12,26,0
1989,0,-11,30,0
1989,0,-10,50,0
1989,0,-9,60,0
1989,0,-8,73,0
1989,0,-7,82,0
1989,0,-6,95,0
1989,0,-5,118,0
1989,0,-4,140,0
1989,0,-3,158,0
1989,0,-2,184,0
1989,0,-1,205,0
1989,0,0,246,0
1989,0,1,250,0
1989,0,2,234,0
1989,0,3,228,0
1989,0,4,217,0
1989,0,5,214,0
1989,0,6,207,0
1989,0,7,195,0
1989,0,8,146,0
1989,0,10,144,0
1989,0,12,138,0
1989,0,14,137,0
1989,0,16,134,0
1989,0,18,137,0
1989,0,20,129,0
1989,0,22,129,0
1989,0,24,123,0
1989,0,26,114,0
1989,0,28,108,0
1989,0,30,101,0
1990,0,-22,1,0
1990,0,-21,1,0
1990,0,-20,1,0
1990,0,-19,1,0
1990,0,-18,1,0
1990,0,-17,2,0
1990,0,-16,3,0
1990,0,-15,9,0
1990,0,-14,10,0
1990,0,-13,15,0
1990,0,-12,18,0
1990,0,-11,31,0
