case,age,z_index,z,permanent_index,permanent_level,changing_income_state,wealth_index,wealth,renter,location,parity,child_state,graph_value_mask,value,consumption_conditional_renter,housing_conditional_renter,selected_tenure,housing_graph_selected_tenure,owner_entry_probability,graph_fertility_scalar,tenure_probability_sum,pre_fertility_mass,post_fertility_pre_tenure_mass,current_post_tenure_mass,tenure_probability_0,tenure_probability_1,tenure_probability_2,tenure_probability_3,tenure_probability_4,tenure_probability_5
current_transition,30,0,0.11089068477824145,0,0.2774924094113725,0,0,-12.0,0,0,0,0,False,-9999999999.702808,0.04,4.01,0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_transition,30,0,0.11089068477824145,0,0.2774924094113725,0,1,-11.3,0,0,0,0,False,-9999999999.702808,0.04,4.01,0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_transition,30,0,0.11089068477824145,0,0.2774924094113725,0,2,-10.6,0,0,0,0,False,-9999999999.702808,0.04,4.01,0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_transition,30,0,0.11089068477824145,0,0.2774924094113725,0,3,-9.9,0,0,0,0,False,-9999999999.702808,0.04,4.01,0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_transition,30,0,0.11089068477824145,0,0.2774924094113725,0,4,-9.2,0,0,0,0,False,-9999999999.702808,0.04,4.01,0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_transition,30,0,0.11089068477824145,0,0.2774924094113725,0,5,-8.5,0,0,0,0,False,-9999999999.702808,0.04,4.01,0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_transition,30,0,0.11089068477824145,0,0.2774924094113725,0,6,-7.800000000000001,0,0,0,0,False,-9999999999.702808,0.04,4.01,0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_transition,30,0,0.11089068477824145,0,0.2774924094113725,0,7,-7.1000000000000005,0,0,0,0,False,-9999999999.702808,0.04,4.01,0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_transition,30,0,0.11089068477824145,0,0.2774924094113725,0,8,-6.4,0,0,0,0,False,-9999999999.702808,0.04,4.01,0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_transition,30,0,0.11089068477824145,0,0.2774924094113725,0,9,-5.7,0,0,0,0,False,-9999999999.702808,0.04,4.01,0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
