scenario,period,years_from_start,psi_child,asset_price,asset_price_index,housing_user_cost,adult_population,population_index,population_target_index,population_target_gap,next_population_target_index,next_population_target_year,mean_adult_age,entry_flow_E,birth_children,birth_children_raw_explicit_states,top_bin_entry_birth_flow,birth_children_topcode_adjusted,births_per_adult,topcode_adjusted_births_per_adult,births_over_entry,topcode_adjusted_births_over_entry,scheduled_raw_birth_children,effective_mature_entrant_flow_B,raw_state_scheduled_mature_entrant_flow_B,mature_to_current_entry_flow_ratio_diagnostic,model_state_same_period_mature_flow_B,birth_queue_new_potential_flow_B,birth_queue_new_raw_state_potential_flow_B,birth_queue_scheduled_flows,birth_queue_raw_state_scheduled_flows,dual_clock_raw_flow_gap_percent,closure,housing_supply_mode,outside_entry_flow_M,outside_entry_flow_share_of_initial_mass,retained_mature_entrants,entrant_flow_next,youngest_age_mass_next,census_age_bridge_net_residual,census_age_bridge_absolute_group_residual,census_age_bridge_maximum_target_gap,adult_deaths,housing_demand,housing_demand_per_adult,housing_supply,relative_market_residual,owner_rate,dependent_child_owner_rate,parent_owner_rate,childless_owner_rate,policy_case,policy_active,mass_accounting_residual,feasibility_frontier_projection_mass,min_distribution_mass,nonfinite_distribution_count
task_001,0,0.0,0.41876086912571525,0.7029297140547438,1.0,0.11648351577211333,1.0000000000000038,1.0,1.0,0.0,1.029609172980129,2011,47.5686430127192,0.016622662021820053,0.10065847972624019,0.10065847972624019,0.0421487009543679,0.12604714687154342,0.10065847972623981,0.12604714687154295,6.055496983221396,7.582849648635413,0.10835764691309929,0.06173919675927589,0.05159887948242823,3.714158218354723,0.05962123694434697,0.06002245089121115,0.047932609393447706,"[0.06173919675927589, 0.06173919675927589, 0.06173919675927589, 0.06002245089121115]","[0.05159887948242823, 0.05159887948242823, 0.05159887948242823, 0.047932609393447706]",-13.455536773594876,open_birth_vintage,static-elastic,0.010432954094550959,0.010432954094550919,0.05130050208622394,0.0617334561807749,0.014657928626055701,0.006945473013299619,0.10981024591413244,1.249000902703301e-16,0.03906975621394421,5.295078414654828,5.2950784146548076,5.295078414654828,0.0,0.46915648065911514,0.5038272377265343,0.5130926858577133,0.4088247058937871,none,False,-8.881784197001252e-16,0.0,0.0,0
task_001,1,4.0,0.32661086563718233,0.7266535919040914,1.03375,0.12041483442942215,1.0296091729801333,1.0296091729801293,1.029609172980129,2.220446049250313e-16,1.0678559129609455,2015,48.56982623828824,0.014657928626055701,0.07144396450782556,0.07144396450782556,0.03763655960863732,0.09411470080009161,0.06938940170961753,0.09140818018130419,4.87408325763218,6.420736735802821,0.10835764691309929,0.06173919675927589,0.05159887948242823,4.212000094578799,0.05626739095229235,0.04481652419051981,0.03402093547991693,"[0.06173919675927589, 0.06173919675927589, 0.06002245089121115, 0.04481652419051981]","[0.05159887948242823, 0.05159887948242823, 0.047932609393447706, 0.03402093547991693]",-8.297010738995219,open_birth_vintage,static-elastic,0.010432954094550959,0.010432954094550919,0.05130050208622394,0.0617334561807749,0.01321820844832785,0.017636780199133728,0.12494223204234316,1.1102230246251565e-16,0.041123496399091825,5.407065615743566,5.251570943266933,5.406972679399929,1.7188239916748254e-05,0.4728067020874313,0.515405300085083,0.520500844663897,0.4119146209896187,none,False,0.0,0.0,0.0,0
task_001,2,8.0,0.23446086214864942,0.750539490247345,1.0677304931640625,0.12437300174084241,1.0678559129609502,1.0678559129609462,1.0678559129609455,6.661338147750939e-16,1.1013831580148525,2019,49.31992666041665,0.01321820844832785,0.04614057760135104,0.04614057760135104,0.034141635556130256,0.06670611346138358,0.04320861741862952,0.062467335388368,3.4906831573826476,5.046532116825722,0.10835764691309929,0.06173919675927589,0.05159887948242823,4.6707688867689265,0.05071942657447313,0.03176481593399218,0.02197170361969097,"[0.06173919675927589, 0.06002245089121115, 0.04481652419051981, 0.03176481593399218]","[0.05159887948242823, 0.047932609393447706, 0.03402093547991693, 0.02197170361969097]",1.7339567249715866,open_birth_vintage,static-elastic,0.010432954094550959,0.010432954094550919,0.05130050208622394,0.0617334561807749,0.0132649069032575,0.015205935533138648,0.1334172642386721,1.3877787807814457e-16,0.04341214666000642,5.518205743707791,5.1675564809178365,5.51827364475014,1.2304761728039847e-05,0.4728699946317796,0.5197819882709609,0.5233987904592705,0.4152339620138896,none,False,-6.661338147750939e-16,0.0,0.0,0
task_001,3,12.0,0.1423108586601165,0.7725719287989417,1.099074222289562,0.12802402950678937,1.1013831580148568,1.1013831580148525,1.1013831580148525,0.0,1.1292476712477624,2023,49.93534636055936,0.0132649069032575,0.02214363143520122,0.02214363143520122,0.01860822832407555,0.033352473093102866,0.02010529330692972,0.030282352558593392,1.669339377705195,2.514339025245055,0.10835764691309929,0.06173919675927589,0.05159887948242823,4.65432567371539,0.04231120127381079,0.015882130044334697,0.010544586397714866,"[0.06002245089121115, 0.04481652419051981, 0.03176481593399218, 0.015882130044334697]","[0.047932609393447706, 0.03402093547991693, 0.02197170361969097, 0.010544586397714866]",21.950873359783795,open_birth_vintage,static-elastic,0.010432954094550959,0.010432954094550919,0.05130050208622394,0.0617334561807749,0.014337122049139252,0.013505914350760984,0.15451280321189909,9.71445146547012e-17,0.047374857298625186,5.620039626040752,5.102710700761362,5.619781364419687,4.5955812925397025e-05,0.4577429624576013,0.5251892951703857,0.5259751458819696,0.3906336222146652,none,False,-2.220446049250313e-16,0.0,0.0,0
task_001,4,16.0,0.050160855171583585,0.7816707739760074,1.11201839721223,0.129531812510551,1.1292476712477673,1.129247671247763,1.1292476712477624,6.661338147750939e-16,,,49.97241435780809,0.014337122049139252,0.005219751647062904,0.005219751647062904,0.004712667442979546,0.008058471284136694,0.004622326687019258,0.007136141600568855,0.36407248464319786,0.5620703552998277,0.10065847972624019,0.06002245089121115,0.047932609393447706,4.186506237827185,0.0334699355481872,0.0038373672781603307,0.0024855960224109065,"[0.04481652419051981, 0.03176481593399218, 0.015882130044334697, 0.0038373672781603307]","[0.03402093547991693, 0.02197170361969097, 0.010544586397714866, 0.0024855960224109065]",43.21094023153513,open_birth_vintage,static-elastic,0.010432954094550959,0.010432954094550919,0.04987401891817172,0.06030697301272268,0.060306973012722684,0.0,0.0,0.0,0.04995973857292581,5.661565433131739,5.013572821342166,5.661388240416791,3.129845674297484e-05,0.463905535015064,0.5300487482431702,0.5286074580389964,0.41050810369461216,none,False,0.0,0.0,0.0,0
