stage,case_id,parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
initial_population,4,beta_annual,0.9954841429255801,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,4,kappa_fert,2.139926085995651,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,4,kappa_fert_continuation,1.7308101725576617,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,4,chi,1.0122955230036794,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,4,H0,13.991928376762326,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,4,theta0,0.5661377373227143,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,4,theta1,0.1037513695133392,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,4,hbar_child_rooms,0.23202723215429089,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,4,first_birth_fixed_cost,4.432473523378314,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,4,hbar_first_child_jump,0.749999999071895,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,4,psi_child_change_2023,-0.33166254911081416,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,4,psi_child_2007,0.29775032601549883,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,4,psi_child_2023,-0.03391222309531533,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,4,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,4,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,7,beta_annual,0.9957497203028133,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,7,kappa_fert,2.318526502982517,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,7,kappa_fert_continuation,1.732668850142499,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,7,chi,1.0439394561572382,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,7,H0,15.340024287432385,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,7,theta0,0.5655715784774131,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,7,theta1,0.10280505422405144,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,7,hbar_child_rooms,0.2286678224938975,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,7,first_birth_fixed_cost,4.50823170963346,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,7,hbar_first_child_jump,1.2000000099846944,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,7,psi_child_change_2023,-0.31263583731725314,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,7,psi_child_2007,0.3367393975824622,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,7,psi_child_2023,0.024103560265209045,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,7,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,7,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,12,beta_annual,0.9955501951539804,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,12,kappa_fert,2.149321500232885,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,12,kappa_fert_continuation,1.6750064644715874,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,12,chi,1.0519453936910799,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,12,H0,15.28313176375189,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,12,theta0,0.5898239957766774,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,12,theta1,0.10423119335186609,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,12,hbar_child_rooms,0.239167461311956,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,12,first_birth_fixed_cost,4.591405462381453,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,12,hbar_first_child_jump,1.0499999924263819,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,12,psi_child_change_2023,-0.33148836144480753,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,12,psi_child_2007,0.3317426341804767,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,12,psi_child_2023,0.00025427273566919206,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,12,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,12,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,1,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,1,kappa_fert,2.23273003596061,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,1,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,1,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,1,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,1,theta0,0.5544418580619153,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,1,theta1,0.10635689183849888,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,1,hbar_child_rooms,0.23268814270366286,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,1,first_birth_fixed_cost,4.544052672413152,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,1,hbar_first_child_jump,0.5999999999999999,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,1,psi_child_change_2023,-0.32688089718542696,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,1,psi_child_2007,0.2997752448535115,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,1,psi_child_2023,-0.027105652331915475,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,1,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,1,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,3,beta_annual,0.9957430367679725,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,3,kappa_fert,2.2358675122758918,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,3,kappa_fert_continuation,1.8371824635654141,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,3,chi,1.0154420892737597,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,3,H0,14.170932715430244,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,3,theta0,0.5684788086130158,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,3,theta1,0.11076164879984891,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,3,hbar_child_rooms,0.22795687692467906,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,3,first_birth_fixed_cost,4.630560211789559,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,3,hbar_first_child_jump,0.6000000031493207,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,3,psi_child_change_2023,-0.31932778139747414,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,3,psi_child_2007,0.28761007671024347,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,3,psi_child_2023,-0.031717704687230674,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,3,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,3,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,8,beta_annual,0.9959223927223555,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,8,kappa_fert,2.402925277406622,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,8,kappa_fert_continuation,1.7503233143687738,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,8,chi,1.0370632430797788,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,8,H0,14.484636990686987,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,8,theta0,0.5876820135464889,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,8,theta1,0.10117809284272138,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,8,hbar_child_rooms,0.233888039385596,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,8,first_birth_fixed_cost,4.534065988522342,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,8,hbar_first_child_jump,0.4999999905612799,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,8,psi_child_change_2023,-0.314940312939731,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,8,psi_child_2007,0.30449007955769897,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,8,psi_child_2023,-0.010450233382032048,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,8,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,8,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,10,beta_annual,0.9958000266936653,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,10,kappa_fert,2.143598036937975,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,10,kappa_fert_continuation,1.7609740658019235,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,10,chi,1.0639947347600687,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,10,H0,14.392075215852081,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,10,theta0,0.5693462540922599,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,10,theta1,0.1070560752264723,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,10,hbar_child_rooms,0.2394791933133593,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,10,first_birth_fixed_cost,4.540956225404912,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,10,hbar_first_child_jump,0.7500000022544512,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,10,psi_child_change_2023,-0.3312866509708913,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,10,psi_child_2007,0.2974180567733794,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,10,psi_child_2023,-0.033868594197511925,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,10,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,10,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,6,beta_annual,0.9957074706413475,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,6,kappa_fert,2.11053523401319,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,6,kappa_fert_continuation,1.6199323037923785,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,6,chi,1.042915138013007,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,6,H0,15.09144466161794,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,6,theta0,0.5377741141279474,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,6,theta1,0.09981183827033474,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,6,hbar_child_rooms,0.22874843059850908,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,6,first_birth_fixed_cost,4.538630735187739,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,6,hbar_first_child_jump,1.0500000066441653,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,6,psi_child_change_2023,-0.32931994984769297,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,6,psi_child_2007,0.33463927617897565,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,6,psi_child_2023,0.005319326331282681,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,6,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,6,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,5,beta_annual,0.9959327665250572,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,5,kappa_fert,2.067049247935314,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,5,kappa_fert_continuation,1.7751647646015494,0.02,50.0,log,True,estimated_free_transition_parameter,False
initial_population,5,chi,1.0484134709218478,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,5,H0,15.344709459363308,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,5,theta0,0.5800763285992162,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,5,theta1,0.10470077656652625,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,5,hbar_child_rooms,0.23845361753901223,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,5,first_birth_fixed_cost,4.446480825639311,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,5,hbar_first_child_jump,0.9000000011560836,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,5,psi_child_change_2023,-0.3168659804530691,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,5,psi_child_2007,0.2883464389867072,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,5,psi_child_2023,-0.028519541466361875,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,5,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
