parameter,estimate,actual_lower,actual_upper,near_bound,fractional_bound_distance,restriction_or_status,structural_coordinate
beta_annual,0.99,0.94,0.99,upper,0.0,diagnostic candidate; not a certified estimate,True
kappa_fert,0.19777115505824105,0.02,50.0,lower,0.0035568458395006217,diagnostic candidate; not a certified estimate,True
kappa_fert_continuation,0.36381837793753496,0.02,50.0,lower,0.006879119206433273,diagnostic candidate; not a certified estimate,True
chi,0.9530594713531557,0.1,5.0,,0.17409376966390933,diagnostic candidate; not a certified estimate,True
H0,10.15538448099704,0.2,80.0,,0.12475419149119098,diagnostic candidate; not a certified estimate,True
theta0,0.17078349399905368,0.0,8.0,,0.02134793674988171,diagnostic candidate; not a certified estimate,True
theta1,0.07348722988916863,0.02,16.0,lower,0.003347135787807799,diagnostic candidate; not a certified estimate,True
first_birth_fixed_cost,0.1673816654593897,0.0,8.0,,0.020922708182423713,diagnostic candidate; not a certified estimate,True
h_P,2.3,0.1,2.3,upper,0.0,diagnostic candidate; not a certified estimate,True
hbar_child_rooms,0.0,,,not searched,,zero restriction,False
psi_child,0.19113322101464336,,,not searched,,normalized to 2.1,False
payroll_tax,0.179,,,not searched,,externally fixed,False
pension_period,2.046361389612121,,,not searched,,budget derived,False
housing_supply_elasticity,0.63,,,not searched,,externally fixed,False
tenure_choice_kappa,0.005,,,not searched,,externally fixed,False
alpha_cons,0.733,,,not searched,,externally fixed,False
sigma,2.0,,,not searched,,externally fixed,False
