parameter,target,method,full_step,derivative,weighted_response_per_full_step,half_derivative
H0,cps_childlessness,central,0.507769224049852,-0.005681172161500695,-0.5437709607312842,-0.0056657969335913985
H0,cps_exactly_one,central,0.507769224049852,0.004834851426371305,0.40304321985836267,0.004828605036356787
H0,nchs_mean_age,central,0.507769224049852,-0.06613923726693587,-0.39712089190004707,-0.06643299023813093
H0,nchs_share30,central,0.507769224049852,-0.003755223225700691,-0.22453226412511734,-0.00374957259863568
H0,wealth_earnings,central,0.507769224049852,-0.00615611988820929,-0.008614699802975606,-0.0050244698469048416
H0,bequest_wealth,central,0.507769224049852,5.0850122806272885e-05,0.05868210772768378,6.287264321169668e-05
H0,old_dispersion,central,0.507769224049852,0.06959565279021328,0.11514268096714082,0.13610147738598874
H0,mean_rooms,central,0.507769224049852,0.24215491891430393,1.3912326851377987,0.24144023262456915
H0,ownership_30_55,central,0.507769224049852,0.04526450385712243,1.1116623297945412,0.045381480016858586
H0,first_birth_rooms,central,0.507769224049852,-0.19135577731647724,-1.1396260386892256,-0.19921888061981022
H0,family_rooms,central,0.507769224049852,0.006176683612761534,0.05253030269382863,0.007775640106591515
H0,recent_parent_ownership,central,0.507769224049852,0.01866155511951636,1.5586355615279377,0.018892936636990515
beta_annual,cps_childlessness,one-sided,0.001,-0.20445733130444732,-0.03854023636969551,-0.20058238199915923
beta_annual,cps_exactly_one,one-sided,0.001,0.10864432322008066,0.017836479992895195,0.1124207303068725
beta_annual,nchs_mean_age,one-sided,0.001,27.77364606759747,0.32842036171135397,28.07014107229122
beta_annual,nchs_share30,one-sided,0.001,1.0895341975343809,0.12829729172538393,1.1018024838419516
beta_annual,wealth_earnings,one-sided,0.001,98.95047828852643,0.272699663632059,99.27027456129167
beta_annual,bequest_wealth,one-sided,0.001,0.0006844766903598559,0.0015556288417269452,0.00061867858695136
beta_annual,old_dispersion,one-sided,0.001,-206.25630933322813,-0.6720399521436633,-439.25299238816075
beta_annual,mean_rooms,one-sided,0.001,2.036326901696306,0.023040271955156694,2.014514194335959
beta_annual,ownership_30_55,one-sided,0.001,0.3501485563581763,0.01693561960079336,0.3483115696171213
beta_annual,first_birth_rooms,one-sided,0.001,18.451926240474315,0.2164193658199387,18.382584792647094
beta_annual,family_rooms,one-sided,0.001,1.5269409997831218,0.025574692992071144,1.5442586275149495
