parameter,method,full_step,weighted_response_norm,half_step_available,half_relative_difference,full_half_cosine
H0,central,0.507769224049852,2.754124062043046,True,0.04459364090551019,0.9991074211026882
beta_annual,one-sided,0.001,0.8371171984401222,True,0.9068964373525242,0.9548802935996787
chi,central,0.04765297356765779,2.85806099614861,True,0.145318313464248,0.9926819487877607
first_birth_fixed_cost,central,0.01,0.24819233653115672,False,,
h_P,one-sided,0.05,0.801047197103631,True,0.010231476171016907,0.9999767181419787
kappa_fert,central,0.009888557752912053,1.1527045490857164,True,0.0003737963899279505,0.9999999302294955
kappa_fert_continuation,central,0.017324684663692143,1.7385138302407015,False,,
theta0,central,0.008539174699952684,0.41886157424057796,False,,
theta1,central,0.003674361494458432,0.02161635417412631,False,,
