case_id,restriction_id,label,target,model,gap,actual_weight,loss_contribution,scored
smoke_anchor_01,initial_normalization,Initial model completed fertility,2.1,2.1002705426955446,0.0002705426955444956,,,False
smoke_anchor_01,cps_childlessness,"Childless women, ages 40–44",0.19827875100684264,0.22516948974040984,0.026890738733567204,35532.3042455214,25.693829534196514,True
smoke_anchor_01,cps_exactly_one,"Exactly one child among mothers, ages 40–44",0.21365532522014702,0.19795573235921077,-0.01569959286093625,26952.820824310795,6.643256240100323,True
smoke_anchor_01,nchs_mean_age,Period mean first-birth age,25.976263860992496,26.70009336510356,0.7238295041110625,139.82806784479274,73.26000087492227,True
smoke_anchor_01,nchs_share30,First births at age 30+,0.2492780130410667,0.2598288555734561,0.010550842532389387,13866.065434728798,1.5435742609468874,True
smoke_anchor_01,wealth_earnings,Wealth / annual gross labor earnings,6.14586139445743,6.722432139481522,0.5765707450240916,7.595098472533724,2.524867629014892,True
smoke_anchor_01,bequest_wealth,Annual bequests / aggregate wealth,0.0088,0.007977198285515434,-0.0008228017144845667,5165289.256198346,3.4969145731339992,True
smoke_anchor_01,old_dispersion,"Old wealth/income p90 / median, ages 76–84",3.51593508651872,4.282688489860666,0.7667534033419461,10.616361531535473,6.241473405078598,True
smoke_anchor_01,mean_rooms,"Mean occupied rooms, capped at 9",5.561097376118652,6.676981287986387,1.1158839118677353,128.02070205233477,159.4109819414402,True
smoke_anchor_01,ownership_30_55,"Ownership, heads 30–55",0.6483340343191493,0.48427088849065525,-0.16406314582849402,2339.3623724673616,62.96795217769707,True
smoke_anchor_01,first_birth_rooms,"First-birth room response, −1 to +3",0.7202462623815278,1.0139143119488958,0.29366804956736803,137.5652749002964,11.863756326468815,True
smoke_anchor_01,family_rooms,Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.3470669317962507,0.3443383613657156,-0.0027285704305350933,280.52808370152104,0.0020885586805970773,True
smoke_anchor_01,recent_parent_ownership,Recent-parent ownership gap,0.16289550916123285,0.1622821880896867,-0.0006133210715461579,27055.822957508266,0.010177392410140958,True
smoke_anchor_02,initial_normalization,Initial model completed fertility,2.1,2.1002705426955446,0.0002705426955444956,,,False
smoke_anchor_02,cps_childlessness,"Childless women, ages 40–44",0.19827875100684264,0.22516948974040984,0.026890738733567204,35532.3042455214,25.693829534196514,True
smoke_anchor_02,cps_exactly_one,"Exactly one child among mothers, ages 40–44",0.21365532522014702,0.19795573235921077,-0.01569959286093625,26952.820824310795,6.643256240100323,True
smoke_anchor_02,nchs_mean_age,Period mean first-birth age,25.976263860992496,26.70009336510356,0.7238295041110625,139.82806784479274,73.26000087492227,True
smoke_anchor_02,nchs_share30,First births at age 30+,0.2492780130410667,0.2598288555734561,0.010550842532389387,13866.065434728798,1.5435742609468874,True
smoke_anchor_02,wealth_earnings,Wealth / annual gross labor earnings,6.14586139445743,6.722432139481522,0.5765707450240916,7.595098472533724,2.524867629014892,True
smoke_anchor_02,bequest_wealth,Annual bequests / aggregate wealth,0.0088,0.007977198285515434,-0.0008228017144845667,5165289.256198346,3.4969145731339992,True
smoke_anchor_02,old_dispersion,"Old wealth/income p90 / median, ages 76–84",3.51593508651872,4.282688489860666,0.7667534033419461,10.616361531535473,6.241473405078598,True
smoke_anchor_02,mean_rooms,"Mean occupied rooms, capped at 9",5.561097376118652,6.676981287986387,1.1158839118677353,128.02070205233477,159.4109819414402,True
smoke_anchor_02,ownership_30_55,"Ownership, heads 30–55",0.6483340343191493,0.48427088849065525,-0.16406314582849402,2339.3623724673616,62.96795217769707,True
smoke_anchor_02,first_birth_rooms,"First-birth room response, −1 to +3",0.7202462623815278,1.0139143119488958,0.29366804956736803,137.5652749002964,11.863756326468815,True
smoke_anchor_02,family_rooms,Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.3470669317962507,0.3443383613657156,-0.0027285704305350933,280.52808370152104,0.0020885586805970773,True
smoke_anchor_02,recent_parent_ownership,Recent-parent ownership gap,0.16289550916123285,0.1622821880896867,-0.0006133210715461579,27055.822957508266,0.010177392410140958,True
income_fit_sensitivity_smoke_beta_annual_minus,initial_normalization,Initial model completed fertility,2.1,2.100301747687104,0.0003017476871041147,,,False
income_fit_sensitivity_smoke_beta_annual_minus,cps_childlessness,"Childless women, ages 40–44",0.19827875100684264,0.2253739470717143,0.02709519606487165,35532.3042455214,26.08602871821758,True
income_fit_sensitivity_smoke_beta_annual_minus,cps_exactly_one,"Exactly one child among mothers, ages 40–44",0.21365532522014702,0.1978470880359907,-0.015808237184156332,26952.820824310795,6.7355197043799935,True
income_fit_sensitivity_smoke_beta_annual_minus,nchs_mean_age,Period mean first-birth age,25.976263860992496,26.67231971903596,0.696055858043465,139.82806784479274,67.7458259964131,True
income_fit_sensitivity_smoke_beta_annual_minus,nchs_share30,First births at age 30+,0.2492780130410667,0.2587393213759217,0.009461308334855006,13866.065434728798,1.24123964155463,True
income_fit_sensitivity_smoke_beta_annual_minus,wealth_earnings,Wealth / annual gross labor earnings,6.14586139445743,6.623481661192995,0.4776202667355651,7.595098472533724,1.7326023639624186,True
income_fit_sensitivity_smoke_beta_annual_minus,bequest_wealth,Annual bequests / aggregate wealth,0.0088,0.007976513808825074,-0.0008234861911749266,5165289.256198346,3.5027350571063405,True
income_fit_sensitivity_smoke_beta_annual_minus,old_dispersion,"Old wealth/income p90 / median, ages 76–84",3.51593508651872,4.488944799193894,0.9730097126751742,10.616361531535473,10.051017995816089,True
income_fit_sensitivity_smoke_beta_annual_minus,mean_rooms,"Mean occupied rooms, capped at 9",5.561097376118652,6.674944961084691,1.113847584966039,128.02070205233477,158.8297087790415,True
income_fit_sensitivity_smoke_beta_annual_minus,ownership_30_55,"Ownership, heads 30–55",0.6483340343191493,0.4839207399342971,-0.1644132943848522,2339.3623724673616,63.237015230746664,True
income_fit_sensitivity_smoke_beta_annual_minus,first_birth_rooms,"First-birth room response, −1 to +3",0.7202462623815278,0.9954623857084215,0.2752161233268937,137.5652749002964,10.419732425593644,True
income_fit_sensitivity_smoke_beta_annual_minus,family_rooms,Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.3470669317962507,0.3428114203659325,-0.004255511430318215,280.52808370152104,0.005080188976519484,True
income_fit_sensitivity_smoke_beta_annual_minus,recent_parent_ownership,Recent-parent ownership gap,0.16289550916123285,0.16239217290250008,-0.0005033362587327783,27055.822957508266,0.00685452211313878,True
income_fit_sensitivity_probe_06_full_H0_minus,initial_normalization,Initial model completed fertility,2.1,2.1002497777332305,0.0002497777332304274,,,False
income_fit_sensitivity_probe_06_full_H0_minus,cps_childlessness,"Childless women, ages 40–44",0.19827875100684264,0.22808852495448584,0.029809773947643198,35532.3042455214,31.574809393123456,True
income_fit_sensitivity_probe_06_full_H0_minus,cps_exactly_one,"Exactly one child among mothers, ages 40–44",0.21365532522014702,0.19551998296587564,-0.01813534225427138,26952.820824310795,8.864530455123347,True
income_fit_sensitivity_probe_06_full_H0_minus,nchs_mean_age,Period mean first-birth age,25.976263860992496,26.740919820848614,0.7646559598561176,139.82806784479274,81.75729465809762,True
income_fit_sensitivity_probe_06_full_H0_minus,nchs_share30,First births at age 30+,0.2492780130410667,0.2622303376333963,0.012952324592329617,13866.065434728798,2.326208746884278,True
income_fit_sensitivity_probe_06_full_H0_minus,wealth_earnings,Wealth / annual gross labor earnings,6.14586139445743,6.726541929911396,0.5806805354539657,7.595098472533724,2.560990374859766,True
income_fit_sensitivity_probe_06_full_H0_minus,bequest_wealth,Annual bequests / aggregate wealth,0.0088,0.007951845143559103,-0.0008481548564408976,5165289.256198346,3.715736882770039,True
