gap,loss_contribution,model,moment,target,weight
0.11639837281646925,0.27097162388643536,2.034398372816469,tfr,1.918,20.0
0.0007348496031364393,1.0800078784595648e-05,0.18873484960313644,childless_rate,0.188,20.0
0.08290580393797042,0.6873372326601193,0.6583782139379705,own_rate,0.57547241,100.0
0.05178205724252474,0.12066216535206492,0.21944372724252476,own_family_gap,0.16766167,45.0
0.01638261232046001,0.003757459810194834,0.68081728232046,housing_increment_0to1,0.66443467,14.0
0.15798998737612324,0.1497650166666455,3.963278087376123,prime30_55_childless_renter_mean_rooms,3.8052881,6.0
0.16401512459289902,0.6725240273806047,0.760146244592899,prime30_55_childless_owner_share_rooms_ge6,0.59613112,25.0
0.1487022559497473,0.2653483310945298,0.3279278159497473,young_childless_renter_liquid_wealth_to_annual_gross_income_2535,0.17922556,12.0
-0.09599341016675744,0.11057681754531998,2.3227683198332425,prime30_55_childless_owner_minus_renter_mean_rooms,2.41876173,12.0
-0.06672455513177078,0.3561733006026175,0.2744415348682292,own_rate_2534,0.34116609,80.0
0.239777703213723,0.4599467756675858,0.607477262023723,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,8.0
-0.07038949425879526,0.09208654653405833,6.430926280106575,old_total_estate_wealth_to_annual_income_median_7684,6.50131577436537,18.585767349158665
0.0016836100517948482,0.026744442354185393,0.6100167497009259,old_nonhousing_ge_1x_income_share_6575,0.608333139649131,9435.18732291246
0.18972652104273724,5.759384445916835,0.9539874910427373,old_age_own_rate,0.76426097,160.0
-0.1073414206487655,0.06913308352137133,5.672629061293202,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.0
