estimate,lower,near_bound,parameter,role,transform,upper
0.9912317808418449,0.8,False,beta_annual,estimated,discount,0.9995
0.5912263839788428,0.02,False,alpha_cons,estimated,logit,0.98
1.2595937731478881,0.0,False,c_bar_0,estimated,softzero,2.0
0.39294466990660537,0.0,False,c_bar_n,estimated,softzero,3.0
0.3915418909982497,0.05,False,h_bar_0,estimated,log,5.8
1.6021182503934808,0.0,False,h_bar_jump,estimated,softzero,8.0
0.16436541806228172,0.0,False,h_bar_n,estimated,softzero,5.0
0.19791383267507004,-3.0,False,psi_child,estimated,asinh,3.0
2.0433862404293337,0.02,False,kappa_fert,estimated,log,50.0
1.113265753289088,0.1,False,chi,estimated,log,5.0
8.645577738994191,0.2,False,H0,estimated,log,80.0
0.31176482840616865,0.0,False,theta0,estimated,softzero,8.0
0.3972817386975299,0.02,False,theta1,estimated,log,16.0
0.010017488787185433,0.0,False,tenure_choice_kappa,estimated,softzero,0.12
0.0,,False,theta_n,fixed,external restriction,
