criterion,value,threshold,pass
strict_exact_tight_repeat,True,True,True
estate_median_absolute_gap,0.07038949425879526,0.2319582116443,True
nonhousing_ge_1x_share_absolute_gap,0.0016836100517948482,0.0205899234604662,True
established_12_moment_loss,3.1662066342662736,4.5,True
young_liquid_absolute_gap,0.1487022559497473,0.15,True
old_age_own_rate_absolute_gap,0.18972652104273724,0.03,False
free_winner_loss_minus_nested_zero,-300.8911294651081,0.0,True
identification_reported,,jacobian summary file exists,pending
