age,age_mass,ownership_rate,mean_liquid_wealth,owner_rooms,occupied_rooms
18.0,0.06173345618565355,0.06958326745393843,-0.049627260103139274,0.019209502124689623,0.19979102062135423
22.0,0.061733456206215384,0.11898198289359681,-0.06484419846286466,0.03646840465654073,0.2255653367043272
26.0,0.06173345626877718,0.165844358125252,-0.24303753024839475,0.05701916042258341,0.2587880283282145
30.0,0.061733456229219344,0.266618490188157,-0.1635947017278638,0.10092133674969289,0.2881480971533995
34.0,0.061733456099162434,0.39086175660613426,-0.35426050048509217,0.15707434846238807,0.32065367416178636
38.0,0.06173345611303305,0.567555506536918,-0.36665799075908606,0.23066758435201662,0.3510421906615741
42.0,0.06173345609326108,0.7456830451175295,-0.4613584544290486,0.3013258712421589,0.3766706009966301
46.0,0.061733456208398346,0.8362665240308184,-0.2536618869341532,0.33650343780807296,0.3835890540608492
50.0,0.06173345617665417,0.8850502771689369,0.11473210997932605,0.35730367160362086,0.38935885364809647
54.0,0.06173345621540206,0.916611897685853,0.5887553362371796,0.3720761905283823,0.39485166251800125
58.0,0.06173345624819971,0.9350323150064196,1.153345161371557,0.38199098834089873,0.39927541974209313
62.0,0.06173345629463172,0.9462275878739231,1.6195727050675301,0.38801576932105014,0.40199006245022617
66.0,0.06173345641102335,0.9521199809098088,2.151528765510392,0.3908688530556634,0.4028595358732255
70.0,0.057975512684329635,0.9548534739447938,1.0531735510738696,0.36774099415002115,0.3778935873521205
74.0,0.05325037114776522,0.9552096806963102,-0.09475323782164574,0.3373113177108192,0.3462125636074061
78.0,0.04712403261565492,0.950505550201795,-1.281319270587755,0.2967933960684529,0.30518094745426927
82.0,0.03911515280256876,0.9083966741832338,-2.373369514464762,0.23748361004208393,0.2507584259593442
