dimension,group,z_or_omega_value,candidate_probability_mass,nonpositive_Rb_plus_Y_cash_only_mass_descriptive,cash_only_nonpositive_share_within_group_descriptive
income_state,1,0.053889320064144215,6.103515625000001e-05,1.220602710351942e-05,0.19998354806406213
income_state,2,0.07889281555450708,0.0008544921875000001,0.0001708843794492719,0.19998354806406216
income_state,3,0.1154973998318959,0.005554199218750001,0.0011107484664202672,0.19998354806406213
income_state,4,0.16908573073694466,0.022216796875000003,0.004442993865681069,0.19998354806406213
income_state,5,0.24753790458017835,0.06109619140625001,0.01221823313062294,0.19998354806406216
income_state,6,0.36239021434206165,0.12219238281250001,0,0.0
income_state,7,0.5305315469710142,0.18328857421875003,0,0.0
income_state,8,0.7766868728573968,0.20947265625000003,0,0.0
income_state,9,1.1370530214708614,0.18328857421875,0,0.0
income_state,10,1.664621379372013,0.12219238281250001,0,0.0
income_state,11,2.436970206611771,0.06109619140625001,0,0.0
income_state,12,3.5676724217935187,0.022216796875,0,0.0
income_state,13,5.222996356169135,0.00555419921875,0,0.0
income_state,14,7.646355301544813,0.0008544921875000001,0,0.0
income_state,15,11.1941011271058,6.103515625e-05,0,0.0
earnings_tercile,1,,0.3342448968030968,0.017955065869277066,0.05371829470250482
earnings_tercile,2,,0.3322639051541239,0.0,0.0
earnings_tercile,3,,0.3334911980427794,0.0,0.0
omega_node,1:1,-0.54748468884313,0.0668434803849896,0.017955065869277066,0.26861356957871785
omega_node,1:2,-0.0428096517354997,0.0516377776171083,0,0.0
omega_node,1:3,0.00451442777967688,0.0826419459163681,0,0.0
omega_node,1:4,0.0692782212563736,0.0665201419719569,0,0.0
omega_node,1:5,1.18619580552334,0.0666015509126739,0,0.0
omega_node,2:1,-0.540519082528098,0.0663205176681069,0.0,0.0
omega_node,2:2,-0.0408946546836618,0.0660530487377287,0,0.0
omega_node,2:3,0.0330678259122735,0.0663441268695491,0,0.0
omega_node,2:4,0.116359835026871,0.0669905343544664,0,0.0
omega_node,2:5,0.862519233225967,0.0665556775242728,0,0.0
omega_node,3:1,-0.361293807607908,0.0668720017603547,0.0,0.0
omega_node,3:2,0.0328936094144779,0.06701319012218579,0,0.0
omega_node,3:3,0.118000190236258,0.06596487007160738,0,0.0
omega_node,3:4,0.312423706630152,0.06653962042895112,0,0.0
omega_node,3:5,1.56682542625767,0.0671015156596804,0,0.0
