candidate,moment,target,model,gap,weight,loss_contribution,standardized_gap
matched_pf_sequential,tfr,1.918,1.7733979589253457,-0.14460204107465424,1425.7389910084596,29.81184627066053,-5.460022552211715
matched_pf_sequential,childless_rate,0.188,0.2347147561359665,0.04671475613596651,17180.743822072007,37.492995033113004,6.12315237709409
matched_pf_sequential,mean_age_first_birth,26.0446272574833,26.225855305591377,0.18122804810807835,44.44444444444444,1.4597157964917316,1.2081869873871889
matched_pf_sequential,share_first_births_age30plus,0.260327401666964,0.24368930594730517,-0.016638095719658824,10000.0,2.768262291765293,-1.6638095719658823
matched_pf_sequential,housing_increment_0to1,0.7202462623815278,0.4515083685282928,-0.268737893853235,137.5652749002964,9.934971800920694,-3.1519790292641057
matched_pf_sequential,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.36800697451793596,0.0003074157079359652,2958.514988007638,0.00027959273556458353,0.01672102674971198
matched_pf_sequential,own_family_gap,0.16766167,0.11247306247205036,-0.05518860752794966,14229.590955975675,43.34023770534743,-6.583330289856907
matched_pf_sequential,own_rate,0.575472,0.5749558851009338,-0.0005161148990662223,1207.8460856134493,0.00032173950467660485,-0.017937098557921926
matched_pf_sequential,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.221435014370001,0.4414645324280331,11.973159013172177,2.333460135726788,1.5275667369142298
matched_pf_sequential,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.037413763960503,0.1643137639605028,6.287669427540395,0.1697608687828017,0.4120204713152026
matched_pf_sequential,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008361407191790755,-0.00043859280820924586,5165289.256198346,0.9936139019259932,-0.996801836839195
matched_pf_sequential,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.4322919407809516,-0.0158188136645685,56.95977216091135,0.01425332094008339,-0.11938727294013961
