arm,observations,clusters,coefficient_m1,coefficient_p3,contrast_p3_m1,contrast_se,runtime_seconds
original_native,354697,36318,0.056121097837442,0.7968585550031888,0.7407374571657468,0.160924386349493,1440.172
original_common,345751,36026,0.012131955722552,0.7702743583506019,0.7581424026280499,0.1655997252193822,1996.255
aligned_common,345751,36026,0.1645396401873592,0.4030177877382122,0.238478147550853,0.1657239528168688,1749.149
