coeff,relative_time,b,se,ci_lo,ci_hi,prebirth_mean
F7event,-7,0.18600093,0.13797395,-0.08442801,0.45642987,6.013104
F5event,-5,0.13937353,0.22687048,-0.3052926,0.5840397,6.013104
F4event,-4,-0.16421744,0.1737473,-0.5047622,0.17632727,6.013104
F3event,-3,-0.06258403,0.17261273,-0.40090498,0.27573693,6.013104
,-2,0.0,0.0,0.0,0.0,
F1event,-1,0.056121096,0.15028398,-0.2384355,0.3506777,6.013104
L0event,0,0.16503727,0.13687672,-0.10324109,0.43331563,6.013104
L1event,1,0.56857246,0.1499323,0.27470517,0.86243975,6.013104
L2event,2,0.5798187,0.14881703,0.28813735,0.87150013,6.013104
L3event,3,0.79685855,0.15646067,0.49019563,1.1035215,6.013104
L4event,4,0.7960964,0.15310042,0.49601957,1.0961732,6.013104
L5event,5,0.95642537,0.15755987,0.64760804,1.2652427,6.013104
L6event,6,1.0558479,0.16204388,0.73824185,1.3734539,6.013104
L7event,7,0.93819267,0.15679358,0.63087726,1.2455081,6.013104
L8event,8,1.057049,0.1569131,0.7494994,1.3645988,6.013104
L9event,9,1.0153847,0.15407535,0.71339697,1.3173723,6.013104
L10event,10,1.0690455,0.16486134,0.7459173,1.3921738,6.013104
L11event,11,1.0395681,0.12770283,0.7892705,1.2898656,6.013104
