raw_interview_year,usable_person_waves,same_label_year_equal_to_raw,preceding_label_year_equal_to_raw,raw_rooms_changed_since_previous_wave,changers_same_label_equal,changers_preceding_label_equal
1984,120,50,120,50,16,50
1985,123,68,123,71,31,71
2017,139,55,139,85,27,85
2019,143,55,143,86,25,86
