first_birth_year,observed_minus2,observations_minus2,observations_minus1,supported_zero_and_zero_variance_columns,diagnostic_coefficient_shift,opposite_person_fixed_effect_shift
1970,False,0,0,L11event,0.0,-0.0
1971,False,0,16,F1event,0.0,-0.0
1972,True,16,17,,0.0,-0.0
1973,True,16,18,,0.0,-0.0
1974,True,9,12,,0.0,-0.0
1975,True,12,19,,0.0,-0.0
1976,True,10,37,,0.0,-0.0
1977,True,30,0,,0.0,-0.0
1978,False,0,43,F7event,0.0,-0.0
1979,True,45,50,,0.0,-0.0
1980,True,42,59,,0.0,-0.0
1981,True,36,48,,0.0,-0.0
1982,True,41,52,,0.0,-0.0
1983,True,49,0,,0.0,-0.0
1984,False,0,0,F7event,0.0,-0.0
1985,False,0,0,F7event,0.0,-0.0
1986,False,0,40,F7event,0.0,-0.0
1987,True,51,50,,0.0,-0.0
1988,True,40,44,,0.0,-0.0
1989,True,45,49,,0.0,-0.0
1990,True,23,30,,0.0,-0.0
1991,True,42,52,,0.0,-0.0
1992,True,39,41,,0.0,-0.0
1993,True,31,38,,0.0,-0.0
1994,True,37,41,,0.0,-0.0
1995,True,25,33,,0.0,-0.0
1996,True,30,31,,0.0,-0.0
1997,True,24,30,,0.0,-0.0
1998,True,22,29,,0.0,-0.0
1999,True,20,0,,0.0,-0.0
2000,False,0,40,F7event,-0.704727503864068,0.704727503864068
2001,True,31,0,,0.0,-0.0
2002,False,0,31,F7event,-0.8250584994314998,0.8250584994314998
2003,True,34,0,,0.0,-0.0
2004,False,0,53,F7event,-1.003450817082932,1.003450817082932
2005,True,50,0,,0.0,-0.0
2006,False,0,43,F7event,-0.54088341421473,0.54088341421473
2007,True,38,0,,0.0,-0.0
2008,False,0,47,F7event,-0.891431286509195,0.891431286509195
2009,True,47,0,,0.0,-0.0
2010,False,0,63,F7event,-1.066774240792221,1.066774240792221
2011,True,29,0,,0.0,-0.0
2012,False,0,56,F7event,-1.339944945745293,1.339944945745293
2013,True,38,0,,0.0,-0.0
2014,False,0,48,F7event,-0.9234155612787845,0.9234155612787845
2015,True,43,0,,0.0,-0.0
2016,False,0,50,F7event,-1.498782552239166,1.498782552239166
2017,True,46,0,,0.0,-0.0
2018,False,0,40,F7event,-1.046901045131497,1.046901045131497
2019,True,12,0,,0.0,-0.0
