arm,comparison,observations,estimate,standard_error,ci_lower,ci_upper
original_native,year +3 coefficient under original -2/-6 normalization,354697,0.7968585550031888,0.15646067529917446,0.4901956314168069,1.1035214785895708
original_common,year +3 coefficient under original -2/-6 normalization,345751,0.7702743583506019,0.16082870931396048,0.45505008809523934,1.0854986286059645
aligned_common,year +3 coefficient under original -2/-6 normalization,345751,0.4030177877382122,0.15523513529663638,0.0987569225568049,0.7072786529196194
