stage,case_id,label,loss,first_birth_rooms,treated_rooms,control_rooms,continuation_births_per_treated_household,mean_rooms,three_plus_rooms_gap,ownership,childlessness,H0,first_child_jump,per_child_floor,one_child_floor,two_child_floor,three_child_floor,elapsed_seconds,dated_model_solve_count,old_normalization_stationary_solves,occupied_value_drops,budget_excess_share,directory,change_treated_rooms,change_control_rooms,change_first_birth_response
round1,16,coordinate_7_minus,23.12003163875199,0.4650912853815834,5.799282921926828,5.334191636545245,0.2688062555402748,6.328187171969669,0.37794369605879563,0.5466636124985231,0.1898464249178363,14.562959141565095,0.4649311350610432,0.24708490545163003,0.7120160405126732,0.9591009459643033,1.2061858514159334,708.5836842060089,51,5,0,1.7517423823234499e-09,round1/task_016,-0.0010595321007471625,-0.00010662449360943071,-0.0009529076071377318
round1,14,coordinate_6_minus,23.142952461321,0.4660740323452668,5.800335516738475,5.334261484393208,0.2688155469157943,6.3285336282128295,0.3792148421099011,0.5466487063982777,0.18985843479095105,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,686.1155140399933,44,5,0,1.7614369739560961e-09,round1/task_014,-6.93728910050595e-06,-3.6776645646163786e-05,2.9839356545657836e-05
round1,1,anchor,23.15344472757269,0.46604419298872113,5.800342454027575,5.334298261038854,0.2688151779012405,6.3285941535538965,0.37919818852699816,0.5466182046608248,0.18985895060790128,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,580.3767549991608,44,5,0,1.761458987580604e-09,round1/task_001,0.0,0.0,0.0
smoke,1,candidate_exact_repeat_1,23.15344472757269,0.46604419298872113,5.800342454027575,5.334298261038854,0.2688151779012405,6.3285941535538965,0.37919818852699816,0.5466182046608248,0.18985895060790128,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,477.9412748813629,44,5,0,1.761458987580604e-09,smoke/task_001,0.0,0.0,0.0
smoke,2,candidate_exact_repeat_2,23.15344472757269,0.46604419298872113,5.800342454027575,5.334298261038854,0.2688151779012405,6.3285941535538965,0.37919818852699816,0.5466182046608248,0.18985895060790128,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,478.67207527160645,44,5,0,1.761458987580604e-09,smoke/task_002,0.0,0.0,0.0
round1,15,coordinate_6_plus,23.160396665757936,0.466041383686016,5.800375681268019,5.334334297582003,0.2688152866388991,6.328660457561599,0.37917519601889804,0.5466027099283794,0.18985853340516412,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,693.027937412262,44,5,0,1.761485177308079e-09,round1/task_015,3.322724044352299e-05,3.603654314865423e-05,-2.8093027051312447e-06
round1,3,coordinate_0_plus,23.169231438035364,0.4667059613843767,5.79969905509074,5.332993093706364,0.2686995953380032,6.328827476272862,0.3793769204784523,0.5468688253997201,0.18983347048461638,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,605.9359900951385,51,5,0,1.7567076682701478e-09,round1/task_003,-0.0006433989368348492,-0.00130516733249042,0.0006617683956555709
round1,17,coordinate_7_plus,23.19140950545765,0.4670145889012369,5.801643557375769,5.334628968474532,0.26882613152979806,6.3291419601713965,0.3804269774932889,0.5465982446911297,0.1898703088422738,14.562959141565095,0.4649311350610432,0.2506816689731665,0.7156128040342098,0.9662944730073763,1.2169761419805427,655.8283281326294,43,5,0,1.7723845792687278e-09,round1/task_017,0.0013011033481937773,0.00033070743567797933,0.0009703959125157979
round1,20,coordinate_9_minus,23.210264495876856,0.4649788938859478,5.799148421003605,5.334169527117657,0.2687936505937742,6.3282052786419065,0.3792443311179232,0.546665538024908,0.18983665232098546,14.562959141565095,0.4625235259014431,0.24887678975085575,0.7114003156522988,0.9602771054031546,1.2091538951540104,530.4825837612152,44,5,0,1.7563060528785313e-09,round1/task_020,-0.0011940330239701424,-0.00012873392119683302,-0.0010652991027733094
round1,19,coordinate_8_plus,23.213033394064073,0.4660372099394543,5.800878841659087,5.334841631719633,0.2692877233283845,6.328514407421017,0.3784825340546982,0.5466228329323118,0.1904815138788227,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,529.8414494991302,44,5,0,1.7585176370325573e-09,round1/task_019,0.0005363876315120919,0.0005433706807789207,-6.9830492668288e-06
round2,9,jump_bound_preserve_None_H0_0.85,23.253617055730743,0.5018634364158014,5.57722327138685,5.0753598349710485,0.27046635950311526,6.059462462891125,0.3933735906949165,0.5164712363423128,0.1898841944847629,12.378515270330329,0.5,0.24887678975085575,0.7488767897508557,0.9977535795017115,1.2466303692525673,552.8341264724731,49,5,0,1.1930438980810928e-08,round2/task_009,-0.22311918264072528,-0.2589384260678056,0.035819243427080316
round1,22,coordinate_10_minus,23.291617403704098,0.46560504538455927,5.801152114476746,5.335547069092187,0.2678370871636909,6.328446276316608,0.37940459572826857,0.5466209381184769,0.1902103800919365,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,678.3300302028656,43,5,0,1.7611387787881222e-09,round1/task_022,0.0008096604491711901,0.0012488080533330503,-0.00043914760416186027
round1,6,coordinate_2_minus,23.294191926379227,0.4658771102441088,5.804485988371843,5.338608878127734,0.2693804094157842,6.328572978371435,0.38123860199964366,0.5466957599196748,0.191610820323174,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,559.9669055938721,43,5,0,1.7581792747811156e-09,round1/task_006,0.004143534344267508,0.004310617088879809,-0.00016708274461230133
round1,7,coordinate_2_plus,23.381520678416088,0.46620607563128225,5.796274055272743,5.330067979641461,0.2682454026415349,6.328677241850001,0.3771536776887787,0.5465508554884497,0.18810424621016253,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,462.06959438323975,51,5,0,1.7780989353009984e-09,round1/task_007,-0.004068398754832003,-0.004230281397393121,0.0001618826425611175
round2,2,jump_bound_preserve_3_H0_0.97,23.5593565805508,0.480393529066391,5.767700400129312,5.287306871062921,0.2698695247992577,6.281625246648079,0.3738375225288113,0.5417384369168601,0.1892866626855573,14.126070367318153,0.5,0.23718716810453683,0.7371871681045368,0.9743743362090737,1.2115615043136105,642.4116191864014,51,5,0,6.695413830127112e-09,round2/task_002,-0.0326420538982628,-0.04699138997593266,0.01434933607766986
round2,5,jump_bound_preserve_2_H0_0.97,23.63395385779633,0.47721175887276424,5.764044383214727,5.2868326243419625,0.26983710187170634,6.280277128713542,0.37078687189223913,0.5419107322006208,0.18924907248879902,14.126070367318153,0.5,0.23134235728137736,0.7313423572813773,0.9626847145627547,1.1940270718441321,560.5909974575043,45,5,0,6.72420737168532e-09,round2/task_005,-0.036298070812848415,-0.04746563669689152,0.011167565884043107
round1,9,coordinate_3_plus,23.75425199999537,0.4471541373001058,5.799532319417064,5.352378182116958,0.26881916088985697,6.331289414926003,0.3732536944605256,0.5900343774526485,0.1898605885757154,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,502.3295650482178,46,5,0,1.7652867457947358e-09,round1/task_009,-0.0008101346105116036,0.018079921078103744,-0.018890055688615348
round2,8,jump_bound_preserve_None_H0_0.97,23.77650088300071,0.48682751500103727,5.774832703663227,5.28800518866219,0.26993324018654713,6.2843434536590115,0.38199095867801347,0.5414842392202153,0.18936501035486214,14.126070367318153,0.5,0.24887678975085575,0.7488767897508557,0.9977535795017115,1.2466303692525673,590.4121782779694,50,5,0,5.676834202945175e-09,round2/task_008,-0.025509750364347994,-0.046293072376664135,0.02078332201231614
round1,12,coordinate_5_minus,23.8108280416688,0.46585085632229983,5.800626980528715,5.334776124206416,0.26881513054527106,6.329255702670197,0.3790503308715314,0.546401090135969,0.18985852256996102,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,484.484708070755,44,5,0,1.7616127147325366e-09,round1/task_012,0.00028452650114019207,0.0004778631675614875,-0.00019333666642129543
round1,2,coordinate_0_minus,23.848477051934307,0.4652824092979406,5.799394192281284,5.334111782983343,0.2689340201578131,6.328205545185151,0.379181524022127,0.5462517899995138,0.18987941661527058,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,594.6428129673004,43,5,0,1.7898319908352328e-09,round1/task_002,-0.0009482617462914789,-0.00018647805551097463,-0.0007617836907805042
round1,10,coordinate_4_minus,23.90867728201633,0.4683731952206047,5.778546665502759,5.310173470282154,0.2688725214679345,6.303427926169898,0.3804549714353822,0.544302790885695,0.18991048455073592,14.346451056684039,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,518.8378574848175,50,5,0,1.77003543647915e-09,round1/task_010,-0.021795788524816118,-0.02412479075669971,0.0023290022318835923
round1,4,coordinate_1_minus,24.240111574010296,0.4654173061341913,5.802191274903664,5.336773968769473,0.2681527876165807,6.328152851011469,0.3777255707612692,0.5465842872733319,0.1907768597395126,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,563.193660736084,43,5,0,1.7546425862651054e-09,round1/task_004,0.0018488208760887304,0.0024757077306185593,-0.000626886854529829
round1,11,coordinate_4_plus,25.302566071122694,0.4622090102916374,5.81935190569761,5.357142895405973,0.26876043454936704,6.353644233820995,0.3780283510165825,0.5489326702188527,0.18980539407140584,14.78273463736427,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,506.5612494945526,47,5,0,1.9096458687047083e-09,round1/task_011,0.019009451670035205,0.02284463436711892,-0.0038351826970837166
round2,12,jump_bound_preserve_3_successful_moves_2.0,25.880118662179406,0.4782786914231121,5.8029576102423785,5.3246789188192665,0.2721821839066423,6.332506017201763,0.3754289233268997,0.5468802146318713,0.18556068289466998,14.562959141565095,0.5,0.23718716810453683,0.7371871681045368,0.9743743362090737,1.2115615043136105,529.7525687217712,46,5,0,1.6715955336497868e-09,round2/task_012,0.002615156214803349,-0.009619342219587601,0.01223449843439095
round1,8,coordinate_3_minus,29.990988577661206,0.48474511085417404,5.796439158775915,5.311694047921741,0.2688188108808631,6.323581860608723,0.388165971004403,0.49275157828534316,0.18985432260308413,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,483.94980931282043,47,5,1,1.7574187834562754e-09,round1/task_008,-0.0039032952516597774,-0.022604213117112693,0.018700917865452915
