stage,case_id,label,loss,first_birth_rooms,treated_rooms,control_rooms,continuation_births_per_treated_household,mean_rooms,three_plus_rooms_gap,ownership,childlessness,H0,first_child_jump,per_child_floor,one_child_floor,two_child_floor,three_child_floor,elapsed_seconds,dated_model_solve_count,old_normalization_stationary_solves,occupied_value_drops,budget_excess_share,directory,change_treated_rooms,change_control_rooms,change_first_birth_response
repeats,1,final_exact_repeat_1,21.79803291709123,0.4766454140347065,5.807702022512759,5.331056608478052,0.27035155112288145,6.332529665279075,0.3727079227139729,0.5465118102870357,0.18826096102198653,14.562959141565095,0.5,0.23718716810453683,0.7371871681045368,0.9743743362090737,1.2115615043136105,565.6049785614014,51,5,0,1.6414290452973387e-09,repeats/task_001,0.0073595684851834875,-0.0032416525608018887,0.010601221045985376
repeats,2,final_exact_repeat_2,21.79803291709123,0.4766454140347065,5.807702022512759,5.331056608478052,0.27035155112288145,6.332529665279075,0.3727079227139729,0.5465118102870357,0.18826096102198653,14.562959141565095,0.5,0.23718716810453683,0.7371871681045368,0.9743743362090737,1.2115615043136105,566.1984701156616,51,5,0,1.6414290452973387e-09,repeats/task_002,0.0073595684851834875,-0.0032416525608018887,0.010601221045985376
round2,10,jump_bound_preserve_3_successful_moves_0.5,21.79803291709123,0.4766454140347065,5.807702022512759,5.331056608478052,0.27035155112288145,6.332529665279075,0.3727079227139729,0.5465118102870357,0.18826096102198653,14.562959141565095,0.5,0.23718716810453683,0.7371871681045368,0.9743743362090737,1.2115615043136105,477.5478575229645,51,5,0,1.6414290452973387e-09,round2/task_010,0.0073595684851834875,-0.0032416525608018887,0.010601221045985376
round2,1,jump_bound_preserve_3_H0_1.0,21.84993621857743,0.47598836855421744,5.809236896982029,5.333248528427812,0.2697516502707168,6.332446592283554,0.3717577782868391,0.5463750580466655,0.1891821783824928,14.562959141565095,0.5,0.23718716810453683,0.7371871681045368,0.9743743362090737,1.2115615043136105,581.7119352817535,44,5,0,1.6434815187153403e-09,round2/task_001,0.008894442954454185,-0.0010497326110421312,0.009944175565496316
round2,4,jump_bound_preserve_2_H0_1.0,21.968589959710943,0.47275821271739815,5.805742193610051,5.332983980892653,0.2697200225662929,6.33113590365315,0.36768703326641194,0.5464968015148773,0.18914738926749697,14.562959141565095,0.5,0.23134235728137736,0.7313423572813773,0.9626847145627547,1.1940270718441321,685.0929148197174,51,5,0,1.6669933302377288e-09,round2/task_004,0.00539973958247586,-0.0013142801462011633,0.006714019728677023
round2,11,jump_bound_preserve_3_successful_moves_1.0,22.01428484022968,0.4771935400886793,5.805952889172426,5.328759349083747,0.270955304102171,6.332454842220185,0.3736606802443605,0.5466249414817066,0.18735096238336635,14.562959141565095,0.5,0.23718716810453683,0.7371871681045368,0.9743743362090737,1.2115615043136105,573.2967891693115,48,5,0,1.6532912642013333e-09,round2/task_011,0.005610435144850712,-0.005538911955107473,0.011149347099958185
round2,7,jump_bound_preserve_None_H0_1.0,22.01706343389726,0.4813086248330194,5.815280880990044,5.333972256157025,0.2698134254840359,6.33510541207907,0.379846277696684,0.5461257123519235,0.18925822055702216,14.562959141565095,0.5,0.24887678975085575,0.7488767897508557,0.9977535795017115,1.2466303692525673,573.7626881599426,51,5,0,6.6946512345153694e-09,round2/task_007,0.014938426962468832,-0.00032600488182943366,0.015264431844298265
round2,6,jump_bound_preserve_2_H0_0.85,22.456343922113355,0.4919749849677917,5.566395439706366,5.074420454738575,0.2703588362981148,6.05537159924799,0.38040219040398604,0.5169099365356379,0.18975361381024214,12.378515270330329,0.5,0.23134235728137736,0.7313423572813773,0.9626847145627547,1.1940270718441321,529.260915517807,45,5,0,4.616108193706296e-09,round2/task_006,-0.2339470143212088,-0.25987780630027935,0.025930791979070555
round2,3,jump_bound_preserve_3_H0_0.85,22.572223369672166,0.4953196010277363,5.570185949235229,5.074866348207492,0.2703954701525622,6.056825595185971,0.3845564045633081,0.5167789190074329,0.18979484141767064,12.378515270330329,0.5,0.23718716810453683,0.7371871681045368,0.9743743362090737,1.2115615043136105,644.4830298423767,47,5,0,4.630665741734578e-09,round2/task_003,-0.23015650479234662,-0.2594319128313618,0.029275408039015183
round1,5,coordinate_1_plus,22.81495036719169,0.4666537878889123,5.7987231337200065,5.332069345831094,0.2694938390986205,6.329139002109268,0.38056999929260193,0.5466521679574603,0.18895537810328594,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,601.96049284935,51,5,0,1.7766028487791198e-09,round1/task_005,-0.001619320307568728,-0.0022289152077599184,0.0006095949001911904
round1,23,coordinate_10_plus,23.02858709654722,0.46651165836646324,5.799695439045898,5.333183780679435,0.26979371906883964,6.328838636549515,0.37896743896944063,0.5466289660694559,0.18950809672247984,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,726.5044577121735,51,5,0,1.7619059386816626e-09,round1/task_023,-0.0006470149816770743,-0.0011144803594191899,0.0004674653777421156
round1,13,coordinate_5_plus,23.03166527659546,0.46627030043153095,5.79992670684131,5.333656406409779,0.2688152064451137,6.327924024029768,0.3792673547238561,0.5468162661270898,0.18985909063054035,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,558.2636229991913,44,5,0,1.761309040077249e-09,round1/task_013,-0.0004157471862651363,-0.000641854629074956,0.00022610744280981976
round1,21,coordinate_9_plus,23.09340330695677,0.4671613410531785,5.801548214737985,5.334386873684807,0.2688375883668051,6.329001688809703,0.3791526199522819,0.5465891036437682,0.1898794239185458,14.562959141565095,0.4673449942206433,0.24887678975085575,0.716221783971499,0.9650985737223547,1.2139753634732107,661.8669040203094,44,5,0,1.7686949142939359e-09,round1/task_021,0.0012057607104098977,8.861264595250162e-05,0.0011171480644573961
round1,18,coordinate_8_minus,23.113891236397258,0.4660740890402728,5.799686810219479,5.333612721179207,0.2683465130035956,6.32866574383588,0.37991555159271506,0.546619350102141,0.18923582932413222,14.562959141565095,0.4649311350610432,0.24887678975085575,0.7138079248118989,0.9626847145627547,1.2115615043136105,552.0014245510101,44,5,0,1.764410811963571e-09,round1/task_018,-0.000655643808095796,-0.0006855398596474771,2.989605155168107e-05
